Lab Method Name,Documentation,Release Date,PDF Link
Lab 02 Hepatitis A Antibody,[PDF - 151 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02hpa_met_hepatitis_a.pdf
Lab 02 Hepatitis B Core Antibody,[PDF - 102 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02_met_hep_b.pdf
Lab 02 Hepatitis B Surface Antibody,[PDF - 150 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02_met_hep_b_surface_antibody.pdf
Lab 02 Hepatitis B Surface Antigen,[PDF - 146 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02_met_hep_b_antigen.pdf
Lab 02 Hepatitis C EIA and RIBA,[PDF - 271 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02_met_hepatitis_c_-eia_riba.pdf
Lab 02 Hepatitis D,[PDF - 151 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab02_met_hep_d.pdf
Lab 03 HIV Serum EIA and Western Blot Test,[PDF - 208 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab03_met_hiv_serum_eia_western_blot.pdf
Lab 03 HIV Urine EIA,[PDF - 101 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab03_met_hiv_urine_eia.pdf
Lab 04 Volatile Organic Compounds - Water,[PDF - 372 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab04_met_water_voc.pdf
Lab 04 Volatile Organic Compounds - Whole Blood,[PDF - 516 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab04_met_blood_voc.pdf
Lab 05 Chlamydia,[PDF - 102 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab05_met_chlamydia.pdf
Lab 05 Gonorrhea,[PDF - 100 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab05_met_gonorrhea.pdf
Lab 06 Blood Lead and Cadmium,[PDF - 222 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_lead_and_cadmium.pdf
Lab 06 Blood Mercury,[PDF - 258 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_blood_mercury.pdf
Lab 06 Cotinine,[PDF - 327 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_cotinine.pdf
Lab 06 Erythrocyte Protoporhyrin,[PDF - 252 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_epp.pdf
"Lab 06 Fat Soluble Micronutrients - Vitamins A, E, and Carotenoids",[PDF - 458 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_aecar.pdf
Lab 06 Ferritin,[PDF - 217 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_ferritin.pdf
Lab 06 Folate and B12,[PDF - 305 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_folate_b12.pdf
Lab 06 Homocysteine,[PDF - 220 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_homocysteine.pdf
Lab 06 Iron and TIBC,[PDF - 275 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_-fe_tibc.pdf
Lab 06 Lead and Cadmium,[PDF - 222 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_lead_and_cadmium.pdf
Lab 06 Methylmalonic Acid,[PDF - 285 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_methylmalonic_acid.pdf
Lab 06 Multiple Toxic Elements,[PDF - 607 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_hm.pdf
Lab 06 Selenium,[PDF - 251 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_selenium.pdf
Lab 06 Urine Mercury,[PDF - 228 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab06_met_urine_mercury.pdf
Lab 07 Latex,[PDF - 100 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab07_met_latex.pdf
Lab 09 Herpes,[PDF - 73 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab09_met_herpes.pdf
Lab 10 Glycohemoglobin,[PDF - 246 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab10_met_glycohemoglobin.pdf
Lab 10AM C-Peptide,[PDF - 242 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab10am_met_cpeptide.pdf
Lab 10AM Insulin,[PDF - 254 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab10am_met_insulin.pdf
Lab 10AM Plasma Glucose,[PDF - 187 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/1999/labmethods/lab10am_met_plasma_glucose.pdf
