Titulo,Descricao,Nome_Modulo,Documento,Link
Interview,,MEC Interviewers Procedures Manual,[PDF - 12.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/mec_interview.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 7.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/lab.pdf
Examination,,Allergen Dust Collection,[PDF - 9.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/allergen_manual_06.pdf
Examination,,Audiometry,[PDF - 5.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/AU.pdf
Examination,,Body Composition,[PDF - 4.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/BC.pdf
Examination,,Body Measurements,[PDF - 2.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/BM.pdf
Examination,,Cardiovascular Fitness,[PDF - 8.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/CV.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/DIETARY_MEC.pdf
Examination,,Dietary Interviewer - Phone Follow-Up,[PDF - 4.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/DIETARY_PFU.pdf
Examination,,,,
Examination,,Ophthalmology,[PDF - 5.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/OP.pdf
Examination,,Ophthalmology Digital Grading Protocol,[PDF - 143 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/NHANES_ophthamology_digital_grading_protocol.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/OH_E.pdf
Examination,,Physician,[PDF - 5.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/PE.pdf
Examination,,Vision,[PDF - 2.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/manuals/VI.pdf
