Years,Lab Method Name,Documentation,Release Date,PDF Link
2019-2020,Albumin,[PDF - 951 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ALB-CR-K-MET-Urine-Albumin-508.pdf
2017-2018,Anti-Müllerian Hormone,[PDF - 1.18 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-AMH-508.pdf
2019-2020,Anti-Müllerian Hormone,[PDF - 921 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TST-K-R-AMH-MET-508.pdf
2019-2020,"Arsenic, Chromium, and Nickel - Urine",[PDF - 2.96 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UTAS-UCM-UNI-K-MET-508.pdf
2017-2018,"Arsenic, Chromium, and Nickel Urine",[PDF - 2.92 MB],October 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UTAS-J-UCM-J-UNI-J-MET-508.pdf
2017-2018,Arsenics - Speciated - Urine,[PDF - 3.58 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UAS-J-MET-508.pdf
2019-2020,Arsenics - Speciated - Urine,[PDF - 3.73 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UAS-K-MET-508.pdf
2017-2018,BIOPRO - Alanine Amino Transferase (ALT),[PDF - 873 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-ALT-508.pdf
2019-2020,BIOPRO - Alanine Amino Transferase (ALT),[PDF - 874 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-ALT-508.pdf
2017-2018,BIOPRO - Albumin,[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Albumin-508.pdf
2019-2020,BIOPRO - Albumin,[PDF - 296 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Albumin-508.pdf
2017-2018,BIOPRO - Alkaline Phosphatase (ALP),[PDF - 873 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-ALP-508.pdf
2019-2020,BIOPRO - Alkaline Phosphatase (ALP),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-ALP-508.pdf
2017-2018,BIOPRO - Aspartate Aminotransferase (AST),[PDF - 879 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-AST-508.pdf
2019-2020,BIOPRO - Aspartate Aminotransferase (AST),[PDF - 879 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-AST-508.pdf
2017-2018,BIOPRO - Bicarbonate (HCO3),[PDF - 933 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Bicarbonate-508.pdf
2019-2020,BIOPRO - Bicarbonate (HCO3),[PDF - 921 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Bicarbonate-508.pdf
2017-2018,BIOPRO - Blood Urea Nitrogen (BUN),[PDF - 877 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-BUN-508.pdf
2019-2020,BIOPRO - Blood Urea Nitrogen (BUN),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-BUN-508.pdf
2017-2018,BIOPRO - Chloride,[PDF - 888 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Chloride-508.pdf
2019-2020,BIOPRO - Chloride,[PDF - 887 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Chloride-508.pdf
2017-2018,BIOPRO - Creatine Phosphokinase (CPK),[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-CPK-508.pdf
2019-2020,BIOPRO - Creatine Phosphokinase (CPK),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-CPK-508.pdf
2017-2018,BIOPRO - Creatinine,[PDF - 904 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Creatinine-508.pdf
2019-2020,BIOPRO - Creatinine,[PDF - 905 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Creatinine-508.pdf
2017-2018,BIOPRO - Gamma-Glutamyl Transferase (GGT),[PDF - 892 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-GGT-508.pdf
2019-2020,BIOPRO - Gamma-Glutamyl Transferase (GGT),[PDF - 893 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-GGT-508.pdf
2017-2018,BIOPRO - Glucose - Serum - Refrigerated,[PDF - 898 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Glucose-508.pdf
