Title,Description,Module_Name,Inline Description,Document,Link
Interview,,2017-2018,,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_Interviewer_Procedures_Manual.pdf
Interview,,2019-2020,,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interview,,2017-2018,,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_Interviewers_Procedures.pdf
Interview,,2019-2020,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Laboratory,,2017-2018,,[PDF - 13.5 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_Laboratory_Procedures_Manual.pdf
Laboratory,,2019-2020,,[PDF - 15.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-MEC-Laboratory-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 5.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_Anthropometry_Procedures_Manual.pdf
Examination,,2019-2020,,[PDF - 5.21 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Anthropometry-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 18.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018-Audiometry-Procedures-Manual-508.pdf
Examination,,2019-2020,,[PDF - 17.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-Audiometry-Procedures-Manual-508.pdf
Examination,,2019-2020,,[PDF - 10.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Balance-Procedures-Manual-508.pdf
Examination,,2019-2020,,[PDF - 6.15 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-Blood-Pressure-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 6.15 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-Blood-Pressure-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 5.66 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/Body_Composition_Procedures_Manual_2018.pdf
Examination,,2019-2020,,[PDF - 6.60 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-2020-Body-Composition-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2017_MEC_In-Person_Dietary_Interviewers_Manual.pdf
Examination,,2019-2020,,[PDF - 11.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2019-MEC-In-Person-Dietary-Interviewers-Manual-508.pdf
Examination,,2017-2018,,[PDF - 8.67 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/NHANES-2018-PhoneFollowUpDietaryManual-508.pdf
Examination,,2019-2020,,[PDF - 11.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Phone-Follow-Up-Dietary-Manual-508.pdf
Examination,,2017-2018,,[PDF - 12.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Liver_Ultrasound_Elastography_Procedures_Manual.pdf
Examination,,2019-2020,,[PDF - 5.38 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Liver-Ultrasound-Transient-Elastography-Procedures-Manual-508.pdf
Examination,,2017-2018,,[PDF - 4.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Oral_Health_Examiners_Manual.pdf
Examination,,2017-2018,,[PDF - 1.95 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018_Oral_Health_Recorders_Procedures_Manual.pdf
Examination,,2019-2020,,[PDF - 5.55 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Oral-Health-Examiners-Manual-508.pdf
Examination,,2019-2020,,[PDF - 2.0 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Oral-Health-Recorders-Manual-508.pdf
Examination,,2017-2018,,[PDF - 8.48 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2018-Physician-Examination-Manual-508.pdf
Examination,,2019-2020,,[PDF - 6.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/manuals/2020-Physician-Examination-Manual-508.pdf
