Titulo,Descricao,Nome_Modulo,Inline Description,Documento,Link
Interviewer Manuals,,2017-2018,,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,2019-2020,,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interviewer Manuals,,2017-2018,,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_MEC_Interviewers_Procedures.pdf
Interviewer Manuals,,2019-2020,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_1_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 176 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SCQ_screener_module_1_K.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 67 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_2_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 72.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_screener_module_2_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 37 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CBQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 37.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CBQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 28.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 53.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/2019-2020_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 152 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HOQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HOQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/INQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/INQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OCQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 62.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SUQ_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_Family_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 30 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/ACQ_J.pdf
