Title,Description,Module_Name,Document,Link
Interviewer Manuals,,Interviewer Procedure Manual,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/../manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interviewer Manuals,,MEC Interviewers Procedures Manual,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/../manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 176 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/SCQ_screener_module_1_K.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 72.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/FSQ_screener_module_2_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Consumer Behavior,[PDF - 37.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/CBQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background,[PDF - 28.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/DMQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Family Questionnaire Hand Cards,[PDF - 53.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/2019-2020_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 152 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/FSQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 14.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/HOQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/INQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Salt Sample Collection,[PDF - 62.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/SUQ_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Smoking,[PDF - 14.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/SMQ_Family_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Acculturation,[PDF - 23.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/ACQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Audiometry,[PDF - 58.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/AUQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Blood Pressure,[PDF - 19.6 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/BPQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Cardiovascular Disease,[PDF - 16.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/questionnaires/CDQ_K.pdf
