Years,Lab Method Name,Documentation,Release Date,PDF Link
2021-2023,alpha-1-Acid Glycoprotein,[PDF - 1.35 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/AGP-L-MET-508.pdf
2021-2023,Anti-Müllerian Hormone,[PDF - 1.23 MB],October 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TST-L-MET-508-AMH.pdf
2021-2023,"Blood Lead, Cadmium, Total Mercury, Selenium and Manganese",[PDF - 6.16 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/PBCD-L-MET-508.pdf
2021-2023,Complete Blood Count,[PDF - 48.2 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/CBC-L-MET-508.pdf
2021-2023,Ferritin,[PDF - 1.26 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/FERTIN-L-MET-508.pdf
2021-2023,Folate - RBC,[PDF - 2.58 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/FOLATE-L-MET-508.pdf
2021-2023,Folate Forms - Total & Individual - Serum,[PDF - 2.58 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/FOLFMS-L-MET-508.pdf
2021-2023,Follicle-Stimulating Hormone,[PDF - 1.12 MB],October 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TST-L-MET-508-FSH.pdf
2021-2023,Glycohemoglobin,[PDF - 873 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/GHB-L-MET-D-100-508.pdf
2021-2023,Glycohemoglobin,[PDF - 934 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/GHB-L-MET-G8-508.pdf
2021-2023,Glycohemoglobin_Premier,[PDF - 902 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/GHB-L-MET-Premier-508.pdf
2021-2023,HDL - Cholesterol,[PDF - 1.62 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/HDL-L-MET-508.pdf
2021-2023,Hepatitis A Antibody,[PDF - 968 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/HEPA-L-MET-508.pdf
2021-2023,Hepatitis B Surface Antibody,[PDF - 993 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/HEPB-S-L-MET-508.pdf
2021-2023,HS-CRP,[PDF - 873 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/HSCRP-L-MET-508.pdf
2021-2023,Insulin,[PDF - 1.00 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/INS-L-MET-508.pdf
2021-2023,Luteinizing Hormone (LH),[PDF - 1.19 MB],October 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TST-L-MET-508-LUH.pdf
2021-2023,"Mercury:  Inorganic, Ethyl, and Methyl - Blood",[PDF - 2.46 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/IHGEM-L-MET-508.pdf
2021-2023,Panel of Steroid Hormones,[PDF - 3.95 MB],October 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TST-L-MET-508-Hormone-Panel.pdf
2021-2023,Plasma Fasting Glucose,[PDF - 860 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/GLU-L-MET-508.pdf
2021-2023,Sex Hormone-Binding Globulin,[PDF - 1.23 MB],October 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TST-L-MET-508-SHBG.pdf
2021-2023,Tina-quant Soluble Transferrin Receptor,[PDF - 1.56 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TFR-L-MET-508.pdf
2021-2023,Total Cholesterol (Frozen) Laboratory Procedure Manual,[PDF - 866 KB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/TCHOL-L-MET-508.pdf
2021-2023,Urine Pregnancy,[PDF - 1.09 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/UCPREG-L-MET-508.pdf
2021-2023,Vitamin D,[PDF - 3.66 MB],September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/labmethods/VID-L-MET-508.pdf
