Titulo,Descricao,Nome_Modulo,Inline Description,Documento,Link
Interview,,2021-2023,,[PDF - 21.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2022-Interviewer-Procedures-508.pdf
Interview,,2021-2023,,[PDF - 6.22 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Dec-MEC-ACASI-Procedures-508.pdf
Laboratory,,2021-2023,,[PDF - 9.88 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Laboratory-Procedures-508.pdf
Examination,,2021-2023,,[PDF - 5.51 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Anthropometry-Procedures-Manual-508.pdf
Examination,,2021-2023,,[PDF - 1.57 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Balance-Procedures-Manual-508.pdf
Examination,,2021-2023,,[PDF - 6.28 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-BloodPressureProcedures-508.pdf
Examination,,2021-2023,,[PDF - 4.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Body-Composition-Procedures-508.pdf
Examination,,2021-2023,,[PDF - 3.13 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2022-MEC-ClinicianProcedures-508.pdf
Examination,,2021-2023,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Dietary-Interviewer-Procedures-508.pdf
Examination,,2021-2023,,[PDF - 5.95 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-LUTE-Procedures-508.pdf
Examination,,2021-2023,,[PDF - 904 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2021/manuals/2021-Urine-Specimen-Collection-508.pdf
