,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
1,WTDRD1,887.3695022 To 293828.97477,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
2,WTDRD1,.,Missing,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
3,WTDRD1,587.82468143 To 338460.18501,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
4,WTDRD1,1774.4576942 To 330066.87932,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
5,WTDRD1,2098.5262571 To 280175.99397,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
6,WTDRD1,1852.3028731 To 443805.73786,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
7,WTDRD1,2493.021655 To 267526.89097,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
8,WTDRD1,0,Day 1 Dietary Recall Not Done/Incomplete,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
9,WTDRD1,1974.178694 To 454277.71731,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
10,WTDRD1,1478.156428 To 691139.54688,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
11,WTDRD1,5708.632624 To 408505.81364,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
12,WTDR2D,708.63828227 To 374736.26978,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
13,WTDR2D,.,Missing,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
14,WTDR2D,790.46780496 To 358726.40791,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
15,WTDR2D,1513.0983763 To 419692.00229,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
16,WTDR2D,1916.5412196 To 318619.99587,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
17,WTDR2D,1531.3308619 To 499271.52935,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
18,WTDR2D,1953.802108 To 818626.65723,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
19,WTDR2D,0,Day 2 Dietary Recall Not Done/Incomplete,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
20,WTDR2D,1663.514111 To 579148.95623,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
21,WTDR2D,1232.691132 To 901995.11886,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
22,WTDR2D,6018.694738 To 759868.32478,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
23,DR2DRSTZ,1,Reliable And Met The Minimum Criteria,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
24,DR2DRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
25,DR2DRSTZ,4,Reported Consuming Breast-Milk,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
26,DR2DRSTZ,5,Not Done,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
27,DR2DRSTZ,.,Missing,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
28,DR2EXMER,11 To 97,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
29,DR2EXMER,.,Missing,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
30,DR2EXMER,11 To 95,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
31,DR2EXMER,32 To 92,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
32,DR2EXMER,32 To 91,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
33,DR2EXMER,5 To 96,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
34,DRABF,1,Yes,['Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. '],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
35,DRABF,2,No,['Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. '],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
36,DRABF,.,Missing,['Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. '],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
37,DRDINT,1,Day 1 Only,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
38,DRDINT,2,Day 1 And Day 2,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
39,DRDINT,.,Missing,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
40,DR2DAY,1,Sunday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
41,DR2DAY,2,Monday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
42,DR2DAY,3,Tuesday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
43,DR2DAY,4,Wednesday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
44,DR2DAY,5,Thursday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
45,DR2DAY,6,Friday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
46,DR2DAY,7,Saturday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
47,DR2DAY,.,Missing,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
48,DR2LANG,1,English,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
49,DR2LANG,2,Spanish,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
50,DR2LANG,3,English And Spanish,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
51,DR2LANG,4,Other,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
52,DR2LANG,.,Missing,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
53,DR2LANG,5,Asian Languages,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
54,DR2LANG,6,Asian Languages And English,"['The SP/Proxy spoke mostly:', 'The respondent spoke mostly:']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
55,DR2MNRSP,1,Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
56,DR2MNRSP,2,Mother Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
57,DR2MNRSP,3,Father Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
58,DR2MNRSP,4,Wife Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
59,DR2MNRSP,5,Husband Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
60,DR2MNRSP,6,Daughter Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
61,DR2MNRSP,7,Son Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
62,DR2MNRSP,8,Grandparent Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
63,DR2MNRSP,9,"Friend, Partner, Non Relative",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
64,DR2MNRSP,10,"Translator, Not A Hh Member",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
65,DR2MNRSP,11,"Child Care Provider, Caretaker",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
66,DR2MNRSP,12,Other Relative,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
67,DR2MNRSP,13,Other Specify,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
68,DR2MNRSP,77,Refused,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
69,DR2MNRSP,99,Don'T Know,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
70,DR2MNRSP,.,Missing,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
71,DR2MNRSP,14,Other Specify,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
72,DR2HELPD,5,Husband Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
73,DR2HELPD,6,Daughter Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
74,DR2HELPD,7,Son Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
75,DR2HELPD,8,Grandparent Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
76,DR2HELPD,9,"Friend, Partner, Non Relative",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
77,DR2HELPD,10,"Translator, Not A Hh Member",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
78,DR2HELPD,11,"Child Care Provider, Caretaker",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
79,DR2HELPD,12,Other Relative,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
80,DR2HELPD,13,No One,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
81,DR2HELPD,14,Other Specify,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
82,DR2HELPD,77,Refused,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
83,DR2HELPD,99,Don'T Know,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
84,DR2HELPD,.,Missing,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
85,DR2HELPD,1,Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
86,DR2HELPD,2,Mother Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
87,DR2HELPD,3,Father Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
88,DR2HELPD,4,Wife Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
89,DR2TNUMF,0 To 42,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
90,DR2TNUMF,.,Missing,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
91,DR2TNUMF,1 To 49,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
92,DR2TNUMF,0 To 56,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
93,DR2TNUMF,0 To 48,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
94,DR2TNUMF,1 To 46,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
95,DR2TNUMF,0 To 47,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
96,DR2TNUMF,1 To 48,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
97,DR2TNUMF,1 To 39,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
98,DR2TNUMF,1 To 40,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
99,DR2TNUMF,1 To 45,Range Of Values,"['Total number of foods reported in the individual foods file', 'Total number of foods/beverages reported in the individual foods file']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
100,DR2TKCAL,0 To 9265,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
101,DR2TKCAL,.,Missing,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
102,DR2TKCAL,0 To 9119,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
103,DR2TKCAL,0 To 9608,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
104,DR2TKCAL,0 To 8976,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
105,DR2TKCAL,0 To 8213,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
106,DR2TKCAL,0 To 10591,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
107,DR2TKCAL,0 To 8516,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
108,DR2TKCAL,0 To 11241,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
109,DR2TKCAL,0 To 10233,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
110,DR2TKCAL,0 To 12326,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
111,DR2TPROT,0 To 407.31,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
112,DR2TPROT,.,Missing,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
113,DR2TPROT,0 To 354.03,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
114,DR2TPROT,0 To 433.82,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
115,DR2TPROT,0 To 555.67,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
116,DR2TPROT,0 To 355.95,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
117,DR2TPROT,0 To 474.19,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
118,DR2TPROT,0 To 456.28,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
119,DR2TPROT,0 To 345.53,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
120,DR2TPROT,0 To 337.77,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
121,DR2TPROT,0 To 417.3,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
122,DR2TCARB,0 To 1197.06,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
123,DR2TCARB,.,Missing,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
124,DR2TCARB,0 To 1416.53,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
