,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
1,WTDRD1,1774.4576942 To 330066.87932,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
2,WTDRD1,.,Missing,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
3,WTDRD1,2098.5262571 To 280175.99397,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
4,WTDRD1,1852.3028731 To 443805.73786,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
5,WTDRD1,2493.021655 To 267526.89097,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
6,WTDRD1,0,Day 1 Dietary Recall Not Done/Incomplete,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
7,WTDRD1,1974.178694 To 454277.71731,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
8,WTDRD1,1478.156428 To 691139.54688,Range Of Values,['Dietary day one sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
9,WTDR2D,1513.0983763 To 419692.00229,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
10,WTDR2D,.,Missing,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
11,WTDR2D,1916.5412196 To 318619.99587,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
12,WTDR2D,1531.3308619 To 499271.52935,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
13,WTDR2D,1953.802108 To 818626.65723,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
14,WTDR2D,0,Day 2 Dietary Recall Not Done/Incomplete,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
15,WTDR2D,1663.514111 To 579148.95623,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
16,WTDR2D,1232.691132 To 901995.11886,Range Of Values,['Dietary two-day sample weight'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
17,DR1DRSTZ,1,Reliable And Met The Minimum Criteria,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
18,DR1DRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
19,DR1DRSTZ,4,Reported Consuming Breast-Milk,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
20,DR1DRSTZ,5,Not Done,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
21,DR1DRSTZ,.,Missing,['Dietary recall status'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
22,DR1EXMER,16 To 91,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
23,DR1EXMER,.,Missing,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
24,DR1EXMER,14 To 91,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
25,DR1EXMER,22 To 91,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
26,DR1EXMER,2 To 91,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
27,DR1EXMER,14 To 94,Range Of Values,['Interviewer ID code'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
28,DRDINT,1,Day 1 Only,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
29,DRDINT,2,Day 1 And Day 2,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
30,DRDINT,.,Missing,['Indicates whether the sample person has intake data for one or two days.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
31,DR1DAY,1,Sunday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
32,DR1DAY,2,Monday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
33,DR1DAY,3,Tuesday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
34,DR1DAY,4,Wednesday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
35,DR1DAY,5,Thursday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
36,DR1DAY,6,Friday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
37,DR1DAY,7,Saturday,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
38,DR1DAY,.,Missing,['Intake day of the week'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
39,DR1LANG,1,English,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
40,DR1LANG,2,Spanish,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
41,DR1LANG,3,English And Spanish,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
42,DR1LANG,4,Other,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
43,DR1LANG,.,Missing,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
44,DR1LANG,5 To 6,Range Of Values,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
45,DR1LANG,5,Asian Languages,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
46,DR1LANG,6,Asian Languages And English,['The respondent spoke mostly:'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
47,DR1MNRSP,1,Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
48,DR1MNRSP,2,Mother Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
49,DR1MNRSP,3,Father Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
50,DR1MNRSP,4,Wife Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
51,DR1MNRSP,5,Husband Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
52,DR1MNRSP,6,Daughter Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
53,DR1MNRSP,7,Son Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
54,DR1MNRSP,8,Grandparent Of Sp,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
55,DR1MNRSP,9,"Friend, Partner, Non Relative",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
56,DR1MNRSP,10,"Translator, Not A Hh Member",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
57,DR1MNRSP,11,"Child Care Provider, Caretaker",['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
58,DR1MNRSP,12,Other Relative,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
59,DR1MNRSP,13,Other Specify,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
60,DR1MNRSP,77,Refused,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
61,DR1MNRSP,99,Don'T Know,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
62,DR1MNRSP,.,Missing,['Who was the main respondent for this interview?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
63,DR1HELPD,1,Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
64,DR1HELPD,2,Mother Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
65,DR1HELPD,3,Father Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
66,DR1HELPD,4,Wife Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
67,DR1HELPD,5,Husband Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
68,DR1HELPD,6,Daughter Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
69,DR1HELPD,7,Son Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
70,DR1HELPD,8,Grandparent Of Sp,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
71,DR1HELPD,9,"Friend, Partner, Non Relative",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
72,DR1HELPD,10,"Translator, Not A Hh Member",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
73,DR1HELPD,11,"Child Care Provider, Caretaker",['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
74,DR1HELPD,12,Other Relative,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
75,DR1HELPD,13,No One,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
76,DR1HELPD,14,Other Specify,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
77,DR1HELPD,77,Refused,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
78,DR1HELPD,99,Don'T Know,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
79,DR1HELPD,.,Missing,['Who helped in responding for this interview'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
