,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,WTDRD1,,,,,,,,,,
2,WTDR2D,,,,,,,,,,
3,DR2DRSTZ,,,,,,,,,,
4,DR2EXMER,,,,,,,,,,
5,DRDINT,,,,,,,,,,
6,DR2DAY,,,,,,,,,,
7,DR2LANG,,,,,,,,,,
8,DR2MNRSP,,,,,,,,,,
9,DR2HELPD,,,,,,,,,,
10,DS2DS,,,,,,,,,,
11,DS2DSCNT,,,,,,,,,,
12,DS2AN,,,,,,,,,,
13,DS2ANCNT,,,,,,,,,,
14,DS2TKCAL,,,,,,,,,,
15,DS2TPROT,,,,,,,,,,
16,DS2TCARB,,,,,,,,,,
17,DS2TSUGR,,,,,,,,,,
18,DS2TFIBE,,,,,,,,,,
19,DS2TTFAT,,,,,,,,,,
20,DS2TSFAT,,,,,,,,,,
21,DS2TMFAT,,,,,,,,,,
22,DS2TPFAT,,,,,,,,,,
23,DS2TCHOL,,,,,,,,,,
24,DS2TLYCO,,,,,,,,,,
25,DS2TLZ,,,,,,,,,,
26,DS2TVB1,,,,,,,,,,
27,DS2TVB2,,,,,,,,,,
28,DS2TNIAC,,,,,,,,,,
29,DS2TVB6,,,,,,,,,,
30,DS2TFA,,,,,,,,,,
31,DS2TFDFE,,,,,,,,,,
32,DS2TCHL,,,,,,,,,,
33,DS2TVB12,,,,,,,,,,
34,DS2TVC,,,,,,,,,,
35,DS2TVK,,,,,,,,,,
36,DS2TVD,,,,,,,,,,
37,DS2TCALC,,,,,,,,,,
38,DS2TPHOS,,,,,,,,,,
39,DS2TMAGN,,,,,,,,,,
40,DS2TIRON,,,,,,,,,,
41,DS2TZINC,,,,,,,,,,
42,DS2TCOPP,,,,,,,,,,
43,DS2TSODI,,,,,,,,,,
44,DS2TPOTA,,,,,,,,,,
45,DS2TSELE,,,,,,,,,,
46,DS2TCAFF,,,,,,,,,,
47,DR2DBIH,,,,,,,,,,
48,DS2TIODI,,,,,,,,,,
49,DR2MRESP,,,,,,,,,,
50,DR2HELP,,,,,,,,,,
51,WTDR2DPP,,,,,,,,,,
52,WTDRD1PP,,,,,,,,,,
