,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
1,DSDSUPID,Supplement Id Number,Value Was Recorded,['Supplement ID number'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
2,DSDSUPID,7777777777,Refused,['Supplement ID number'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
3,DSDSUPID,9999999999,Don'T Know,['Supplement ID number'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
4,DSDSUPID,< Blank >,Missing,['Supplement ID number'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
5,DSDSUPP,Supplement Name,Value Was Recorded,['Supplement name'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
6,DSDSUPP,7777,Refused,['Supplement name'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
7,DSDSUPP,9999,Don'T Know,['Supplement name'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
8,DSDSUPP,< Blank >,Missing,['Supplement name'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
9,DSD070,1,Yes,"[nan, 'Was container seen?']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
10,DSD070,2,No,"[nan, 'Was container seen?']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
11,DSD070,.,Missing,"[nan, 'Was container seen?']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
12,DSDMTCH,1,Exact Or Near Exact Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
13,DSDMTCH,2,Probable Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
14,DSDMTCH,3,Generic Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
15,DSDMTCH,4,Reasonable Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
16,DSDMTCH,5,Default Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
17,DSDMTCH,6,No Match,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
18,DSDMTCH,7,Refused,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
19,DSDMTCH,9,Don'T Know,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
20,DSDMTCH,.,Missing,"[nan, 'Matching code']",['Both males and females 0 YEARS - 150 YEARS'],[nan],,
21,DSD090,0 To 25550,Range Of Values,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
22,DSD090,7777777,Refused,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
23,DSD090,9999999,Don'T Know,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
24,DSD090,.,Missing,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
25,DSD090,1 To 21900,Range Of Values,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
26,DSD090,1 To 29200,Range Of Values,['For how long have you been taking {PRODUCT NAME} or a similar type of product?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
27,DSD103,0 To 30,Range Of Values,['In the past 30 days on how many days did you take {PRODUCT NAME}?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
28,DSD103,7777,Refused,['In the past 30 days on how many days did you take {PRODUCT NAME}?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
29,DSD103,9999,Don'T Know,['In the past 30 days on how many days did you take {PRODUCT NAME}?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
30,DSD103,.,Missing,['In the past 30 days on how many days did you take {PRODUCT NAME}?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
31,DSD103,1 To 30,Range Of Values,['In the past 30 days on how many days did you take {PRODUCT NAME}?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
32,DSD122Q,0.06 To 54,Range Of Values,['On the days that you took it how much did you take?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
33,DSD122Q,777777,Refused,['On the days that you took it how much did you take?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
34,DSD122Q,999999,Don'T Know,['On the days that you took it how much did you take?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
