,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
1,DSDCOUNT,0 To 24,Range Of Values,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
2,DSDCOUNT,77,Refused,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
3,DSDCOUNT,99,Don'T Know,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
4,DSDCOUNT,.,Missing,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
5,DSDCOUNT,0 To 20,Range Of Values,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
6,DSDCOUNT,0 To 18,Range Of Values,['Includes all supplements and the antacids reported with supplements but not antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
7,DSDANCNT,0 To 3,Range Of Values,['Includes all antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
8,DSDANCNT,77,Refused,['Includes all antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
9,DSDANCNT,99,Don'T Know,['Includes all antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
10,DSDANCNT,.,Missing,['Includes all antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
11,DSDANCNT,0 To 2,Range Of Values,['Includes all antacids reported with medications.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
12,DSD010,1,Yes,['The next questions are about {your/SPs} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist and those that do not require a prescription. This card lists some examples of different types of dietary supplements.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
13,DSD010,2,No,['The next questions are about {your/SPs} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist and those that do not require a prescription. This card lists some examples of different types of dietary supplements.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
14,DSD010,7,Refused,['The next questions are about {your/SPs} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist and those that do not require a prescription. This card lists some examples of different types of dietary supplements.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
15,DSD010,9,Don'T Know,['The next questions are about {your/SPs} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist and those that do not require a prescription. This card lists some examples of different types of dietary supplements.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
16,DSD010,.,Missing,['The next questions are about {your/SPs} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist and those that do not require a prescription. This card lists some examples of different types of dietary supplements.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
17,DSD010AN,1,Yes,[nan],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
18,DSD010AN,2,No,[nan],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
19,DSD010AN,7,Refused,[nan],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
20,DSD010AN,9,Don'T Know,[nan],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
21,DSD010AN,.,Missing,[nan],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
22,DSQTKCAL,0.1 To 3654.3,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
23,DSQTKCAL,.,Missing,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
24,DSQTKCAL,0.1 To 510,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
25,DSQTKCAL,0.1 To 387.7,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
26,DSQTKCAL,0.1 To 715.1,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
27,DSQTKCAL,0.1 To 326.7,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
28,DSQTKCAL,0.1 To 425,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
29,DSQTKCAL,0.1 To 1270,Range Of Values,['Energy (kcal)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
30,DSQTPROT,0 To 168,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
31,DSQTPROT,.,Missing,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
32,DSQTPROT,0 To 56,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
33,DSQTPROT,0.01 To 72,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
34,DSQTPROT,0.01 To 62,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
35,DSQTPROT,0.01 To 52,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
36,DSQTPROT,0.002 To 60,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
37,DSQTPROT,0.002 To 67,Range Of Values,['Protein (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
38,DSQTCARB,0 To 705.6,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
39,DSQTCARB,.,Missing,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
40,DSQTCARB,0 To 58,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
41,DSQTCARB,0.002 To 42,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
42,DSQTCARB,0.005 To 119.73,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
43,DSQTCARB,0.001 To 52.2667,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
44,DSQTCARB,0.0005 To 254.5,Range Of Values,['Carbohydrate (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
45,DSQTSUGR,0 To 128.5,Range Of Values,['Total sugars (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
46,DSQTSUGR,.,Missing,['Total sugars (gm)'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
