"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_DR2TOT","DR2_300","DR2_300","Compare food consumed yesterday to usual","Was the amount of food that {you/NAME} ate yesterday much more than usual usual or much less than usual?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Much more than usual"", ""Usual"", ""Much less than usual"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""679"", ""8581"", ""1622"", ""0"", ""54"", ""3364""]; Cumulative=[""679"", ""9260"", ""10882"", ""10882"", ""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2_320Z","DR2_320Z","Total plain water drank yesterday (gm)","Total plain water drank yesterday - including plain tap water water from a drinking fountain water from a water cooler bottled water and spring water.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12168"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10830"", ""3470""]; Cumulative=[""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2_330Z","DR2_330Z","Total tap water drank yesterday (gm)","Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11835"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10830"", ""3470""]; Cumulative=[""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2BWATZ","DR2BWATZ","Total bottled water drank yesterday (gm)","Total bottled water drank yesterday. (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12168"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10830"", ""3470""]; Cumulative=[""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1984"", ""1736"", ""2288"", ""1824"", ""1439"", ""1138"", ""527"", ""3364""]; Cumulative=[""1984"", ""3720"", ""6008"", ""7832"", ""9271"", ""10409"", ""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2DBIH","DR2DBIH","# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-38 to 163"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10425"", ""3875""]; Cumulative=[""10425"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""10627"", ""106"", ""203"", ""3364"", ""0""]; Cumulative=[""10627"", ""10733"", ""10936"", ""14300"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""32 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10936"", ""3364""]; Cumulative=[""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2HELP","DR2HELP","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Parent of SP"", ""Spouse of SP"", ""Child of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No One"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""360"", ""324"", ""104"", ""15"", ""11"", ""5"", ""0"", ""2"", ""13"", ""9996"", ""0"", ""0"", ""3470""]; Cumulative=[""360"", ""684"", ""788"", ""803"", ""814"", ""819"", ""819"", ""821"", ""834"", ""10830"", ""10830"", ""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2LANG","DR2LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Asian Languages"", ""Asian Languages and English"", ""Missing""]; Count=[""10042"", ""882"", ""24"", ""1"", ""40"", ""0"", ""3311""]; Cumulative=[""10042"", ""10924"", ""10948"", ""10949"", ""10989"", ""10989"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2MRESP","DR2MRESP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Spouse of SP"", ""Child of SP"", ""Grandparent of SP"", ""Friend, partner, non-relative"", ""Translator, not a HH member"", ""Child care provider, caretaker"", ""Other relative"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8176"", ""2180"", ""245"", ""40"", ""44"", ""87"", ""2"", ""0"", ""15"", ""40"", ""0"", ""1"", ""3470""]; Cumulative=[""8176"", ""10356"", ""10601"", ""10641"", ""10685"", ""10772"", ""10774"", ""10774"", ""10789"", ""10829"", ""10829"", ""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
