,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,WTSAU2YR,,,,,,,,,,
2,WTSAU4YR,,,,,,,,,,
3,AUDTYR01,,,,,,,,,,
4,AUDTYR02,,,,,,,,,,
5,AUDTYR03,,,,,,,,,,
6,AUDTYR04,,,,,,,,,,
7,AUDTYR05,,,,,,,,,,
8,AUDTYR06,,,,,,,,,,
9,AUDTYR07,,,,,,,,,,
10,AUDTYR08,,,,,,,,,,
11,AUDTYR09,,,,,,,,,,
12,AUDTYR10,,,,,,,,,,
13,AUDTYR11,,,,,,,,,,
14,AUDTYR12,,,,,,,,,,
15,AUDTYR13,,,,,,,,,,
16,AUDTYR14,,,,,,,,,,
17,AUDTYR15,,,,,,,,,,
18,AUDTYR16,,,,,,,,,,
19,AUDTYR17,,,,,,,,,,
20,AUDTYR18,,,,,,,,,,
21,AUDTYR19,,,,,,,,,,
22,AUDTYR20,,,,,,,,,,
23,AUDTYR21,,,,,,,,,,
24,AUDTYR22,,,,,,,,,,
25,AUDTYR23,,,,,,,,,,
26,AUDTYR24,,,,,,,,,,
27,AUDTYR25,,,,,,,,,,
28,AUDTYR26,,,,,,,,,,
29,AUDTYR27,,,,,,,,,,
30,AUDTYR28,,,,,,,,,,
31,AUDTYR29,,,,,,,,,,
32,AUDTYR30,,,,,,,,,,
33,AUDTYR31,,,,,,,,,,
34,AUDTYR32,,,,,,,,,,
35,AUDTYR33,,,,,,,,,,
36,AUDTYR34,,,,,,,,,,
37,AUDTYR35,,,,,,,,,,
38,AUDTYR36,,,,,,,,,,
39,AUDTYR37,,,,,,,,,,
40,AUDTYR38,,,,,,,,,,
41,AUDTYR39,,,,,,,,,,
42,AUDTYR40,,,,,,,,,,
43,AUDTYR41,,,,,,,,,,
44,AUDTYR42,,,,,,,,,,
45,AUDTYR43,,,,,,,,,,
46,AUDTYR44,,,,,,,,,,
47,AUDTYR45,,,,,,,,,,
48,AUDTYR46,,,,,,,,,,
49,AUDTYR47,,,,,,,,,,
50,AUDTYR48,,,,,,,,,,
51,AUDTYR49,,,,,,,,,,
52,AUDTYR50,,,,,,,,,,
53,AUDTYR51,,,,,,,,,,
54,AUDTYR52,,,,,,,,,,
55,AUDTYR53,,,,,,,,,,
56,AUDTYR54,,,,,,,,,,
57,AUDTYR55,,,,,,,,,,
58,AUDTYR56,,,,,,,,,,
59,AUDTYR57,,,,,,,,,,
60,AUDTYR58,,,,,,,,,,
61,AUDTYR59,,,,,,,,,,
62,AUDTYR60,,,,,,,,,,
63,AUDTYR61,,,,,,,,,,
64,AUDTYR62,,,,,,,,,,
65,AUDTYR63,,,,,,,,,,
66,AUDTYR64,,,,,,,,,,
67,AUDTYR65,,,,,,,,,,
68,AUDTYR66,,,,,,,,,,
69,AUDTYR67,,,,,,,,,,
70,AUDTYR68,,,,,,,,,,
71,AUDTYR69,,,,,,,,,,
72,AUDTYR70,,,,,,,,,,
73,AUDTYR71,,,,,,,,,,
74,AUDTYR72,,,,,,,,,,
75,AUDTYR73,,,,,,,,,,
76,AUDTYR74,,,,,,,,,,
77,AUDTYR75,,,,,,,,,,
78,AUDTYR76,,,,,,,,,,
79,AUDTYR77,,,,,,,,,,
80,AUDTYR78,,,,,,,,,,
81,AUDTYR79,,,,,,,,,,
82,AUDTYR80,,,,,,,,,,
83,AUDTYR81,,,,,,,,,,
84,AUDTYR82,,,,,,,,,,
85,AUDTYR83,,,,,,,,,,
86,AUDTYR84,,,,,,,,,,
87,AUDTYL01,,,,,,,,,,
88,AUDTYL02,,,,,,,,,,
89,AUDTYL03,,,,,,,,,,
90,AUDTYL04,,,,,,,,,,
91,AUDTYL05,,,,,,,,,,
92,AUDTYL06,,,,,,,,,,
93,AUDTYL07,,,,,,,,,,
94,AUDTYL08,,,,,,,,,,
95,AUDTYL09,,,,,,,,,,
96,AUDTYL10,,,,,,,,,,
97,AUDTYL11,,,,,,,,,,
98,AUDTYL12,,,,,,,,,,
99,AUDTYL13,,,,,,,,,,
100,AUDTYL14,,,,,,,,,,
101,AUDTYL15,,,,,,,,,,
102,AUDTYL16,,,,,,,,,,
103,AUDTYL17,,,,,,,,,,
104,AUDTYL18,,,,,,,,,,
105,AUDTYL19,,,,,,,,,,
106,AUDTYL20,,,,,,,,,,
107,AUDTYL21,,,,,,,,,,
108,AUDTYL22,,,,,,,,,,
109,AUDTYL23,,,,,,,,,,
110,AUDTYL24,,,,,,,,,,
111,AUDTYL25,,,,,,,,,,
112,AUDTYL26,,,,,,,,,,
113,AUDTYL27,,,,,,,,,,
114,AUDTYL28,,,,,,,,,,
115,AUDTYL29,,,,,,,,,,
116,AUDTYL30,,,,,,,,,,
117,AUDTYL31,,,,,,,,,,
118,AUDTYL32,,,,,,,,,,
119,AUDTYL33,,,,,,,,,,
120,AUDTYL34,,,,,,,,,,
121,AUDTYL35,,,,,,,,,,
122,AUDTYL36,,,,,,,,,,
123,AUDTYL37,,,,,,,,,,
124,AUDTYL38,,,,,,,,,,
125,AUDTYL39,,,,,,,,,,
126,AUDTYL40,,,,,,,,,,
127,AUDTYL41,,,,,,,,,,
128,AUDTYL42,,,,,,,,,,
129,AUDTYL43,,,,,,,,,,
130,AUDTYL44,,,,,,,,,,
131,AUDTYL45,,,,,,,,,,
132,AUDTYL46,,,,,,,,,,
133,AUDTYL47,,,,,,,,,,
134,AUDTYL48,,,,,,,,,,
135,AUDTYL49,,,,,,,,,,
136,AUDTYL50,,,,,,,,,,
137,AUDTYL51,,,,,,,,,,
138,AUDTYL52,,,,,,,,,,
139,AUDTYL53,,,,,,,,,,
140,AUDTYL54,,,,,,,,,,
141,AUDTYL55,,,,,,,,,,
142,AUDTYL56,,,,,,,,,,
143,AUDTYL57,,,,,,,,,,
144,AUDTYL58,,,,,,,,,,
145,AUDTYL59,,,,,,,,,,
146,AUDTYL60,,,,,,,,,,
147,AUDTYL61,,,,,,,,,,
148,AUDTYL62,,,,,,,,,,
149,AUDTYL63,,,,,,,,,,
150,AUDTYL64,,,,,,,,,,
151,AUDTYL65,,,,,,,,,,
152,AUDTYL66,,,,,,,,,,
153,AUDTYL67,,,,,,,,,,
154,AUDTYL68,,,,,,,,,,
155,AUDTYL69,,,,,,,,,,
156,AUDTYL70,,,,,,,,,,
157,AUDTYL71,,,,,,,,,,
158,AUDTYL72,,,,,,,,,,
159,AUDTYL73,,,,,,,,,,
160,AUDTYL74,,,,,,,,,,
161,AUDTYL75,,,,,,,,,,
162,AUDTYL76,,,,,,,,,,
163,AUDTYL77,,,,,,,,,,
164,AUDTYL78,,,,,,,,,,
165,AUDTYL79,,,,,,,,,,
166,AUDTYL80,,,,,,,,,,
167,AUDTYL81,,,,,,,,,,
168,AUDTYL82,,,,,,,,,,
169,AUDTYL83,,,,,,,,,,
170,AUDTYL84,,,,,,,,,,
171,TYXPEAR,,,,,,,,,,
172,TYXP001,,,,,,,,,,
173,TYXP002,,,,,,,,,,
174,TYXP003,,,,,,,,,,
175,TYXP004,,,,,,,,,,
176,TYXP005,,,,,,,,,,
177,TYXP006,,,,,,,,,,
178,TYXP007,,,,,,,,,,
179,TYXP008,,,,,,,,,,
180,TYXP009,,,,,,,,,,
181,TYXP010,,,,,,,,,,
182,TYXP011,,,,,,,,,,
183,TYXP012,,,,,,,,,,
184,TYXP013,,,,,,,,,,
185,TYXP014,,,,,,,,,,
186,TYXP015,,,,,,,,,,
187,TYXP016,,,,,,,,,,
