,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,WTSBA4YR,,,,,,,,,,
2,BAAEXSTS,,,,,,,,,,
3,BAAEXCMT,,,,,,,,,,
4,BAQ110,,,,,,,,,,
5,BAQ120,,,,,,,,,,
6,BAQ130,,,,,,,,,,
7,BAXPFC11,,,,,,,,,,
8,BAXFTC11,,,,,,,,,,
9,BAXPFC12,,,,,,,,,,
10,BAXFTC12,,,,,,,,,,
11,BAXPFC21,,,,,,,,,,
12,BAXFTC21,,,,,,,,,,
13,BAXPFC22,,,,,,,,,,
14,BAXFTC22,,,,,,,,,,
15,BAXPFC31,,,,,,,,,,
16,BAXFTC31,,,,,,,,,,
17,BAXPFC32,,,,,,,,,,
18,BAXFTC32,,,,,,,,,,
19,BAXPFC41,,,,,,,,,,
20,BAXFTC41,,,,,,,,,,
21,BAXPFC42,,,,,,,,,,
22,BAXFTC42,,,,,,,,,,
23,BAXMSTAT,,,,,,,,,,
24,BAXRXNC,,,,,,,,,,
25,BAXRXND,,,,,,,,,,
26,BAX5STAT,,,,,,,,,,
27,BAQ121,,,,,,,,,,
28,BAQ125,,,,,,,,,,
29,BAQ132,,,,,,,,,,
30,BAQ140,,,,,,,,,,
31,BAQ150,,,,,,,,,,
32,BAQ160,,,,,,,,,,
33,BAQ170,,,,,,,,,,
34,BAQ201,,,,,,,,,,
35,BAQ173,,,,,,,,,,
36,BAXPF11,,,,,,,,,,
37,BAXTC11,,,,,,,,,,
38,BAARFC11,,,,,,,,,,
39,BAXPF12,,,,,,,,,,
40,BAXTC12,,,,,,,,,,
41,BAARFC12,,,,,,,,,,
42,BAXPF21,,,,,,,,,,
43,BAXTC21,,,,,,,,,,
44,BAARFC21,,,,,,,,,,
45,BAXPF22,,,,,,,,,,
46,BAXTC22,,,,,,,,,,
47,BAARFC22,,,,,,,,,,
48,BAXPF31,,,,,,,,,,
49,BAXTC31,,,,,,,,,,
50,BAARFC31,,,,,,,,,,
51,BAXPF32,,,,,,,,,,
52,BAXTC32,,,,,,,,,,
53,BAARFC32,,,,,,,,,,
54,BAXPF41,,,,,,,,,,
55,BAXTC41,,,,,,,,,,
56,BAARFC41,,,,,,,,,,
57,BAXPF42,,,,,,,,,,
58,BAXTC42,,,,,,,,,,
59,BAARFC42,,,,,,,,,,
60,BAXPF51,,,,,,,,,,
61,BAXTC51,,,,,,,,,,
62,BAARFC51,,,,,,,,,,
63,BAXPF52,,,,,,,,,,
64,BAXTC52,,,,,,,,,,
65,BAARFC52,,,,,,,,,,
66,WTSBA2YR,,,,,,,,,,
67,WTSBA01,,,,,,,,,,
68,WTSBA02,,,,,,,,,,
69,WTSBA03,,,,,,,,,,
70,WTSBA04,,,,,,,,,,
71,WTSBA05,,,,,,,,,,
72,WTSBA06,,,,,,,,,,
73,WTSBA07,,,,,,,,,,
74,WTSBA08,,,,,,,,,,
75,WTSBA09,,,,,,,,,,
76,WTSBA10,,,,,,,,,,
77,WTSBA11,,,,,,,,,,
78,WTSBA12,,,,,,,,,,
79,WTSBA13,,,,,,,,,,
80,WTSBA14,,,,,,,,,,
81,WTSBA15,,,,,,,,,,
82,WTSBA16,,,,,,,,,,
83,WTSBA17,,,,,,,,,,
84,WTSBA18,,,,,,,,,,
85,WTSBA19,,,,,,,,,,
86,WTSBA20,,,,,,,,,,
87,WTSBA21,,,,,,,,,,
88,WTSBA22,,,,,,,,,,
89,WTSBA23,,,,,,,,,,
90,WTSBA24,,,,,,,,,,
91,WTSBA25,,,,,,,,,,
92,WTSBA26,,,,,,,,,,
93,WTSBA27,,,,,,,,,,
94,WTSBA28,,,,,,,,,,
95,WTSBA29,,,,,,,,,,
96,WTSBA30,,,,,,,,,,
97,WTSBA31,,,,,,,,,,
98,WTSBA32,,,,,,,,,,
99,WTSBA33,,,,,,,,,,
100,WTSBA34,,,,,,,,,,
101,WTSBA35,,,,,,,,,,
102,WTSBA36,,,,,,,,,,
103,WTSBA37,,,,,,,,,,
104,WTSBA38,,,,,,,,,,
105,WTSBA39,,,,,,,,,,
106,WTSBA40,,,,,,,,,,
107,WTSBA41,,,,,,,,,,
108,WTSBA42,,,,,,,,,,
109,WTSBA43,,,,,,,,,,
110,WTSBA44,,,,,,,,,,
111,WTSBA45,,,,,,,,,,
112,WTSBA46,,,,,,,,,,
113,WTSBA47,,,,,,,,,,
114,WTSBA48,,,,,,,,,,
115,WTSBA49,,,,,,,,,,
116,WTSBA50,,,,,,,,,,
117,WTSBA51,,,,,,,,,,
118,WTSBA52,,,,,,,,,,
