,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
1,BIAEXSTS,1,Examination Completed,['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
2,BIAEXSTS,2,Examination Incomplete,['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
3,BIAEXSTS,3,"Not Examined, Pregnancy",['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
4,BIAEXSTS,4,"Not Examined, Weight > 300 Lbs",['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
5,BIAEXSTS,5,"Not Examined, Jewelry Or Other Objects Not Removed Or Metal In Body",['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
6,BIAEXSTS,6,"Not Examined, Other Reason",['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
7,BIAEXSTS,.,Missing,['BIA Status'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
8,BIDFIT,0,Excellent,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
9,BIDFIT,1,Good,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
10,BIDFIT,2,Marginal,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
11,BIDFIT,3,Questionable,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
12,BIDFIT,4,Bad,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
13,BIDFIT,5,Could Not Be Fit,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
14,BIDFIT,7,No Bia Data,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
15,BIDFIT,.,Missing,['Quality of fit to Cole model'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
16,BIDRECF,375.6 To 1410.9,Range Of Values,['Resistance (ohms) of extracellular fluid (ECF) from Cole modeling'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
17,BIDRECF,.,Missing,['Resistance (ohms) of extracellular fluid (ECF) from Cole modeling'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
18,BIDRECF,396.5 To 1736.1,Range Of Values,['Resistance (ohms) of extracellular fluid (ECF) from Cole modeling'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
19,BIDRECF,303.2 To 1087.4,Range Of Values,['Resistance (ohms) of extracellular fluid (ECF) from Cole modeling'],['Both males and females 8 YEARS - 49 YEARS'],[nan],,
