,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DXDLSPST,,,,,,,,,,
2,DXXT4CC,,,,,,,,,,
3,DXXT5CC,,,,,,,,,,
4,DXXT6CC,,,,,,,,,,
5,DXXT7CC,,,,,,,,,,
6,DXXT8CC,,,,,,,,,,
7,DXXT9CC,,,,,,,,,,
8,DXXT10CC,,,,,,,,,,
9,DXXT11CC,,,,,,,,,,
10,DXXT12CC,,,,,,,,,,
11,DXXL1CC,,,,,,,,,,
12,DXXL2CC,,,,,,,,,,
13,DXXL3CC,,,,,,,,,,
14,DXXL4CC,,,,,,,,,,
15,DXXVFAST,,,,,,,,,,
16,DXXT4FX,,,,,,,,,,
17,DXXT5FX,,,,,,,,,,
18,DXXT6FX,,,,,,,,,,
19,DXXT7FX,,,,,,,,,,
20,DXXT8FX,,,,,,,,,,
21,DXXT9FX,,,,,,,,,,
22,DXXT10FX,,,,,,,,,,
23,DXXT11FX,,,,,,,,,,
24,DXXT12FX,,,,,,,,,,
25,DXXL1FX,,,,,,,,,,
26,DXXL2FX,,,,,,,,,,
27,DXXL3FX,,,,,,,,,,
28,DXXL4FX,,,,,,,,,,
