"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CVX_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 49 YEARS",NA,NA
"CVX_C","CVDEXSTS","CVDEXSTS","CV fitness exam status","CV fitness exam status","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""VO2max estimated"", ""Tested but VO2max estimate missing"", ""Not done"", ""Missing""]; Count=[""2809"", ""415"", ""1439"", ""0""]; Cumulative=[""2809"", ""3224"", ""4663"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCMT","CVDEXCMT","Comment code for CV fitness exam status","Comment code for CV fitness exam status","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""90"", "".""]; Value.Description=[""None"", ""Met exclusion criteria"", ""Pregnant more than 12 weeks"", ""Refusal"", ""No time"", ""Technical problem"", ""Met priority 1 stopping criteria"", ""Met priority 2 stopping criteria"", ""Not able to calculate VO2max"", ""Other"", ""Missing""]; Count=[""2103"", ""873"", ""203"", ""67"", ""272"", ""688"", ""73"", ""314"", ""12"", ""58"", ""0""]; Cumulative=[""2103"", ""2976"", ""3179"", ""3246"", ""3518"", ""4206"", ""4279"", ""4593"", ""4605"", ""4663"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL1","CVDEXCL1","Excluded per physical limitations","Excluded from exam due to selected physical functioning limitations","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""328"", ""545"", ""3790""]; Cumulative=[""328"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL2","CVDEXCL2","Excluded per cardiovascular conditions","Excluded from exam due to selected cardiovascular conditions/symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""336"", ""537"", ""3790""]; Cumulative=[""336"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL3","CVDEXCL3","Excluded per lung/breathing conditions","Excluded from exam due to selected lung/breathing conditions/symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""183"", ""690"", ""3790""]; Cumulative=[""183"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL4","CVDEXCL4","Excluded per asthma symptoms","Excluded from exam due to selected asthma symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""108"", ""765"", ""3790""]; Cumulative=[""108"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL5","CVDEXCL5","Excluded per medications","Excluded from exam due to taking selected exclusionary medications","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""97"", ""776"", ""3790""]; Cumulative=[""97"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVDEXCL6","CVDEXCL6","Excluded per other specific reasons","Excluded from exam due to other specific reasons","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""92"", ""781"", ""3790""]; Cumulative=[""92"", ""873"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220a","CVQ220a","Priority 2 Stop excessive HR in stage 2","Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during first 2 minutes of stage 2","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""116"", ""198"", ""4349""]; Cumulative=[""116"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220b","CVQ220b","Priority 2 Stop excessive HR in stage 1","Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during stage 1","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""55"", ""259"", ""4349""]; Cumulative=[""55"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220c","CVQ220c","Priority 2 Stop excessive BP","Reason for Priority 2 Stop: Exercise blood pressure exceeds 260 mmHg systolic and/or 115 mmHg diastolic","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""10"", ""304"", ""4349""]; Cumulative=[""10"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220e","CVQ220e","Priority 2 Stop significant drop in SBP","Reason for Priority 2 Stop: Significant drop (> 20 mm Hg) in systolic blood pressure during exercise","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""28"", ""286"", ""4349""]; Cumulative=[""28"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220g","CVQ220g","Priority 2 Stop variability in HR","Reason for Priority 2 Stop: Sudden noticeable variability in heart rate (sudden change of more than 30 beats/minute during a stage)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""3"", ""311"", ""4349""]; Cumulative=[""3"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX_C","CVQ220h","CVQ220h","Priority 2 Stop participant request","Reason for Priority 2 Stop: Participant requests to stop test or reports severe fatigue","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""32"", ""282"", ""4349""]; Cumulative=[""32"", ""314"", ""4663""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
