"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"FLXCLN_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 19 YEARS",NA,NA
"FLXCLN_G","FCX02DI","FCX02DI","Fluorosis DI: #2","Fluorosis Deans Index: Upper right 2nd molar (2M)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""464"", ""212"", ""150"", ""201"", ""7"", ""76"", ""0"", ""1308"", ""84""]; Cumulative=[""464"", ""676"", ""826"", ""1027"", ""1034"", ""1110"", ""1110"", ""2418"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX03DI","FCX03DI","Fluorosis DI: #3","Fluorosis Deans Index: Upper right 1st molar (1M)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""966"", ""426"", ""284"", ""300"", ""26"", ""146"", ""7"", ""257"", ""90""]; Cumulative=[""966"", ""1392"", ""1676"", ""1976"", ""2002"", ""2148"", ""2155"", ""2412"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX04DI","FCX04DI","Fluorosis DI: #4","Fluorosis Deans Index: Upper right 2nd bicuspid/2nd primary molar (2B)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""608"", ""243"", ""150"", ""132"", ""8"", ""195"", ""2"", ""1079"", ""85""]; Cumulative=[""608"", ""851"", ""1001"", ""1133"", ""1141"", ""1336"", ""1338"", ""2417"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX05DI","FCX05DI","Fluorosis DI: #5","Fluorosis Deans Index: Upper right 1st bicuspid/1st primary molar (1B)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""649"", ""272"", ""146"", ""128"", ""9"", ""190"", ""3"", ""1021"", ""84""]; Cumulative=[""649"", ""921"", ""1067"", ""1195"", ""1204"", ""1394"", ""1397"", ""2418"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX06DI","FCX06DI","Fluorosis DI: #6","Fluorosis Deans Index: Upper right cuspid (C)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""734"", ""210"", ""73"", ""57"", ""7"", ""156"", ""12"", ""1169"", ""84""]; Cumulative=[""734"", ""944"", ""1017"", ""1074"", ""1081"", ""1237"", ""1249"", ""2418"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX07DI","FCX07DI","Fluorosis DI: #7","Fluorosis Deans Index: Upper right lateral incisor (LI)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""1095"", ""357"", ""123"", ""100"", ""7"", ""140"", ""24"", ""567"", ""89""]; Cumulative=[""1095"", ""1452"", ""1575"", ""1675"", ""1682"", ""1822"", ""1846"", ""2413"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX08DI","FCX08DI","Fluorosis DI: #8","Fluorosis Deans Index: Upper right central incisor (CI)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""1203"", ""385"", ""154"", ""113"", ""15"", ""156"", ""30"", ""356"", ""90""]; Cumulative=[""1203"", ""1588"", ""1742"", ""1855"", ""1870"", ""2026"", ""2056"", ""2412"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX09DI","FCX09DI","Fluorosis DI: #9","Fluorosis Deans Index: Upper left central incisor (CI)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""1197"", ""387"", ""155"", ""114"", ""16"", ""143"", ""40"", ""360"", ""90""]; Cumulative=[""1197"", ""1584"", ""1739"", ""1853"", ""1869"", ""2012"", ""2052"", ""2412"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX10DI","FCX10DI","Fluorosis DI: #10","Fluorosis Deans Index: Upper left lateral incisor (LI)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""1107"", ""351"", ""129"", ""98"", ""7"", ""141"", ""14"", ""566"", ""89""]; Cumulative=[""1107"", ""1458"", ""1587"", ""1685"", ""1692"", ""1833"", ""1847"", ""2413"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FLXCLN_G","FCX11DI","FCX11DI","Fluorosis DI: #11","Fluorosis Deans Index: Upper left cuspid (C)","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9"", "".""]; Value.Description=[""Normal"", ""Very mild"", ""Mild"", ""Moderate"", ""Severe"", ""Questionable"", ""Non-fluoride opacities"", ""Cannot be assessed"", ""Missing""]; Count=[""714"", ""214"", ""73"", ""57"", ""6"", ""180"", ""7"", ""1166"", ""85""]; Cumulative=[""714"", ""928"", ""1001"", ""1058"", ""1064"", ""1244"", ""1251"", ""2417"", ""2502""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
