"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXREF_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"OHXREF_J","OHDEXSTS","OHDEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not Done"", ""Missing""]; Count=[""8099"", ""1"", ""266"", ""0""]; Cumulative=[""8099"", ""8100"", ""8366"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHDRCSTS","OHDRCSTS","Recommendation Care Status Code","Recommendation Care Status Code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not Done"", ""Missing""]; Count=[""8099"", ""0"", ""267"", ""0""]; Cumulative=[""8099"", ""8099"", ""8366"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAREC","OHAREC","Overall recommendation for care","Overall recommendation for care","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""See a dentist immediately"", ""See a dentist within the next 2 weeks"", ""See a dentist at your earliest convenience"", ""Continue your regular routine care"", ""Missing""]; Count=[""8"", ""360"", ""2379"", ""5353"", ""266""]; Cumulative=[""8"", ""368"", ""2747"", ""8100"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROCDT","OHAROCDT","Decayed teeth","Decayed teeth","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""1892"", ""9"", ""6465""]; Cumulative=[""1892"", ""1901"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROCGP","OHAROCGP","Gum disease/problem","Gum disease/problem","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""642"", ""14"", ""7710""]; Cumulative=[""642"", ""656"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROCOH","OHAROCOH","Oral hygiene","Oral hygiene","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""1384"", ""1"", ""6981""]; Cumulative=[""1384"", ""1385"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROCCI","OHAROCCI","Impression of soft tissue condition","Clinical impression of soft tissue condition","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""46"", ""7"", ""8313""]; Cumulative=[""46"", ""53"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROCDE","OHAROCDE","Denture/Partial Denture/Plates","Denture/Partial Denture/Plates","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""264"", ""5"", ""8097""]; Cumulative=[""264"", ""269"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHARNF","OHARNF","No significant findings","No significant findings","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""5394"", ""21"", ""2951""]; Cumulative=[""5394"", ""5415"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAROTH","OHAROTH","Some other finding (specify w/referral)","Some other finding (specify w/referral letter)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""46"", ""5"", ""8315""]; Cumulative=[""46"", ""51"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXREF_J","OHAPOS","OHAPOS","Was participant exam position recumbent","Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""7765"", ""335"", ""266""]; Cumulative=[""7765"", ""8100"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
