,Column,Code,Label,English_Text,Target,Class,Other For
0,SEQN,,,"['Respondent sequence number.', 'Respondent sequence number', 'Respondent Sequence Number.', 'Respondent Sequence Number']","['Both males and females 2 YEARS - 150 YEARS', 'Both males and females 6 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 49 YEARS', 'Both males and females 20 YEARS - 59 YEARS', 'Both males and females 18 YEARS - 39 YEARS', 'Both males and females 1 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 59 YEARS', 'Both males and females 14 YEARS - 49 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 3 YEARS - 150 YEARS', 'Both males and females 6 YEARS - 49 YEARS', 'Both males and females 1 YEARS - 5 YEARS', 'Both males and females 6 YEARS - 59 YEARS', 'Males only 12 YEARS - 150 YEARS', 'Both males and females 60 YEARS - 150 YEARS', 'Both males and females 6 YEARS - 13 YEARS', 'Both males and females 16 YEARS - 49 YEARS', 'Females only 13 YEARS - 56 YEARS', 'Both males and females 6 YEARS - 19 YEARS', 'Both males and females 20 YEARS - 150 YEARS', 'Females only 18 YEARS - 59 YEARS', 'Both males and females 16 YEARS - 69 YEARS', 'Males only 40 YEARS - 69 YEARS', 'Males only 40 YEARS - 150 YEARS', 'Females only 18 YEARS - 49 YEARS', 'Females only 20 YEARS - 150 YEARS', 'Females only 8 YEARS - 59 YEARS', 'Females only 14 YEARS - 49 YEARS', 'Both males and females 3 YEARS - 5 YEARS', 'Both males and females 18 YEARS - 59 YEARS', 'Both males and females 20 YEARS - 64 YEARS', 'Both males and females 40 YEARS - 79 YEARS', 'Females only 20 YEARS - 44 YEARS', 'Both males and females 18 YEARS - 69 YEARS', 'Both males and females 18 YEARS - 150 YEARS', 'Both males and females 0 YEARS - 19 YEARS', 'Males only 18 YEARS - 59 YEARS', 'Both males and females 19 YEARS - 150 YEARS', 'Females only 18 YEARS - 39 YEARS', 'Both males and females 3 YEARS - 11 YEARS', 'Both males and females 20 YEARS - 75 YEARS', 'Both males and females 40 YEARS - 150 YEARS']",,
720,LBXHBS,1,Positive,"['Hepatitis B surface antibody (anti-HBs)', 'Hepatitis B Surface Antibody', 'Hepatitis B Surface Antibody (Anti-HBs)', 'Hepatitis B surface antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
721,LBXHBS,2,Negative,"['Hepatitis B surface antibody (anti-HBs)', 'Hepatitis B Surface Antibody', 'Hepatitis B Surface Antibody (Anti-HBs)', 'Hepatitis B surface antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
722,LBXHBS,.,Missing,"['Hepatitis B surface antibody (anti-HBs)', 'Hepatitis B Surface Antibody', 'Hepatitis B Surface Antibody (Anti-HBs)', 'Hepatitis B surface antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
746,LBXHBS,3,Indeterminate,"['Hepatitis B surface antibody (anti-HBs)', 'Hepatitis B Surface Antibody', 'Hepatitis B Surface Antibody (Anti-HBs)', 'Hepatitis B surface antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
760,LBXHA,1,Positive,"['Hepatitis A Antibody (Anti-HAV)', 'Hepatitis A Antibody', 'Hepatitis A antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
761,LBXHA,2,Negative,"['Hepatitis A Antibody (Anti-HAV)', 'Hepatitis A Antibody', 'Hepatitis A antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
762,LBXHA,.,Missing,"['Hepatitis A Antibody (Anti-HAV)', 'Hepatitis A Antibody', 'Hepatitis A antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
774,LBXHA,3,Indeterminate,"['Hepatitis A Antibody (Anti-HAV)', 'Hepatitis A Antibody', 'Hepatitis A antibody']",['Both males and females 2 YEARS - 150 YEARS'],,
804,LBXHBC,1,Positive,"['Hepatitis B core antibody', 'Hepatitis B core antibody (Anti-HBc)']",['Both males and females 6 YEARS - 150 YEARS'],,
805,LBXHBC,2,Negative,"['Hepatitis B core antibody', 'Hepatitis B core antibody (Anti-HBc)']",['Both males and females 6 YEARS - 150 YEARS'],,
806,LBXHBC,.,Missing,"['Hepatitis B core antibody', 'Hepatitis B core antibody (Anti-HBc)']",['Both males and females 6 YEARS - 150 YEARS'],,
830,LBXHBC,3,Indeterminate,"['Hepatitis B core antibody', 'Hepatitis B core antibody (Anti-HBc)']",['Both males and females 6 YEARS - 150 YEARS'],,
