,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
1,AGQ010,1,Yes,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
2,AGQ010,2,No,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
3,AGQ010,7,Refused,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
4,AGQ010,9,Don'T Know,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
5,AGQ010,.,Missing,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
6,AGD020,1 To 81,Range Of Values,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
7,AGD020,85,85 Years Or Older,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
8,AGD020,777,Refused,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
9,AGD020,999,Don'T Know,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
10,AGD020,.,Missing,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
11,AGQ030,1,Yes,['During the past 12 months {have you/has SP} had an episode of hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
12,AGQ030,2,No,['During the past 12 months {have you/has SP} had an episode of hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
13,AGQ030,7,Refused,['During the past 12 months {have you/has SP} had an episode of hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
14,AGQ030,9,Don'T Know,['During the past 12 months {have you/has SP} had an episode of hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
15,AGQ030,.,Missing,['During the past 12 months {have you/has SP} had an episode of hay fever?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
16,AGQ040,1,Yes,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
17,AGQ040,2,No,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
18,AGQ040,7,Refused,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
19,AGQ040,9,Don'T Know,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
20,AGQ040,.,Missing,['Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
21,AGD050,1 To 82,Range Of Values,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
22,AGD050,85,85 Years Or Older,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
23,AGD050,777,Refused,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
24,AGD050,999,Don'T Know,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
25,AGD050,.,Missing,['How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
26,AGQ060,1,Yes,['During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
27,AGQ060,2,No,['During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
28,AGQ060,7,Refused,['During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
29,AGQ060,9,Don'T Know,['During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
30,AGQ060,.,Missing,['During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
31,AGQ070,1,Yes,['In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
32,AGQ070,2,No,['In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
33,AGQ070,7,Refused,['In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
34,AGQ070,9,Don'T Know,['In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
35,AGQ070,.,Missing,['In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
36,AGQ080A,1,Dog,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
37,AGQ080A,7,Refused,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
38,AGQ080A,9,Don'T Know,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
39,AGQ080A,.,Missing,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
40,AGQ080B,2,Cat,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
41,AGQ080B,.,Missing,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
42,AGQ080C,3,Small Furry Animal,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
43,AGQ080C,.,Missing,['Which kind of pet was removed from {your/SPs} home?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
44,AGQ090,1,Yes,['{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
45,AGQ090,2,No,['{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
46,AGQ090,7,Refused,['{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
47,AGQ090,9,Don'T Know,['{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
48,AGQ090,.,Missing,['{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
49,AGQ100,1,Yes,['During the past 12 months {have you/has SP} had a problem with sneezing or a runny or blocked nose when {you/s/he} did not have a cold or the flu?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
50,AGQ100,2,No,['During the past 12 months {have you/has SP} had a problem with sneezing or a runny or blocked nose when {you/s/he} did not have a cold or the flu?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
51,AGQ100,7,Refused,['During the past 12 months {have you/has SP} had a problem with sneezing or a runny or blocked nose when {you/s/he} did not have a cold or the flu?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
52,AGQ100,9,Don'T Know,['During the past 12 months {have you/has SP} had a problem with sneezing or a runny or blocked nose when {you/s/he} did not have a cold or the flu?'],['Both males and females 1 YEARS - 150 YEARS'],[nan],,
