,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
1,AUQ130,1,Good,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
2,AUQ130,2,Little Trouble,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
3,AUQ130,3,Lot Of Trouble,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
4,AUQ130,4,Deaf,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
5,AUQ130,7,Refused,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
6,AUQ130,9,Don'T Know,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
7,AUQ130,.,Missing,['Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?'],"['Both males and females 1 YEARS - 150 YEARS', 'Both males and females 1 YEARS - 120 YEARS']",[nan],,
8,AUQ140,1,Less Than 1 Year Ago,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
9,AUQ140,2,1 Year To 4 Years Ago,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
10,AUQ140,3,More Than 4 Years Ago,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
11,AUQ140,4,Never,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
12,AUQ140,7,Refused,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
13,AUQ140,9,Don'T Know,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
14,AUQ140,.,Missing,['About how long has it been since {you/SP} last had {your/his/her} hearing tested?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
15,AUQ150,1,Yes,['{Have you/Has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
16,AUQ150,2,No,['{Have you/Has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
17,AUQ150,7,Refused,['{Have you/Has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
18,AUQ150,9,Don'T Know,['{Have you/Has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
19,AUQ150,.,Missing,['{Have you/Has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
20,AUQ160,1,Yes,['{Are you/Is SP} now wearing a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
21,AUQ160,2,No,['{Are you/Is SP} now wearing a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
22,AUQ160,7,Refused,['{Are you/Is SP} now wearing a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
23,AUQ160,9,Don'T Know,['{Are you/Is SP} now wearing a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
24,AUQ160,.,Missing,['{Are you/Is SP} now wearing a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
25,AUQ170,1,Yes,['In the past 12 months {have you/has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
26,AUQ170,2,No,['In the past 12 months {have you/has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
27,AUQ170,7,Refused,['In the past 12 months {have you/has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
28,AUQ170,9,Don'T Know,['In the past 12 months {have you/has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
29,AUQ170,.,Missing,['In the past 12 months {have you/has SP} ever worn a hearing aid?'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
30,AUQ180,1,"Almost Always,",['In the past 12 months how often would you say {you/SP} wore a hearing aid? Would you say . . .'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
31,AUQ180,2,"At Least Once A Day,",['In the past 12 months how often would you say {you/SP} wore a hearing aid? Would you say . . .'],"['Both males and females 20 YEARS - 150 YEARS', 'Both males and females 20 YEARS - 120 YEARS']",[nan],,
