,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,FNQ005,,,,,,,,,,
2,FNQ021,,,,,,,,,,
3,FNQ041,,,,,,,,,,
4,FNQ050,,,,,,,,,,
5,FNQ060,,,,,,,,,,
6,FNQ080,,,,,,,,,,
7,FNQ160,,,,,,,,,,
8,FNQ100,,,,,,,,,,
9,FNQ110,,,,,,,,,,
10,FNQ120,,,,,,,,,,
11,FNQ170,,,,,,,,,,
12,FNQ180,,,,,,,,,,
13,FNQ190,,,,,,,,,,
14,FNQ130,,,,,,,,,,
15,FNQ200,,,,,,,,,,
16,FNQ140,,,,,,,,,,
17,FNQ150,,,,,,,,,,
18,FNDCDI,,,,,,,,,,
19,FNQ410,,,,,,,,,,
20,FNQ430,,,,,,,,,,
21,FNQ440,,,,,,,,,,
22,FNQ450,,,,,,,,,,
23,FNQ460,,,,,,,,,,
24,FNQ470,,,,,,,,,,
25,FNQ480,,,,,,,,,,
26,FNQ490,,,,,,,,,,
27,FNQ510,,,,,,,,,,
28,FNQ520,,,,,,,,,,
29,FNQ530,,,,,,,,,,
30,FNQ540,,,,,,,,,,
31,FNDADI,,,,,,,,,,
32,FNDAEDI,,,,,,,,,,
