,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number.'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
1,HID010,1,Yes,['The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
2,HID010,2,No,['The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
3,HID010,7,Refused,['The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
4,HID010,9,Don'T Know,['The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
5,HID010,.,Missing,['The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
6,HID030A,1,Yes,['{Are you/Is SP} covered by private insurance?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
7,HID030A,2,No,['{Are you/Is SP} covered by private insurance?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
8,HID030A,7,Refused,['{Are you/Is SP} covered by private insurance?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
9,HID030A,9,Don'T Know,['{Are you/Is SP} covered by private insurance?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
10,HID030A,.,Missing,['{Are you/Is SP} covered by private insurance?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
11,HID030B,1,Yes,['{Are you/Is SP} covered by Medicare?'],['Both males and females 0 YEARS - 150 YEARS'],[nan],,
