,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,RHD018,,,,,,,,,,
1,RHD043,,,,,,,,,,
2,RHD143,,,,,,,,,,
3,RHD167,,,,,,,,,,
4,RHD180,,,,,,,,,,
5,RHD190,,,,,,,,,,
6,RHD280,,,,,,,,,,
7,RHQ010,,,,,,,,,,
8,RHQ020,,,,,,,,,,
9,RHQ031,,,,,,,,,,
10,RHQ060,,,,,,,,,,
11,RHQ070,,,,,,,,,,
12,RHQ074,,,,,,,,,,
13,RHQ076,,,,,,,,,,
14,RHQ078,,,,,,,,,,
15,RHQ131,,,,,,,,,,
16,RHQ160,,,,,,,,,,
17,RHQ162,,,,,,,,,,
18,RHQ171,,,,,,,,,,
19,RHQ172,,,,,,,,,,
20,RHQ197,,,,,,,,,,
21,RHQ200,,,,,,,,,,
22,RHQ305,,,,,,,,,,
23,RHQ332,,,,,,,,,,
24,RHQ540,,,,,,,,,,
25,RHQ542A,,,,,,,,,,
26,RHQ542B,,,,,,,,,,
27,RHQ542C,,,,,,,,,,
28,RHQ542D,,,,,,,,,,
29,RHQ554,,,,,,,,,,
30,RHQ570,,,,,,,,,,
31,SEQN,,,,,,,,,,
32,RHQ015,,,,,,,,,,
33,RHQ030,,,,,,,,,,
34,RHQ040,,,,,,,,,,
35,RHQ050,,,,,,,,,,
36,RHQ065,,,,,,,,,,
37,RHQ075,,,,,,,,,,
38,RHD080,,,,,,,,,,
39,RHQ085,,,,,,,,,,
40,RHQ090,,,,,,,,,,
41,RHQ100,,,,,,,,,,
42,RHQ110,,,,,,,,,,
43,RHD120,,,,,,,,,,
44,RHQ125,,,,,,,,,,
45,RHD130,,,,,,,,,,
46,RHQ135,,,,,,,,,,
47,RHQ141,,,,,,,,,,
48,RHQ151,,,,,,,,,,
49,RHQ165,,,,,,,,,,
50,RHD170,,,,,,,,,,
51,RHQ175,,,,,,,,,,
52,RHQ180,,,,,,,,,,
53,RHQ190,,,,,,,,,,
54,RHQ195,,,,,,,,,,
55,RHQ210,,,,,,,,,,
56,RHQ215,,,,,,,,,,
57,RHD230,,,,,,,,,,
58,RHQ235,,,,,,,,,,
59,RHQ240A,,,,,,,,,,
60,RHQ240B,,,,,,,,,,
61,RHQ240C,,,,,,,,,,
62,RHQ240D,,,,,,,,,,
63,RHQ240E,,,,,,,,,,
64,RHQ240F,,,,,,,,,,
65,RHQ245,,,,,,,,,,
66,RHQ250,,,,,,,,,,
67,RHQ260,,,,,,,,,,
68,RHD270,,,,,,,,,,
69,RHQ275,,,,,,,,,,
70,RHQ290,,,,,,,,,,
71,RHQ300,,,,,,,,,,
72,RHQ310,,,,,,,,,,
73,RHQ320,,,,,,,,,,
74,RHQ330,,,,,,,,,,
75,RHQ335,,,,,,,,,,
76,RHQ340,,,,,,,,,,
77,RHQ345,,,,,,,,,,
78,RHD350,,,,,,,,,,
79,RHQ355,,,,,,,,,,
80,RHQ360,,,,,,,,,,
81,RHQ370,,,,,,,,,,
82,RHQ380,,,,,,,,,,
83,RHQ390,,,,,,,,,,
84,RHQ420,,,,,,,,,,
85,RHQ430,,,,,,,,,,
86,RHQ435,,,,,,,,,,
87,RHD440,,,,,,,,,,
88,RHQ450,,,,,,,,,,
89,RHQ460Q,,,,,,,,,,
90,RHQ460U,,,,,,,,,,
91,RHQ465,,,,,,,,,,
92,RHD470,,,,,,,,,,
93,RHQ510,,,,,,,,,,
94,RHQ520,,,,,,,,,,
95,RHQ535,,,,,,,,,,
96,RHQ541A,,,,,,,,,,
97,RHQ541B,,,,,,,,,,
98,RHQ541C,,,,,,,,,,
99,RHQ550,,,,,,,,,,
100,RHQ551A,,,,,,,,,,
101,RHQ551B,,,,,,,,,,
102,RHQ551C,,,,,,,,,,
103,RHQ551D,,,,,,,,,,
104,RHQ551E,,,,,,,,,,
105,RHQ551F,,,,,,,,,,
106,RHQ551G,,,,,,,,,,
107,RHQ552,,,,,,,,,,
108,RHQ556,,,,,,,,,,
