"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"ACQ_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_C","ACQ005","ACQ005",NA,NA,"Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_C","ACD010A","ACD010A","English usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""7"", ""9"", "".""]; Value.Description=[""English"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5251"", ""1"", ""0"", ""2092""]; Cumulative=[""5251"", ""5252"", ""5252"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACD010B","ACD010B","Spanish usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Spanish"", ""Missing""]; Count=[""11"", ""7333""]; Cumulative=[""11"", ""7344""]; Skip.to.Item=[""NA"", ""NA""]"
"ACQ_C","ACD010C","ACD010C","Other language(s) usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""Other"", ""Missing""]; Count=[""314"", ""7030""]; Cumulative=[""314"", ""7344""]; Skip.to.Item=[""NA"", ""NA""]"
"ACQ_C","ACQ015","ACQ015",NA,NA,"Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_C","ACQ020","ACQ020","Language(s) read and spoken","The next questions are about language. In general what language(s) {do you/does SP} read and speak. Would you say . . .","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""Spanish better than English,"", ""Both equally,"", ""English better than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""434"", ""285"", ""452"", ""416"", ""306"", ""0"", ""2"", ""5449""]; Cumulative=[""434"", ""719"", ""1171"", ""1587"", ""1893"", ""1893"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACQ030","ACQ030","Language(s) used as child","What was the language(s) {you/SP} used as a child? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1046"", ""205"", ""204"", ""131"", ""307"", ""0"", ""2"", ""5449""]; Cumulative=[""1046"", ""1251"", ""1455"", ""1586"", ""1893"", ""1893"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACD040","ACD040","Language(s) usually spoken at home","What language(s) {do you/does SP} usually speak at home? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""694"", ""198"", ""368"", ""202"", ""430"", ""0"", ""3"", ""5449""]; Cumulative=[""694"", ""892"", ""1260"", ""1462"", ""1892"", ""1892"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACQ050","ACQ050","Language(s) usually used to think","In which language(s) {do you/does SP} usually think? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""615"", ""134"", ""333"", ""196"", ""593"", ""0"", ""24"", ""5449""]; Cumulative=[""615"", ""749"", ""1082"", ""1278"", ""1871"", ""1871"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACQ060","ACQ060","Language(s) usually used with friends","What language(s) {do you/does SP} usually speak with {your/his/her} friends? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""546"", ""167"", ""383"", ""241"", ""550"", ""0"", ""8"", ""5449""]; Cumulative=[""546"", ""713"", ""1096"", ""1337"", ""1887"", ""1887"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACD070","ACD070","Fathers country of birth","In what country was {your/SPs} father born?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", ""10"", ""77"", ""99"", "".""]; Value.Description=[""United States, except Puerto Rico"", ""Puerto Rico"", ""Mexico"", ""Other country"", ""El Salvador"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""507"", ""44"", ""1173"", ""119"", ""35"", ""0"", ""17"", ""5449""]; Cumulative=[""507"", ""551"", ""1724"", ""1843"", ""1878"", ""1878"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_C","ACD080","ACD080","Mothers country of birth","In what country was {your/SPs} mother born?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", ""10"", ""77"", ""99"", "".""]; Value.Description=[""United States, except Puerto Rico"", ""Puerto Rico"", ""Mexico"", ""Other country"", ""El Salvador"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""574"", ""30"", ""1130"", ""123"", ""30"", ""0"", ""8"", ""5449""]; Cumulative=[""574"", ""604"", ""1734"", ""1857"", ""1887"", ""1887"", ""1895"", ""7344""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
