"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CBQPFA_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 150 YEARS",NA,NA
"CBQPFA_E","CBQ502","CBQ502","Hand card booklet available","You will need the green hand card booklet that is in the same bag as the food measuring guides we used for your dietary phone interview. Ill wait while you locate it. Do you have it?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3743"", ""1076"", ""0"", ""0"", ""1203""]; Cumulative=[""3743"", ""4819"", ""4819"", ""4819"", ""6022""]; Skip.to.Item=[""CBQ505"", """", """", """", """"]"
"CBQPFA_E","CBQ503","CBQ503","A package with food label available","Lets go ahead with the interview anyway. Do you have a cereal box can or package of food with a food label on the back or the side that you can use for this interview? Ill wait while you locate it.","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""629"", ""446"", ""0"", ""1"", ""4946""]; Cumulative=[""629"", ""1075"", ""1075"", ""1076"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ505","CBQ505","Eat at fast food/pizza places","{Great. Ill tell you when you will need it.} For the first few questions please answer yes or no. In the past 12 months did you buy food from fast food or pizza places?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4166"", ""651"", ""1"", ""1"", ""1203""]; Cumulative=[""4166"", ""4817"", ""4818"", ""4819"", ""6022""]; Skip.to.Item=["""", ""CBQ550"", """", """", """"]"
"CBQPFA_E","CBQ510","CBQ510","Fast food/Pizza cheaper than cooking","Im going to read several reasons why you might buy food from fast food or pizza places instead of cooking at home. First do you buy food from fast food or pizza places because it is cheaper than cooking at home?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""671"", ""3492"", ""2"", ""3"", ""1854""]; Cumulative=[""671"", ""4163"", ""4165"", ""4168"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ515","CBQ515","Fast food/Pizza more nutritious","Do you buy food from fast food or pizza places because the foods there are more nutritious than foods cooked at home?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""136"", ""4023"", ""1"", ""7"", ""1855""]; Cumulative=[""136"", ""4159"", ""4160"", ""4167"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ520","CBQ520","Fast food/Pizza tastes better","Do you buy food from fast food or pizza places because the foods there taste better than foods cooked at home?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""643"", ""3517"", ""1"", ""5"", ""1856""]; Cumulative=[""643"", ""4160"", ""4161"", ""4166"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ525","CBQ525","Fast food/Pizza more convenient","Do you buy food from fast food or pizza places because it is more convenient than cooking at home?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3382"", ""779"", ""0"", ""5"", ""1856""]; Cumulative=[""3382"", ""4161"", ""4161"", ""4166"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ530","CBQ530","Eat at fast food places to socialize","Do you eat at fast food or pizza places instead of cooking at home to socialize with family and friends?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2008"", ""2148"", ""1"", ""7"", ""1858""]; Cumulative=[""2008"", ""4156"", ""4157"", ""4164"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ535","CBQ535","Saw nutrition info on fast food menu","The last time when you ate out or bought food at a fast-food or pizza place did you see nutrition or health information about any foods on the menu?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""726"", ""3411"", ""0"", ""27"", ""1858""]; Cumulative=[""726"", ""4137"", ""4137"", ""4164"", ""6022""]; Skip.to.Item=["""", ""CBQ545"", ""CBQ545"", ""CBQ545"", """"]"
"CBQPFA_E","CBQ540","CBQ540","Used nutrition info to choose fast foods","Did you use the information in deciding which foods to buy?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""325"", ""401"", ""0"", ""0"", ""5296""]; Cumulative=[""325"", ""726"", ""726"", ""726"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ545","CBQ545","Would use fast food nutrition info","{Please open your hand card booklet and turn to hand card 1 to answer the next question.} If nutrition or health information were readily available in fast food or pizza places would you use it often sometimes rarely or never in deciding what to order?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", ""4"", ""7"", ""9"", ""."", ""1"", ""2""]; Value.Description=[""Rarely"", ""Never"", ""Refused"", ""Don't know"", ""Missing"", ""Often"", ""Sometimes""]; Count=[""923"", ""473"", ""0"", ""12"", ""1859"", ""1043"", ""1712""]; Cumulative=[""3678"", ""4151"", ""4151"", ""4163"", ""6022"", ""1043"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
