"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CDQ_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"CDQ_J","CDQ001","CDQ001","SP ever had pain or discomfort in chest","{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1136"", ""2744"", ""0"", ""2"", ""0""]; Cumulative=[""1136"", ""3880"", ""3880"", ""3882"", ""3882""]; Skip.to.Item=["""", ""CDQ010"", ""CDQ010"", ""CDQ010"", """"]"
"CDQ_J","CDQ002","CDQ002","SP get it walking uphill or in a hurry","{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Never walks uphill or hurries"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""331"", ""749"", ""46"", ""0"", ""10"", ""2746""]; Cumulative=[""331"", ""1080"", ""1126"", ""1126"", ""1136"", ""3882""]; Skip.to.Item=["""", ""CDQ008"", """", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_J","CDQ003","CDQ003","During an ordinary pace on level ground","{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""136"", ""240"", ""0"", ""1"", ""3505""]; Cumulative=[""136"", ""376"", ""376"", ""377"", ""3882""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CDQ_J","CDQ003A","CDQ003A",NA,NA,"Both males and females 40 YEARS - 150 YEARS",NA,NA
"CDQ_J","CDQ004","CDQ004","If so does SP continue or slow down","What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking? {Do you/Does she/Does he} stop or slow down or continue at the same pace?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Stop or slow down"", ""Continue at the same pace"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""316"", ""27"", ""0"", ""0"", ""3539""]; Cumulative=[""316"", ""343"", ""343"", ""343"", ""3882""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_J","CDQ005","CDQ005","Does standing relieve pain/discomfort","If {you/she/he} stand still what happens to it? Is the pain or discomfort relieved or not relieved?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Relieved"", ""Not Relieved"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""267"", ""44"", ""0"", ""5"", ""3566""]; Cumulative=[""267"", ""311"", ""311"", ""316"", ""3882""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_J","CDQ006","CDQ006","How soon is the pain relieved","How soon is the pain relieved? Would you say...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""10 minutes or less"", ""More than 10 minutes"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""218"", ""47"", ""0"", ""2"", ""3615""]; Cumulative=[""218"", ""265"", ""265"", ""267"", ""3882""]; Skip.to.Item=["""", ""CDQ008"", ""CDQ008"", ""CDQ008"", """"]"
"CDQ_J","CDQ009A","CDQ009A","Pain in right arm","Please look at this card and show me where the pain or discomfort is located.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""Pain in right arm"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""14"", ""0"", ""1"", ""3867""]; Cumulative=[""14"", ""14"", ""15"", ""3882""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CDQ_J","CDQ009B","CDQ009B","Pain in right chest","Please look at this card and show me where the pain or discomfort is located.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Pain in right chest"", ""Missing""]; Count=[""39"", ""3843""]; Cumulative=[""39"", ""3882""]; Skip.to.Item=[""NA"", ""NA""]"
