"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"MCQ_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"MCQ_C","MCQ010","MCQ010","Ever been told you have asthma","Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1336"", ""8290"", ""0"", ""19"", ""0""]; Cumulative=[""1336"", ""9626"", ""9626"", ""9645"", ""9645""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ_C","MCQ025","MCQ025","Age when first had asthma","How old {were you/was SP} when {you were/s/he was} first told {he/she} had asthma?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 84"", ""85"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""85 years or older"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1314"", ""4"", ""0"", ""17"", ""8310""]; Cumulative=[""1314"", ""1318"", ""1318"", ""1335"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ035","MCQ035","Still have asthma","{Do you/Does SP} still have asthma?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""845"", ""459"", ""0"", ""32"", ""8309""]; Cumulative=[""845"", ""1304"", ""1304"", ""1336"", ""9645""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ_C","MCQ040","MCQ040","Had asthma attack in past year","During the past 12 months {have you/has SP} had an episode of asthma or an asthma attack?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""436"", ""407"", ""0"", ""2"", ""8800""]; Cumulative=[""436"", ""843"", ""843"", ""845"", ""9645""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ_C","MCQ050","MCQ050","Emergency care visit for asthma/past yr","[During the past 12 months] {have you/has SP} had to visit an emergency room or urgent care center because of asthma?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""147"", ""289"", ""0"", ""0"", ""9209""]; Cumulative=[""147"", ""436"", ""436"", ""436"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ053","MCQ053","Taking treatment for anemia/past 3 mos","During the past 3 months {have you/has SP} been on treatment for anemia sometimes called tired blood or low blood? [Include diet iron pills iron shots transfusions as treatment.]","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""283"", ""9356"", ""1"", ""5"", ""0""]; Cumulative=[""283"", ""9639"", ""9640"", ""9645"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ060","MCQ060","Told have attention deficit disorder?","Has a doctor or health professional ever told {you/SP} that {you/s/he/SP} had attention deficit disorder?","Both males and females 4 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""260"", ""3482"", ""0"", ""9"", ""5894""]; Cumulative=[""260"", ""3742"", ""3742"", ""3751"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ080","MCQ080","Doctor ever said you were overweight","Has a doctor or health professional ever told {you/SP} that {you were/s/he/SP was} overweight?","Both males and females 2 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""463"", ""3794"", ""0"", ""6"", ""5382""]; Cumulative=[""463"", ""4257"", ""4257"", ""4263"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ083","MCQ083","Ever told you have learning disability","Has a representative from a school or a health professional ever told {you/SP} that {s/he/SP} had a learning disability?","Both males and females 4 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""279"", ""2294"", ""0"", ""6"", ""7066""]; Cumulative=[""279"", ""2573"", ""2573"", ""2579"", ""9645""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ_C","MCQ092","MCQ092","Ever receive blood transfusion","{Have you/Has SP} ever received a blood transfusion?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""780"", ""7517"", ""0"", ""81"", ""1267""]; Cumulative=[""780"", ""8297"", ""8297"", ""8378"", ""9645""]; Skip.to.Item=["""", ""MCQ120A"", ""MCQ120A"", ""MCQ120A"", """"]"
