"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"RXQ_RX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"RXQ_RX_I","RXDUSE","RXDUSE","Taken prescription medicine past month","In the past 30 days have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""13705"", ""5934"", ""3"", ""5"", ""0""]; Cumulative=[""13705"", ""19639"", ""19642"", ""19647"", ""19647""]; Skip.to.Item=["""", ""End of Section"", ""End of Section"", ""End of Section"", """"]"
"RXQ_RX_I","RXDDRUG","RXDDRUG","Generic drug name","Generic drug name.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""Generic drug name"", ""55555"", ""77777"", ""99999"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Unknown"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""13588"", ""7"", ""27"", ""83"", ""5942""]; Cumulative=[""13588"", ""13595"", ""13622"", ""13705"", ""19647""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"RXQ_RX_I","RXDDRGID","RXDDRGID","Generic drug code","Generic drug code.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""Generic drug code"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""13588"", ""6059""]; Cumulative=[""13588"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXQSEEN","RXQSEEN","Medicine container seen by interviewer","Was prescription container seen by interviewer?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Yes"", ""No"", ""Only pharmacy print out seen"", ""Missing""]; Count=[""12156"", ""922"", ""516"", ""6053""]; Cumulative=[""12156"", ""13078"", ""13594"", ""19647""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"RXQ_RX_I","RXDDAYS","RXDDAYS","Number of days taken medicine","For how long have you been using or taking {PRODUCT NAME}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 21900"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""13355"", ""0"", ""219"", ""6073""]; Cumulative=[""13355"", ""13355"", ""13574"", ""19647""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"RXQ_RX_I","RXDRSC1","RXDRSC1","ICD-10-CM code 1","ICD-10-CM code 1.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 1"", ""55555"", ""77777"", ""99999"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Unknown"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""13089"", ""130"", ""19"", ""357"", ""6052""]; Cumulative=[""13089"", ""13219"", ""13238"", ""13595"", ""19647""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"RXQ_RX_I","RXDRSC2","RXDRSC2","ICD-10-CM code 2","ICD-10-CM code 2.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 2"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""876"", ""18771""]; Cumulative=[""876"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXDRSC3","RXDRSC3","ICD-10-CM code 3","ICD-10-CM code 3.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 3"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""119"", ""19528""]; Cumulative=[""119"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXDRSD1","RXDRSD1","ICD-10-CM code 1 description","ICD-10-CM code 1 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 1 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""13089"", ""6558""]; Cumulative=[""13089"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXDRSD2","RXDRSD2","ICD-10-CM code 2 description","ICD-10-CM code 2 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 2 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""876"", ""18771""]; Cumulative=[""876"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXDRSD3","RXDRSD3","ICD-10-CM code 3 description","ICD-10-CM code 3 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 3 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""119"", ""19528""]; Cumulative=[""119"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
"RXQ_RX_I","RXDCOUNT","RXDCOUNT","Number of prescription medicines taken","The number of prescription medicines reported.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 20"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""13705"", ""5942""]; Cumulative=[""13705"", ""19647""]; Skip.to.Item=[""NA"", ""NA""]"
