,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,AIALANGA,Language of the MEC ACASI Interview Instrument,Both males and females 8 YEARS - 69 YEARS,,,,,,,,,,,,,
1,DMDBORN4,In what country {were you/was SP} born?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
2,DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
3,DMDMARTZ,Marital status,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
4,DMDYRUSZ,Length of time the participant has been in the US.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
5,FIAINTRP,Was an interpreter used to conduct the Family interview?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
6,FIALANG,Language of the Family Interview Instrument,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
7,FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
8,INDFMPIR,A ratio of family income to poverty guidelines.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
9,MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
10,MIALANG,Language of the MEC CAPI Interview Instrument,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
11,MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
12,RIAGENDR,Gender of the participant.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
13,RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,Both males and females 0 YEARS - 2 YEARS,,,,,,,,,,,,,
14,RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
15,RIDEXMON,Six month time period when the examination was performed - two categories: November 1 through April 30 May 1 through October 31.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
16,RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,Females only 20 YEARS - 44 YEARS,,,,,,,,,,,,,
17,RIDRETH1,Recode of reported race and Hispanic origin information,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
18,RIDRETH3,Recode of reported race and Hispanic origin information with Non-Hispanic Asian Category,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
19,RIDSTATR,Interview and examination status of the participant.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
20,SDDSRVYR,Data release cycle,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
21,SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
22,SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
23,SEQN,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
24,SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
25,SIALANG,Language of the Sample Person Interview Instrument,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
26,SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
27,WTINTPRP,Full sample interview weight,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
28,WTMECPRP,Full sample MEC exam weight,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
