"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DR1IFF_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR1IFF_J","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1478.156428 to 691139.54688"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""112683"", ""0"", ""0""]; Cumulative=[""112683"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1232.691132 to 901995.11886"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 2 dietary recall not done/incomplete"", ""Missing""]; Count=[""98714"", ""13969"", ""0""]; Cumulative=[""98714"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1ILINE","DR1ILINE","Food/Individual component number","Food/Individual component number","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 46"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112683"", ""0""]; Cumulative=[""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1DRSTZ","DR1DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""110739"", ""0"", ""1944"", ""0"", ""0""]; Cumulative=[""110739"", ""110739"", ""112683"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1EXMER","DR1EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""14 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112683"", ""0""]; Cumulative=[""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DRABF","DRABF","Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. ","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""1954"", ""110729"", ""0""]; Cumulative=[""1954"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""13969"", ""98714"", ""0""]; Cumulative=[""13969"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1DBIH","DR1DBIH","# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-37 to 75"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""108882"", ""3801""]; Cumulative=[""108882"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1DAY","DR1DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""18371"", ""9870"", ""10067"", ""9118"", ""10982"", ""29490"", ""24785"", ""0""]; Cumulative=[""18371"", ""28241"", ""38308"", ""47426"", ""58408"", ""87898"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1LANG","DR1LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Asian Languages"", ""Asian Languages and English"", ""Missing""]; Count=[""100900"", ""9812"", ""629"", ""559"", ""458"", ""309"", ""16""]; Cumulative=[""100900"", ""110712"", ""111341"", ""111900"", ""112358"", ""112667"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1CCMNM","DR1CCMNM","Combination food number","Combination food number (sequential number)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112683"", ""0""]; Cumulative=[""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
