"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DS1TOT_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DS1TOT_E","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1774.4576942 to 330066.87932"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9255"", ""507""]; Cumulative=[""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1513.0983763 to 419692.00229"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7838"", ""1924""]; Cumulative=[""7838"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DR1DRSTZ","DR1DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""9118"", ""83"", ""137"", ""424"", ""0""]; Cumulative=[""9118"", ""9201"", ""9338"", ""9762"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DR1EXMER","DR1EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""16 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9338"", ""424""]; Cumulative=[""9338"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""1417"", ""7838"", ""507""]; Cumulative=[""1417"", ""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DR1DAY","DR1DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1582"", ""814"", ""857"", ""738"", ""934"", ""2301"", ""2112"", ""424""]; Cumulative=[""1582"", ""2396"", ""3253"", ""3991"", ""4925"", ""7226"", ""9338"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DR1LANG","DR1LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""7952"", ""1203"", ""160"", ""34"", ""413""]; Cumulative=[""7952"", ""9155"", ""9315"", ""9349"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DR1MNRSP","DR1MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6918"", ""1963"", ""170"", ""19"", ""3"", ""33"", ""10"", ""66"", ""4"", ""20"", ""14"", ""27"", ""0"", ""0"", ""0"", ""515""]; Cumulative=[""6918"", ""8881"", ""9051"", ""9070"", ""9073"", ""9106"", ""9116"", ""9182"", ""9186"", ""9206"", ""9220"", ""9247"", ""9247"", ""9247"", ""9247"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DR1HELPD","DR1HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""710"", ""399"", ""110"", ""11"", ""0"", ""18"", ""2"", ""27"", ""2"", ""51"", ""6"", ""34"", ""7870"", ""0"", ""0"", ""0"", ""522""]; Cumulative=[""710"", ""1109"", ""1219"", ""1230"", ""1230"", ""1248"", ""1250"", ""1277"", ""1279"", ""1330"", ""1336"", ""1370"", ""9240"", ""9240"", ""9240"", ""9240"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DS1DS","DS1DS","Any Dietary Supplements taken?","Any Dietary Supplements taken in the past 24 hour?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2638"", ""6610"", ""0"", ""0"", ""514""]; Cumulative=[""2638"", ""9248"", ""9248"", ""9248"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DS1DSCNT","DS1DSCNT","Number of dietary supplements reported","Number of dietary supplements reported","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9255"", ""507""]; Cumulative=[""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1AN","DS1AN","Any Antacids Taken?","Any Antacids Taken?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""263"", ""8986"", ""0"", ""0"", ""513""]; Cumulative=[""263"", ""9249"", ""9249"", ""9249"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_E","DS1ANCNT","DS1ANCNT","Number of Antacids Reported","Number of Antacids Reported","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9255"", ""507""]; Cumulative=[""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TKCAL","DS1TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 870"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""964"", ""8798""]; Cumulative=[""964"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TPROT","DS1TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 43"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""190"", ""9572""]; Cumulative=[""190"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TCARB","DS1TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 168"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""759"", ""9003""]; Cumulative=[""759"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TSUGR","DS1TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""483"", ""9279""]; Cumulative=[""483"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TFIBE","DS1TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 167"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""172"", ""9590""]; Cumulative=[""172"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TTFAT","DS1TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""9295""]; Cumulative=[""467"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TSFAT","DS1TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""199"", ""9563""]; Cumulative=[""199"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TMFAT","DS1TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112"", ""9650""]; Cumulative=[""112"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_E","DS1TPFAT","DS1TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 20"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""212"", ""9550""]; Cumulative=[""212"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
