"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DS1TOT_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DS1TOT_G","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1852.3028731 to 443805.73786"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8519"", ""819""]; Cumulative=[""8519"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_G","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1531.3308619 to 499271.52935"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7605"", ""1733""]; Cumulative=[""7605"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_G","DR1DRSTZ","DR1DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""8389"", ""99"", ""130"", ""720"", ""0""]; Cumulative=[""8389"", ""8488"", ""8618"", ""9338"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_G","DR1EXMER","DR1EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""22 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8618"", ""720""]; Cumulative=[""8618"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_G","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""914"", ""7605"", ""819""]; Cumulative=[""914"", ""8519"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DS1TOT_G","DR1DBIH","DR1DBIH","# of days b/w intake and HH interview","# of days b/w intake and HH interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-46 to 70"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8589"", ""749""]; Cumulative=[""8589"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS1TOT_G","DR1DAY","DR1DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1378"", ""639"", ""741"", ""817"", ""884"", ""2126"", ""2033"", ""720""]; Cumulative=[""1378"", ""2017"", ""2758"", ""3575"", ""4459"", ""6585"", ""8618"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_G","DR1LANG","DR1LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 6"", ""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Range of Values"", ""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""112"", ""7529"", ""839"", ""107"", ""36"", ""715""]; Cumulative=[""112"", ""7641"", ""8480"", ""8587"", ""8623"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_G","DR1MNRSP","DR1MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6350"", ""1802"", ""222"", ""10"", ""1"", ""20"", ""7"", ""62"", ""0"", ""1"", ""11"", ""27"", ""0"", ""0"", ""0"", ""825""]; Cumulative=[""6350"", ""8152"", ""8374"", ""8384"", ""8385"", ""8405"", ""8412"", ""8474"", ""8474"", ""8475"", ""8486"", ""8513"", ""8513"", ""8513"", ""8513"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS1TOT_G","DR1HELPD","DR1HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""744"", ""372"", ""126"", ""5"", ""2"", ""21"", ""10"", ""25"", ""4"", ""83"", ""7"", ""45"", ""7063"", ""0"", ""1"", ""0"", ""830""]; Cumulative=[""744"", ""1116"", ""1242"", ""1247"", ""1249"", ""1270"", ""1280"", ""1305"", ""1309"", ""1392"", ""1399"", ""1444"", ""8507"", ""8507"", ""8508"", ""8508"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
