"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_DR1TOT","DBD100","DBD100","How often add salt to food at table","How often {do you/does SP} add this salt to {your/his/her/SPs} food at the table? Would you say . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Rarely"", ""Occasionally"", ""Very often"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4618"", ""2291"", ""1280"", ""0"", ""16"", ""6095""]; Cumulative=[""4618"", ""6909"", ""8189"", ""8189"", ""8205"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR1TOT","DBQ095Z","DBQ095Z","Type of table salt used","What type of salt {do you/does SP} usually add to {your/his/her/SPs} food at the table? Would you say . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""91"", ""99"", "".""]; Value.Description=[""Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]"", ""Lite salt"", ""Salt substitute"", ""Doesn't use or add salt products at the table"", ""Other"", ""Don't know"", ""Missing""]; Count=[""7900"", ""175"", ""131"", ""4412"", ""0"", ""216"", ""1466""]; Cumulative=[""7900"", ""8075"", ""8206"", ""12618"", ""12618"", ""12834"", ""14300""]; Skip.to.Item=["""", """", """", ""DRQSPREP"", """", ""DRQSPREP"", """"]"
"P_DR1TOT","DR1_300","DR1_300","Compare food consumed yesterday to usual","Was the amount of food that {you/NAME} ate yesterday much more than usual usual or much less than usual?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Much more than usual"", ""Usual"", ""Much less than usual"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""947"", ""9613"", ""2128"", ""0"", ""146"", ""1466""]; Cumulative=[""947"", ""10560"", ""12688"", ""12688"", ""12834"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR1TOT","DR1_320Z","DR1_320Z","Total plain water drank yesterday (gm)","Total plain water drank yesterday - including plain tap water water from a drinking fountain water from a water cooler bottled water and spring water.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15360"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12634"", ""1666""]; Cumulative=[""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR1TOT","DR1_330Z","DR1_330Z","Total tap water drank yesterday (gm)","Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15360"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12634"", ""1666""]; Cumulative=[""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR1TOT","DR1BWATZ","DR1BWATZ","Total bottled water drank yesterday (gm)","Total bottled water drank yesterday (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10800"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12634"", ""1666""]; Cumulative=[""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR1TOT","DR1DAY","DR1DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""2151"", ""1049"", ""1064"", ""1090"", ""1218"", ""3346"", ""2916"", ""1466""]; Cumulative=[""2151"", ""3200"", ""4264"", ""5354"", ""6572"", ""9918"", ""12834"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR1TOT","DR1DBIH","DR1DBIH","# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-42 to 91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12170"", ""2130""]; Cumulative=[""12170"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR1TOT","DR1DRSTZ","DR1DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""12392"", ""200"", ""242"", ""1466"", ""0""]; Cumulative=[""12392"", ""12592"", ""12834"", ""14300"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR1TOT","DR1EXMER","DR1EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""14 to 94"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12834"", ""1466""]; Cumulative=[""12834"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
