,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTDRD1,576.43623642 To 537656.81002,Range Of Values,,
2,WTDRD1,.,Missing,,
3,WTDR4YR,369.94559902 To 200052.31063,Range Of Values,,
4,WTDR4YR,.,Missing,,
5,DRXILINE,1 To 49,Range Of Values,,
6,DRXILINE,.,Missing,,
7,DRDDRSTS,1,Reliable And Meet Minimum Criteria,,
8,DRDDRSTS,2,Reliable But Not Meet Minimum Criteria,,
9,DRDDRSTS,3,Not Reliable,,
10,DRDDRSTS,4,Breast-Fed Infant Or Child,,
11,DRDDRSTS,5,Not Done,,
12,DRDDRSTS,.,Missing,,
13,DRDINTMD,1,In-Person,,
14,DRDINTMD,2,Telephone,,
15,DRDINTMD,.,Missing,,
16,DRDDAY,1,Sunday,,
17,DRDDAY,2,Monday,,
18,DRDDAY,3,Tuesday,,
19,DRDDAY,4,Wednesday,,
20,DRDDAY,5,Thursday,,
21,DRDDAY,6,Friday,,
22,DRDDAY,7,Saturday,,
23,DRDDAY,.,Missing,,
24,DRALANG,1,English,,
25,DRALANG,2,Spanish,,
26,DRALANG,3,English And Spanish,,
27,DRALANG,4,Other,,
28,DRALANG,.,Missing,,
29,DRXCCMNM,1 To 13,Range Of Values,,
30,DRXCCMNM,.,Missing,,
31,DRDCCMTY,0,Non-Combination Food,,
32,DRDCCMTY,1,Baby Food Combo,,
33,DRDCCMTY,2,Dried Beans W/Adds,,
34,DRDCCMTY,3,Beverage Combo,,
35,DRDCCMTY,4,Bread/Baked Products W/Adds,,
36,DRDCCMTY,5,Cereal Mix/Cereal W/Adds,,
37,DRDCCMTY,6,Chips W/Adds,,
38,DRDCCMTY,7,Crackers W/Adds,,
39,DRDCCMTY,8,Desserts W/Adds,,
40,DRDCCMTY,9,Eggs W/Adds,,
41,DRDCCMTY,10,Fish W/Adds,,
42,DRDCCMTY,11,Frozen Meal,,
43,DRDCCMTY,12,Fruit Combo,,
44,DRDCCMTY,13,Grains W/Adds,,
45,DRDCCMTY,14,Meat W/Adds,,
46,DRDCCMTY,15,Mixed Dish,,
47,DRDCCMTY,17,Poultry W/Adds,,
48,DRDCCMTY,18,Salads (Greens Based),,
49,DRDCCMTY,19,Salads (Non-Greens Based),,
50,DRDCCMTY,20,Sandwiches,,
51,DRDCCMTY,21,Soup Combo,,
52,DRDCCMTY,22,Tortilla W/Adds,,
53,DRDCCMTY,23,Vegetable Combo,,
54,DRDCCMTY,90,Other Foods Eaten Together,,
55,DRDCCMTY,.,Missing,,
56,DRD020,0 To 86340,Range Of Values,,
57,DRD020,.,Missing,,
58,DRD030,1,Breakfast,,
59,DRD030,2,Brunch,,
60,DRD030,3,Lunch,,
61,DRD030,4,Snack/Beverage,,
62,DRD030,5,Dinner/Supper,,
63,DRD030,6,Infant Feeding,,
64,DRD030,7,Extended Consumption,,
65,DRD030,8,Other,,
66,DRD030,9,Desayuno (Spanish),,
67,DRD030,10,Almuerzo (Spanish),,
68,DRD030,11,Comida (Spanish),,
69,DRD030,12,Merienda (Spanish),,
70,DRD030,13,Cena (Spanish),,
71,DRD030,14,Entre Comida/Bebida (Spanish),,
72,DRD030,15,Bocadillo (Spanish),,
73,DRD030,16,Botana (Spanish),,
74,DRD030,99,Don'T Know,,
75,DRD030,.,Missing,,
76,DRD040,1,Boat,,
77,DRD040,2,Self Serve Buffet,,
78,DRD040,3,Cafeteria,,
79,DRD040,4,Car,,
80,DRD040,5,Community Feeding Program,,
81,DRD040,6,Deli,,
82,DRD040,7,Fast Food,,
83,DRD040,8,Friend'S House,,
84,DRD040,9,Home,,
85,DRD040,11,Plane,,
86,DRD040,12,Restaurant,,
87,DRD040,13,School,,
88,DRD040,14,Someone Else'S House,,
89,DRD040,15,Store,,
90,DRD040,16,Take Out,,
91,DRD040,17,Work,,
92,DRD040,18,Day Camp,,
93,DRD040,19,Day Care,,
94,DRD040,90,Other,,
95,DRD040,.,Missing,,
96,DRDCFF,0,Single Component Food,,
97,DRDCFF,1,Combo Food,,
98,DRDCFF,.,Missing,,
