,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTDRD1,617.86932978 To 341097.23732,Range Of Values,,
2,WTDRD1,.,Missing,,
3,WTDR4YR,298.67300602 To 173979.37695,Range Of Values,,
4,WTDR4YR,.,Missing,,
5,DRXILINE,1 To 46,Range Of Values,,
6,DRXILINE,.,Missing,,
7,DRDDRSTZ,1,Reliable And Met The Minimum Criteria,,
8,DRDDRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,,
9,DRDDRSTZ,4,Reported Consuming Breast-Milk,,
10,DRDDRSTZ,5,Not Done,,
11,DRDDRSTZ,.,Missing,,
12,DRDDAY,1,Sunday,,
13,DRDDAY,2,Monday,,
14,DRDDAY,3,Tuesday,,
15,DRDDAY,4,Wednesday,,
16,DRDDAY,5,Thursday,,
17,DRDDAY,6,Friday,,
18,DRDDAY,7,Saturday,,
19,DRDDAY,.,Missing,,
20,DRALANG,1,English,,
21,DRALANG,2,Spanish,,
22,DRALANG,3,English And Spanish,,
23,DRALANG,4,Other,,
24,DRALANG,.,Missing,,
25,DRXCCMNM,0 To 11,Range Of Values,,
26,DRXCCMNM,.,Missing,,
27,DRDCCMTZ,0,Non-Combination Food,,
28,DRDCCMTZ,1,Beverage W/ Adds,,
29,DRDCCMTZ,2,Cereal W/ Adds,,
30,DRDCCMTZ,3,Bread/Baked Products W/ Adds,,
31,DRDCCMTZ,4,Salad,,
32,DRDCCMTZ,5,Sandwiches,,
33,DRDCCMTZ,6,Soup,,
34,DRDCCMTZ,7,Frozen Meals,,
35,DRDCCMTZ,8,Ice Cream/Frozen Yogurt W/ Additions,,
36,DRDCCMTZ,9,Dried Beans And Vegetable W/ Adds,,
37,DRDCCMTZ,10,Fruit W/ Adds,,
38,DRDCCMTZ,11,Tortilla Products,,
39,DRDCCMTZ,12,"Meat, Poultry, Fish",,
40,DRDCCMTZ,13,Lunchables,,
41,DRDCCMTZ,90,Other Mixtures,,
42,DRDCCMTZ,.,Missing,,
43,DRD020,0 To 86340,Range Of Values,,
44,DRD020,.,Missing,,
45,DRD030Z,1,Breakfast,,
46,DRD030Z,2,Lunch,,
47,DRD030Z,3,Dinner/Supper,,
48,DRD030Z,5,Brunch,,
49,DRD030Z,6,Snack/Beverage,,
50,DRD030Z,8,Infant Feeding,,
51,DRD030Z,9,Extended Consumption,,
52,DRD030Z,10,Desayano (Spanish),,
53,DRD030Z,11,Almuerzo (Spanish),,
54,DRD030Z,12,Comida (Spanish),,
55,DRD030Z,13,Merienda (Spanish),,
56,DRD030Z,14,Cena (Spanish),,
57,DRD030Z,15,Entre Comida/Bebida/Tentempie (Spanish),,
58,DRD030Z,16,Botana (Spanish),,
59,DRD030Z,17,Bocadillo (Spanish),,
60,DRD030Z,91,Other,,
61,DRD030Z,99,Don'T Know,,
62,DRD030Z,.,Missing,,
63,DRD040Z,1,Yes,,
64,DRD040Z,2,No,,
65,DRD040Z,.,Missing,,
66,DRDIFDCD,11000000 To 94000000,Range Of Values,,
