,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTDRD1,617.86932978 To 341097.23732,Range Of Values,,
2,WTDRD1,.,Missing,,
3,WTDR4YR,298.67300602 To 173979.37695,Range Of Values,,
4,WTDR4YR,.,Missing,,
5,DRDDRSTZ,1,Reliable And Met The Minimum Criteria,,
6,DRDDRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,,
7,DRDDRSTZ,4,Reported Consuming Breast-Milk,,
8,DRDDRSTZ,5,Not Done,,
9,DRDDRSTZ,.,Missing,,
10,DRDEXMER,16 To 85,Range Of Values,,
11,DRDEXMER,.,Missing,,
12,DRDDAY,1,Sunday,,
13,DRDDAY,2,Monday,,
14,DRDDAY,3,Tuesday,,
15,DRDDAY,4,Wednesday,,
16,DRDDAY,5,Thursday,,
17,DRDDAY,6,Friday,,
18,DRDDAY,7,Saturday,,
19,DRDDAY,.,Missing,,
20,DRALANG,1,English,,
21,DRALANG,2,Spanish,,
22,DRALANG,3,English And Spanish,,
23,DRALANG,4,Other,,
24,DRALANG,.,Missing,,
25,DRDRESP,1,Sp,,
26,DRDRESP,2,Proxy,,
27,DRDRESP,3,Sp And Proxy,,
28,DRDRESP,.,Missing,,
29,DRXTNUMF,0 To 46,Range Of Values,,
30,DRXTNUMF,.,Missing,,
31,DRXTKCAL,0 To 15594,Range Of Values,,
32,DRXTKCAL,.,Missing,,
33,DRXTPROT,0 To 718.42,Range Of Values,,
34,DRXTPROT,.,Missing,,
35,DRXTCARB,0 To 1700.37,Range Of Values,,
36,DRXTCARB,.,Missing,,
37,DRXTSUGR,0 To 1141.86,Range Of Values,,
38,DRXTSUGR,.,Missing,,
39,DRXTFIBE,0 To 128.3,Range Of Values,,
40,DRXTFIBE,.,Missing,,
41,DRXTTFAT,0 To 839.65,Range Of Values,,
42,DRXTTFAT,.,Missing,,
43,DRXTSFAT,0 To 227.896,Range Of Values,,
44,DRXTSFAT,.,Missing,,
45,DRXTMFAT,0 To 339.932,Range Of Values,,
46,DRXTMFAT,.,Missing,,
47,DRXTPFAT,0 To 201.473,Range Of Values,,
48,DRXTPFAT,.,Missing,,
49,DRXTCHOL,0 To 3052,Range Of Values,,
50,DRXTCHOL,.,Missing,,
51,DRXTATOC,0 To 110.79,Range Of Values,,
52,DRXTATOC,.,Missing,,
53,DRXTRET,0 To 31679,Range Of Values,,
54,DRXTRET,.,Missing,,
55,DRXTVARA,0 To 32058,Range Of Values,,
56,DRXTVARA,.,Missing,,
57,DRXTACAR,0 To 31067,Range Of Values,,
58,DRXTACAR,.,Missing,,
59,DRXTBCAR,0 To 67795,Range Of Values,,
60,DRXTBCAR,.,Missing,,
61,DRXTCRYP,0 To 3678,Range Of Values,,
62,DRXTCRYP,.,Missing,,
63,DRXTLYCO,0 To 202362,Range Of Values,,
64,DRXTLYCO,.,Missing,,
65,DRXTLZ,0 To 67958,Range Of Values,,
66,DRXTLZ,.,Missing,,
67,DRXTVB1,0 To 15.64,Range Of Values,,
