,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DSDCOUNT,0 To 24,Range Of Values,,
2,DSDCOUNT,77,Refused,,
3,DSDCOUNT,99,Don'T Know,,
4,DSDCOUNT,.,Missing,,
5,DSDANCNT,0 To 3,Range Of Values,,
6,DSDANCNT,77,Refused,,
7,DSDANCNT,99,Don'T Know,,
8,DSDANCNT,.,Missing,,
9,DSD010,1,Yes,,
10,DSD010,2,No,,
11,DSD010,7,Refused,,
12,DSD010,9,Don'T Know,,
13,DSD010,.,Missing,,
14,DSD010AN,1,Yes,,
15,DSD010AN,2,No,,
16,DSD010AN,7,Refused,,
17,DSD010AN,9,Don'T Know,,
18,DSD010AN,.,Missing,,
19,DSQTKCAL,0.1 To 3654.3,Range Of Values,,
20,DSQTKCAL,.,Missing,,
21,DSQTPROT,0 To 168,Range Of Values,,
22,DSQTPROT,.,Missing,,
23,DSQTCARB,0 To 705.6,Range Of Values,,
24,DSQTCARB,.,Missing,,
25,DSQTSUGR,0 To 128.5,Range Of Values,,
26,DSQTSUGR,.,Missing,,
27,DSQTFIBE,0 To 66,Range Of Values,,
28,DSQTFIBE,.,Missing,,
29,DSQTTFAT,0 To 30,Range Of Values,,
30,DSQTTFAT,.,Missing,,
31,DSQTSFAT,0 To 8.4,Range Of Values,,
32,DSQTSFAT,.,Missing,,
33,DSQTMFAT,0 To 6,Range Of Values,,
34,DSQTMFAT,.,Missing,,
35,DSQTPFAT,0 To 16,Range Of Values,,
36,DSQTPFAT,.,Missing,,
37,DSQTCHOL,0.2 To 2800,Range Of Values,,
38,DSQTCHOL,.,Missing,,
39,DSQTLYCO,5.8 To 30950,Range Of Values,,
40,DSQTLYCO,.,Missing,,
41,DSQTLZ,2.1 To 22690,Range Of Values,,
42,DSQTLZ,.,Missing,,
43,DSQTVB1,0 To 501.5,Range Of Values,,
44,DSQTVB1,.,Missing,,
45,DSQTVB2,0 To 480,Range Of Values,,
46,DSQTVB2,.,Missing,,
47,DSQTNIAC,0 To 2020,Range Of Values,,
48,DSQTNIAC,.,Missing,,
49,DSQTVB6,0 To 503,Range Of Values,,
50,DSQTVB6,.,Missing,,
51,DSQTFA,0.8 To 8000,Range Of Values,,
52,DSQTFA,.,Missing,,
53,DSQTFDFE,1.4 To 13600,Range Of Values,,
54,DSQTFDFE,.,Missing,,
55,DSQTCHL,0 To 1000,Range Of Values,,
56,DSQTCHL,.,Missing,,
57,DSQTVB12,0 To 10000.8,Range Of Values,,
58,DSQTVB12,.,Missing,,
59,DSQTVC,0.1 To 6060,Range Of Values,,
60,DSQTVC,.,Missing,,
61,DSQTVK,0.3 To 2300,Range Of Values,,
62,DSQTVK,.,Missing,,
63,DSQTVD,0 To 1290,Range Of Values,,
64,DSQTVD,.,Missing,,
65,DSQTCALC,0.7 To 4050,Range Of Values,,
66,DSQTCALC,.,Missing,,
67,DSQTPHOS,0.9 To 2000,Range Of Values,,
68,DSQTPHOS,.,Missing,,
69,DSQTMAGN,0 To 2000,Range Of Values,,
70,DSQTMAGN,.,Missing,,
71,DSQTIRON,.,Missing,,
72,DSQTIRON,0 To 400,Range Of Values,,
73,DSQTZINC,0 To 1250,Range Of Values,,
74,DSQTZINC,.,Missing,,
75,DSQTCOPP,0 To 40,Range Of Values,,
76,DSQTCOPP,.,Missing,,
77,DSQTSODI,0.1 To 10000,Range Of Values,,
78,DSQTSODI,.,Missing,,
79,DSQTPOTA,0 To 5977.1,Range Of Values,,
80,DSQTPOTA,.,Missing,,
81,DSQTSELE,0.5 To 1050,Range Of Values,,
82,DSQTSELE,.,Missing,,
83,DSQTCAFF,5 To 300,Range Of Values,,
84,DSQTCAFF,.,Missing,,
