,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTDRD1,1852.3028731 To 379540.72986,Range Of Values,,
2,WTDRD1,.,Missing,,
3,WTDR2D,1531.3308619 To 454769.19487,Range Of Values,,
4,WTDR2D,.,Missing,,
5,DR1DRSTZ,1,Reliable And Met The Minimum Criteria,,
6,DR1DRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,,
7,DR1DRSTZ,4,Reported Consuming Breast-Milk,,
8,DR1DRSTZ,5,Not Done,,
9,DR1DRSTZ,.,Missing,,
10,DR1EXMER,22 To 91,Range Of Values,,
11,DR1EXMER,.,Missing,,
12,DRDINT,1,Day 1 Only,,
13,DRDINT,2,Day 1 And Day 2,,
14,DRDINT,.,Missing,,
15,DR1DBIH,-46 To 70,Range Of Values,,
16,DR1DBIH,.,Missing,,
17,DR1DAY,1,Sunday,,
18,DR1DAY,2,Monday,,
19,DR1DAY,3,Tuesday,,
20,DR1DAY,4,Wednesday,,
21,DR1DAY,5,Thursday,,
22,DR1DAY,6,Friday,,
23,DR1DAY,7,Saturday,,
24,DR1DAY,.,Missing,,
25,DR1LANG,5 To 6,Range Of Values,,
26,DR1LANG,1,English,,
27,DR1LANG,2,Spanish,,
28,DR1LANG,3,English And Spanish,,
29,DR1LANG,4,Other,,
30,DR1LANG,.,Missing,,
31,DS1LOC,1,Household Interview,,
32,DS1LOC,2,Mec Interview,,
33,DS1LOC,3,Phone Interview,,
34,DS1LOC,.,Missing,,
35,DSDSUPID,Nchs Supplement Id,Value Was Recorded,,
36,DSDSUPID,,,,
37,DSDSUPP,Supplement Name,Value Was Recorded,,
38,DSDSUPP,,,,
39,DS1MTCH,1,Exact Or Near Exact Match,,
40,DS1MTCH,2,Probable Match,,
41,DS1MTCH,3,Generic Match,,
42,DS1MTCH,4,Reasonable Match,,
43,DS1MTCH,5,Default Match,,
44,DS1MTCH,6,No Match,,
45,DS1MTCH,7,Refused,,
46,DS1MTCH,9,Don'T Know,,
47,DS1MTCH,.,Missing,,
48,DS1ANTA,0,Non-Antacid Supplement,,
49,DS1ANTA,1,Antacid Containing Calcium And/Or Magnesium,,
50,DS1ANTA,2,Antacids Reported With Antacids,,
51,DS1ANTA,.,Missing,,
52,DS1ACTSS,0.06 To 15,Range Of Values,,
53,DS1ACTSS,999,Don'T Know,,
54,DS1ACTSS,.,Missing,,
55,DS1IKCAL,1 To 249,Range Of Values,,
56,DS1IKCAL,.,Missing,,
57,DS1IPROT,0.08 To 30,Range Of Values,,
58,DS1IPROT,.,Missing,,
59,DS1ICARB,0.06 To 42,Range Of Values,,
60,DS1ICARB,.,Missing,,
61,DS1ISUGR,0.08 To 18,Range Of Values,,
62,DS1ISUGR,.,Missing,,
63,DS1IFIBE,0.1 To 24,Range Of Values,,
64,DS1IFIBE,.,Missing,,
65,DS1ITFAT,0.3 To 15,Range Of Values,,
66,DS1ITFAT,.,Missing,,
67,DS1ISFAT,0.023 To 3,Range Of Values,,
68,DS1ISFAT,.,Missing,,
69,DS1IMFAT,0.033 To 6,Range Of Values,,
70,DS1IMFAT,.,Missing,,
71,DS1IPFAT,0.231 To 11,Range Of Values,,
72,DS1IPFAT,.,Missing,,
73,DS1ICHOL,1 To 75,Range Of Values,,
74,DS1ICHOL,.,Missing,,
75,DS1ILYCO,18 To 37500,Range Of Values,,
76,DS1ILYCO,.,Missing,,
77,DS1ILZ,5 To 95475,Range Of Values,,
78,DS1ILZ,.,Missing,,
79,DS1IVB1,0.045 To 1500,Range Of Values,,
80,DS1IVB1,.,Missing,,
81,DS1IVB2,0.051 To 300,Range Of Values,,
82,DS1IVB2,.,Missing,,
83,DS1INIAC,0.3 To 2400,Range Of Values,,
84,DS1INIAC,.,Missing,,
85,DS1IVB6,0.02 To 1000,Range Of Values,,
86,DS1IVB6,.,Missing,,
87,DS1IFA,2 To 3200,Range Of Values,,
88,DS1IFA,.,Missing,,
89,DS1IFDFE,3 To 5440,Range Of Values,,
90,DS1IFDFE,.,Missing,,
91,DS1ICHL,0.005 To 335,Range Of Values,,
92,DS1ICHL,.,Missing,,
93,DS1IVB12,0.36 To 6000,Range Of Values,,
94,DS1IVB12,.,Missing,,
95,DS1IVC,0.8 To 15000,Range Of Values,,
96,DS1IVC,.,Missing,,
97,DS1IVK,2.6 To 2000,Range Of Values,,
98,DS1IVK,.,Missing,,
99,DS1IVD,0.03 To 1250,Range Of Values,,
100,DS1IVD,.,Missing,,
101,DS1ICALC,3 To 2270,Range Of Values,,
102,DS1ICALC,.,Missing,,
103,DS1IPHOS,0.08 To 665,Range Of Values,,
104,DS1IPHOS,.,Missing,,
105,DS1IMAGN,0.4 To 3000,Range Of Values,,
106,DS1IMAGN,.,Missing,,
107,DS1IIRON,0.0004 To 195,Range Of Values,,
108,DS1IIRON,.,Missing,,
109,DS1IZINC,0.02 To 100,Range Of Values,,
110,DS1IZINC,.,Missing,,
111,DS1ICOPP,0.003 To 14,Range Of Values,,
112,DS1ICOPP,.,Missing,,
113,DS1ISODI,0.4 To 230,Range Of Values,,
114,DS1ISODI,.,Missing,,
115,DS1IPOTA,0.1 To 794.5,Range Of Values,,
116,DS1IPOTA,.,Missing,,
117,DS1ISELE,0.2 To 100000,Range Of Values,,
118,DS1ISELE,.,Missing,,
119,DS1ICAFF,70 To 400,Range Of Values,,
120,DS1ICAFF,.,Missing,,
121,DS1IIODI,7.5 To 12500,Range Of Values,,
122,DS1IIODI,.,Missing,,
