,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTDRD1,,,,,,,,,,,,
2,WTDR4YR,,,,,,,,,,,,
3,DRDDRSTS,,,,,,,,,,,,
4,DRDEXMER,,,,,,,,,,,,
5,DRASCST2,,,,,,,,,,,,
6,DRDAINMD,,,,,,,,,,,,
7,DRDINTMD,,,,,,,,,,,,
8,DRDDAY,,,,,,,,,,,,
9,DRALANG,,,,,,,,,,,,
10,DRARESP,,,,,,,,,,,,
11,DRDTSODF,,,,,,,,,,,,
12,DRXTKCAL,,,,,,,,,,,,
13,DRXTPROT,,,,,,,,,,,,
14,DRXTCARB,,,,,,,,,,,,
15,DRXTTFAT,,,,,,,,,,,,
16,DRXTSFAT,,,,,,,,,,,,
17,DRXTMFAT,,,,,,,,,,,,
18,DRXTPFAT,,,,,,,,,,,,
19,DRXTCHOL,,,,,,,,,,,,
20,DRXTFIBE,,,,,,,,,,,,
21,DRXTVAIU,,,,,,,,,,,,
22,DRXTVARE,,,,,,,,,,,,
23,DRXTCARO,,,,,,,,,,,,
24,DRXTVB1,,,,,,,,,,,,
25,DRXTVB2,,,,,,,,,,,,
26,DRXTNIAC,,,,,,,,,,,,
27,DRXTVB6,,,,,,,,,,,,
28,DRXTFOLA,,,,,,,,,,,,
29,DRXTVB12,,,,,,,,,,,,
30,DRXTVC,,,,,,,,,,,,
31,DRXTVE,,,,,,,,,,,,
32,DRXTCALC,,,,,,,,,,,,
33,DRXTPHOS,,,,,,,,,,,,
34,DRXTMAGN,,,,,,,,,,,,
35,DRXTIRON,,,,,,,,,,,,
36,DRXTZINC,,,,,,,,,,,,
37,DRXTCOPP,,,,,,,,,,,,
38,DRDTSODI,,,,,,,,,,,,
39,DRXTPOTA,,,,,,,,,,,,
40,DRXTSELE,,,,,,,,,,,,
41,DRXTCAFF,,,,,,,,,,,,
42,DRXTTHEO,,,,,,,,,,,,
43,DRXTALCO,,,,,,,,,,,,
44,DRXTWATE,,,,,,,,,,,,
45,DRXTS040,,,,,,,,,,,,
46,DRXTS060,,,,,,,,,,,,
