,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,DR1ILINE,,,,,,,,,,,,
2,WTDRD1,,,,,,,,,,,,
3,WTDR2D,,,,,,,,,,,,
4,DR1DRSTZ,,,,,,,,,,,,
5,DR1EXMER,,,,,,,,,,,,
6,DRABF,,,,,,,,,,,,
7,DRDINT,,,,,,,,,,,,
8,DR1DAY,,,,,,,,,,,,
9,DR1LANG,,,,,,,,,,,,
10,DR1CCMNM,,,,,,,,,,,,
11,DR1CCMTX,,,,,,,,,,,,
12,DR1_020,,,,,,,,,,,,
13,DR1_030Z,,,,,,,,,,,,
14,DR1FS,,,,,,,,,,,,
15,DR1_040Z,,,,,,,,,,,,
16,DR1IFDCD,,,,,,,,,,,,
17,DR1MC,,,,,,,,,,,,
18,DR1IGRMS,,,,,,,,,,,,
19,DR1IKCAL,,,,,,,,,,,,
20,DR1IPROT,,,,,,,,,,,,
21,DR1ICARB,,,,,,,,,,,,
22,DR1ISUGR,,,,,,,,,,,,
23,DR1IFIBE,,,,,,,,,,,,
24,DR1ITFAT,,,,,,,,,,,,
25,DR1ISFAT,,,,,,,,,,,,
26,DR1IMFAT,,,,,,,,,,,,
27,DR1IPFAT,,,,,,,,,,,,
28,DR1ICHOL,,,,,,,,,,,,
29,DR1IATOC,,,,,,,,,,,,
30,DR1IATOA,,,,,,,,,,,,
31,DR1IRET,,,,,,,,,,,,
32,DR1IVARA,,,,,,,,,,,,
33,DR1IACAR,,,,,,,,,,,,
34,DR1IBCAR,,,,,,,,,,,,
35,DR1ICRYP,,,,,,,,,,,,
36,DR1ILYCO,,,,,,,,,,,,
37,DR1ILZ,,,,,,,,,,,,
38,DR1IVB1,,,,,,,,,,,,
39,DR1IVB2,,,,,,,,,,,,
40,DR1INIAC,,,,,,,,,,,,
41,DR1IVB6,,,,,,,,,,,,
42,DR1IFOLA,,,,,,,,,,,,
43,DR1IFA,,,,,,,,,,,,
44,DR1IFF,,,,,,,,,,,,
45,DR1IFDFE,,,,,,,,,,,,
46,DR1IVB12,,,,,,,,,,,,
47,DR1IB12A,,,,,,,,,,,,
48,DR1IVC,,,,,,,,,,,,
49,DR1IVK,,,,,,,,,,,,
50,DR1ICALC,,,,,,,,,,,,
51,DR1IPHOS,,,,,,,,,,,,
52,DR1IMAGN,,,,,,,,,,,,
53,DR1IIRON,,,,,,,,,,,,
54,DR1IZINC,,,,,,,,,,,,
55,DR1ICOPP,,,,,,,,,,,,
56,DR1ISODI,,,,,,,,,,,,
57,DR1IPOTA,,,,,,,,,,,,
58,DR1ISELE,,,,,,,,,,,,
59,DR1ICAFF,,,,,,,,,,,,
60,DR1ITHEO,,,,,,,,,,,,
61,DR1IALCO,,,,,,,,,,,,
62,DR1IMOIS,,,,,,,,,,,,
63,DR1IS040,,,,,,,,,,,,
64,DR1IS060,,,,,,,,,,,,
65,DR1IS080,,,,,,,,,,,,
66,DR1IS100,,,,,,,,,,,,
67,DR1IS120,,,,,,,,,,,,
68,DR1IS140,,,,,,,,,,,,
69,DR1IS160,,,,,,,,,,,,
70,DR1IS180,,,,,,,,,,,,
71,DR1IM161,,,,,,,,,,,,
72,DR1IM181,,,,,,,,,,,,
73,DR1IM201,,,,,,,,,,,,
74,DR1IM221,,,,,,,,,,,,
75,DR1IP182,,,,,,,,,,,,
76,DR1IP183,,,,,,,,,,,,
77,DR1IP184,,,,,,,,,,,,
78,DR1IP204,,,,,,,,,,,,
79,DR1IP205,,,,,,,,,,,,
80,DR1IP225,,,,,,,,,,,,
81,DR1IP226,,,,,,,,,,,,
