,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,DSDSUPID,,,,,,,,,,,,
2,DSDANTA,,,,,,,,,,,,
3,DSD070,,,,,,,,,,,,
4,DSDMTCH,,,,,,,,,,,,
5,DSD090,,,,,,,,,,,,
6,DSD103,,,,,,,,,,,,
7,DSD122Q,,,,,,,,,,,,
8,DSD122U,,,,,,,,,,,,
9,DSDACTSS,,,,,,,,,,,,
10,DSDDAY1,,,,,,,,,,,,
11,DSDDAY2,,,,,,,,,,,,
12,DSQ124,,,,,,,,,,,,
13,DSQ128A,,,,,,,,,,,,
14,DSQ128B,,,,,,,,,,,,
15,DSQ128C,,,,,,,,,,,,
16,DSQ128D,,,,,,,,,,,,
17,DSQ128E,,,,,,,,,,,,
18,DSQ128F,,,,,,,,,,,,
19,DSQ128G,,,,,,,,,,,,
20,DSQ128H,,,,,,,,,,,,
21,DSQ128I,,,,,,,,,,,,
22,DSQ128J,,,,,,,,,,,,
23,DSQ128K,,,,,,,,,,,,
24,DSQ128L,,,,,,,,,,,,
25,DSQ128M,,,,,,,,,,,,
26,DSQ128N,,,,,,,,,,,,
27,DSQ128O,,,,,,,,,,,,
28,DSQ128P,,,,,,,,,,,,
29,DSQ128Q,,,,,,,,,,,,
30,DSQ128R,,,,,,,,,,,,
31,DSQ128S,,,,,,,,,,,,
32,DSD128T,,,,,,,,,,,,
33,DSD128U,,,,,,,,,,,,
34,DSD128V,,,,,,,,,,,,
35,DSD128W,,,,,,,,,,,,
36,DSD128X,,,,,,,,,,,,
37,DSD128Y,,,,,,,,,,,,
38,DSD128Z,,,,,,,,,,,,
39,DSD128AA,,,,,,,,,,,,
40,DSD128BB,,,,,,,,,,,,
41,DSD128CC,,,,,,,,,,,,
42,DSD128DD,,,,,,,,,,,,
43,DSD128EE,,,,,,,,,,,,
44,DSD128FF,,,,,,,,,,,,
45,DSD128GG,,,,,,,,,,,,
46,DSD128HH,,,,,,,,,,,,
47,DSD128II,,,,,,,,,,,,
48,RXQ215A,,,,,,,,,,,,
49,DSQIKCAL,,,,,,,,,,,,
50,DSQIPROT,,,,,,,,,,,,
51,DSQICARB,,,,,,,,,,,,
52,DSQISUGR,,,,,,,,,,,,
53,DSQIFIBE,,,,,,,,,,,,
54,DSQITFAT,,,,,,,,,,,,
55,DSQISFAT,,,,,,,,,,,,
56,DSQIMFAT,,,,,,,,,,,,
57,DSQIPFAT,,,,,,,,,,,,
58,DSQICHOL,,,,,,,,,,,,
59,DSQILYCO,,,,,,,,,,,,
60,DSQILZ,,,,,,,,,,,,
61,DSQIVB1,,,,,,,,,,,,
62,DSQIVB2,,,,,,,,,,,,
63,DSQINIAC,,,,,,,,,,,,
64,DSQIVB6,,,,,,,,,,,,
65,DSQIFA,,,,,,,,,,,,
66,DSQIFDFE,,,,,,,,,,,,
67,DSQICHL,,,,,,,,,,,,
68,DSQIVB12,,,,,,,,,,,,
69,DSQIVC,,,,,,,,,,,,
70,DSQIVK,,,,,,,,,,,,
71,DSQIVD,,,,,,,,,,,,
72,DSQICALC,,,,,,,,,,,,
73,DSQIPHOS,,,,,,,,,,,,
74,DSQIMAGN,,,,,,,,,,,,
75,DSQIIRON,,,,,,,,,,,,
76,DSQIZINC,,,,,,,,,,,,
77,DSQICOPP,,,,,,,,,,,,
78,DSQISODI,,,,,,,,,,,,
79,DSQIPOTA,,,,,,,,,,,,
80,DSQISELE,,,,,,,,,,,,
81,DSQICAFF,,,,,,,,,,,,
