,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTDRD1,,,,,,,,,,,,
2,WTDR2D,,,,,,,,,,,,
3,DR2DRSTZ,,,,,,,,,,,,
4,DR2EXMER,,,,,,,,,,,,
5,DRABF,,,,,,,,,,,,
6,DRDINT,,,,,,,,,,,,
7,DR2DBIH,,,,,,,,,,,,
8,DR2DAY,,,,,,,,,,,,
9,DR2LANG,,,,,,,,,,,,
10,DR2MNRSP,,,,,,,,,,,,
11,DR2HELPD,,,,,,,,,,,,
12,DR2TNUMF,,,,,,,,,,,,
13,DR2STY,,,,,,,,,,,,
14,DR2SKY,,,,,,,,,,,,
15,DR2TKCAL,,,,,,,,,,,,
16,DR2TPROT,,,,,,,,,,,,
17,DR2TCARB,,,,,,,,,,,,
18,DR2TSUGR,,,,,,,,,,,,
19,DR2TFIBE,,,,,,,,,,,,
20,DR2TTFAT,,,,,,,,,,,,
21,DR2TSFAT,,,,,,,,,,,,
22,DR2TMFAT,,,,,,,,,,,,
23,DR2TPFAT,,,,,,,,,,,,
24,DR2TCHOL,,,,,,,,,,,,
25,DR2TATOC,,,,,,,,,,,,
26,DR2TATOA,,,,,,,,,,,,
27,DR2TRET,,,,,,,,,,,,
28,DR2TVARA,,,,,,,,,,,,
29,DR2TACAR,,,,,,,,,,,,
30,DR2TBCAR,,,,,,,,,,,,
31,DR2TCRYP,,,,,,,,,,,,
32,DR2TLYCO,,,,,,,,,,,,
33,DR2TLZ,,,,,,,,,,,,
34,DR2TVB1,,,,,,,,,,,,
35,DR2TVB2,,,,,,,,,,,,
36,DR2TNIAC,,,,,,,,,,,,
37,DR2TVB6,,,,,,,,,,,,
38,DR2TFOLA,,,,,,,,,,,,
39,DR2TFA,,,,,,,,,,,,
40,DR2TFF,,,,,,,,,,,,
41,DR2TFDFE,,,,,,,,,,,,
42,DR2TCHL,,,,,,,,,,,,
43,DR2TVB12,,,,,,,,,,,,
44,DR2TB12A,,,,,,,,,,,,
45,DR2TVC,,,,,,,,,,,,
46,DR2TVD,,,,,,,,,,,,
47,DR2TVK,,,,,,,,,,,,
48,DR2TCALC,,,,,,,,,,,,
49,DR2TPHOS,,,,,,,,,,,,
50,DR2TMAGN,,,,,,,,,,,,
51,DR2TIRON,,,,,,,,,,,,
52,DR2TZINC,,,,,,,,,,,,
53,DR2TCOPP,,,,,,,,,,,,
54,DR2TSODI,,,,,,,,,,,,
55,DR2TPOTA,,,,,,,,,,,,
56,DR2TSELE,,,,,,,,,,,,
57,DR2TCAFF,,,,,,,,,,,,
58,DR2TTHEO,,,,,,,,,,,,
59,DR2TALCO,,,,,,,,,,,,
60,DR2TMOIS,,,,,,,,,,,,
61,DR2TS040,,,,,,,,,,,,
62,DR2TS060,,,,,,,,,,,,
63,DR2TS080,,,,,,,,,,,,
64,DR2TS100,,,,,,,,,,,,
65,DR2TS120,,,,,,,,,,,,
66,DR2TS140,,,,,,,,,,,,
67,DR2TS160,,,,,,,,,,,,
68,DR2TS180,,,,,,,,,,,,
69,DR2TM161,,,,,,,,,,,,
70,DR2TM181,,,,,,,,,,,,
71,DR2TM201,,,,,,,,,,,,
72,DR2TM221,,,,,,,,,,,,
73,DR2TP182,,,,,,,,,,,,
74,DR2TP183,,,,,,,,,,,,
75,DR2TP184,,,,,,,,,,,,
76,DR2TP204,,,,,,,,,,,,
77,DR2TP205,,,,,,,,,,,,
78,DR2TP225,,,,,,,,,,,,
79,DR2TP226,,,,,,,,,,,,
80,DR2_300,,,,,,,,,,,,
81,DR2_320Z,,,,,,,,,,,,
82,DR2_330Z,,,,,,,,,,,,
83,DR2BWATZ,,,,,,,,,,,,
84,DR2TWS,,,,,,,,,,,,
