,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,DR2_020,,,,,,,,,,,,
1,DR2_030Z,,,,,,,,,,,,
2,DR2_040Z,,,,,,,,,,,,
3,DR2CCMNM,,,,,,,,,,,,
4,DR2CCMTX,,,,,,,,,,,,
5,DR2DAY,,,,,,,,,,,,
6,DR2DBIH,,,,,,,,,,,,
7,DR2DRSTZ,,,,,,,,,,,,
8,DR2EXMER,,,,,,,,,,,,
9,DR2FS,,,,,,,,,,,,
10,DR2IACAR,,,,,,,,,,,,
11,DR2IALCO,,,,,,,,,,,,
12,DR2IATOA,,,,,,,,,,,,
13,DR2IATOC,,,,,,,,,,,,
14,DR2IB12A,,,,,,,,,,,,
15,DR2IBCAR,,,,,,,,,,,,
16,DR2ICAFF,,,,,,,,,,,,
17,DR2ICALC,,,,,,,,,,,,
18,DR2ICARB,,,,,,,,,,,,
19,DR2ICHL,,,,,,,,,,,,
20,DR2ICHOL,,,,,,,,,,,,
21,DR2ICOPP,,,,,,,,,,,,
22,DR2ICRYP,,,,,,,,,,,,
23,DR2IFA,,,,,,,,,,,,
24,DR2IFDCD,,,,,,,,,,,,
25,DR2IFDFE,,,,,,,,,,,,
26,DR2IFF,,,,,,,,,,,,
27,DR2IFIBE,,,,,,,,,,,,
28,DR2IFOLA,,,,,,,,,,,,
29,DR2IGRMS,,,,,,,,,,,,
30,DR2IIRON,,,,,,,,,,,,
31,DR2IKCAL,,,,,,,,,,,,
32,DR2ILINE,,,,,,,,,,,,
33,DR2ILYCO,,,,,,,,,,,,
34,DR2ILZ,,,,,,,,,,,,
35,DR2IM161,,,,,,,,,,,,
36,DR2IM181,,,,,,,,,,,,
37,DR2IM201,,,,,,,,,,,,
38,DR2IM221,,,,,,,,,,,,
39,DR2IMAGN,,,,,,,,,,,,
40,DR2IMFAT,,,,,,,,,,,,
41,DR2IMOIS,,,,,,,,,,,,
42,DR2INIAC,,,,,,,,,,,,
43,DR2IP182,,,,,,,,,,,,
44,DR2IP183,,,,,,,,,,,,
45,DR2IP184,,,,,,,,,,,,
46,DR2IP204,,,,,,,,,,,,
47,DR2IP205,,,,,,,,,,,,
48,DR2IP225,,,,,,,,,,,,
49,DR2IP226,,,,,,,,,,,,
50,DR2IPFAT,,,,,,,,,,,,
51,DR2IPHOS,,,,,,,,,,,,
52,DR2IPOTA,,,,,,,,,,,,
53,DR2IPROT,,,,,,,,,,,,
54,DR2IRET,,,,,,,,,,,,
55,DR2IS040,,,,,,,,,,,,
56,DR2IS060,,,,,,,,,,,,
57,DR2IS080,,,,,,,,,,,,
58,DR2IS100,,,,,,,,,,,,
59,DR2IS120,,,,,,,,,,,,
60,DR2IS140,,,,,,,,,,,,
61,DR2IS160,,,,,,,,,,,,
62,DR2IS180,,,,,,,,,,,,
63,DR2ISELE,,,,,,,,,,,,
64,DR2ISFAT,,,,,,,,,,,,
65,DR2ISODI,,,,,,,,,,,,
66,DR2ISUGR,,,,,,,,,,,,
67,DR2ITFAT,,,,,,,,,,,,
68,DR2ITHEO,,,,,,,,,,,,
69,DR2IVARA,,,,,,,,,,,,
70,DR2IVB1,,,,,,,,,,,,
71,DR2IVB12,,,,,,,,,,,,
72,DR2IVB2,,,,,,,,,,,,
73,DR2IVB6,,,,,,,,,,,,
74,DR2IVC,,,,,,,,,,,,
75,DR2IVD,,,,,,,,,,,,
76,DR2IVK,,,,,,,,,,,,
77,DR2IZINC,,,,,,,,,,,,
78,DR2LANG,,,,,,,,,,,,
79,DRABF,,,,,,,,,,,,
80,DRDINT,,,,,,,,,,,,
81,SEQN,,,,,,,,,,,,
82,WTDR2DPP,,,,,,,,,,,,
83,WTDRD1PP,,,,,,,,,,,,
