,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,DR2DAY,,,,,,,,,,,,
1,DR2DBIH,,,,,,,,,,,,
2,DR2DRSTZ,,,,,,,,,,,,
3,DR2EXMER,,,,,,,,,,,,
4,DR2HELP,,,,,,,,,,,,
5,DR2LANG,,,,,,,,,,,,
6,DR2MRESP,,,,,,,,,,,,
7,DRDINT,,,,,,,,,,,,
8,DS2AN,,,,,,,,,,,,
9,DS2ANCNT,,,,,,,,,,,,
10,DS2DS,,,,,,,,,,,,
11,DS2DSCNT,,,,,,,,,,,,
12,DS2TCAFF,,,,,,,,,,,,
13,DS2TCALC,,,,,,,,,,,,
14,DS2TCARB,,,,,,,,,,,,
15,DS2TCHL,,,,,,,,,,,,
16,DS2TCHOL,,,,,,,,,,,,
17,DS2TCOPP,,,,,,,,,,,,
18,DS2TFA,,,,,,,,,,,,
19,DS2TFDFE,,,,,,,,,,,,
20,DS2TFIBE,,,,,,,,,,,,
21,DS2TIODI,,,,,,,,,,,,
22,DS2TIRON,,,,,,,,,,,,
23,DS2TKCAL,,,,,,,,,,,,
24,DS2TLYCO,,,,,,,,,,,,
25,DS2TLZ,,,,,,,,,,,,
26,DS2TMAGN,,,,,,,,,,,,
27,DS2TMFAT,,,,,,,,,,,,
28,DS2TNIAC,,,,,,,,,,,,
29,DS2TPFAT,,,,,,,,,,,,
30,DS2TPHOS,,,,,,,,,,,,
31,DS2TPOTA,,,,,,,,,,,,
32,DS2TPROT,,,,,,,,,,,,
33,DS2TSELE,,,,,,,,,,,,
34,DS2TSFAT,,,,,,,,,,,,
35,DS2TSODI,,,,,,,,,,,,
36,DS2TSUGR,,,,,,,,,,,,
37,DS2TTFAT,,,,,,,,,,,,
38,DS2TVB1,,,,,,,,,,,,
39,DS2TVB12,,,,,,,,,,,,
40,DS2TVB2,,,,,,,,,,,,
41,DS2TVB6,,,,,,,,,,,,
42,DS2TVC,,,,,,,,,,,,
43,DS2TVD,,,,,,,,,,,,
44,DS2TVK,,,,,,,,,,,,
45,DS2TZINC,,,,,,,,,,,,
46,SEQN,,,,,,,,,,,,
47,WTDR2DPP,,,,,,,,,,,,
48,WTDRD1PP,,,,,,,,,,,,
