"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"AUXAR_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 69 YEARS",NA,NA
"AUXAR_G","AUXRR101","AUXRR101","Acoustic Reflex Right Ear 1KHz 01","Acoustic Reflex Right Ear 1KHz 01","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-63 to 57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR102","AUXRR102","Acoustic Reflex Right Ear 1KHz 02","Acoustic Reflex Right Ear 1KHz 02","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""."", ""-58 to 64""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""664"", ""3836""]; Cumulative=[""4500"", ""3836""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR103","AUXRR103","Acoustic Reflex Right Ear 1KHz 03","Acoustic Reflex Right Ear 1KHz 03","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-56 to 66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR104","AUXRR104","Acoustic Reflex Right Ear 1KHz 04","Acoustic Reflex Right Ear 1KHz 04","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-55 to 73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR105","AUXRR105","Acoustic Reflex Right Ear 1KHz 05","Acoustic Reflex Right Ear 1KHz 05","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-53 to 98"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR106","AUXRR106","Acoustic Reflex Right Ear 1KHz 06","Acoustic Reflex Right Ear 1KHz 06","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-49 to 94"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR107","AUXRR107","Acoustic Reflex Right Ear 1KHz 07","Acoustic Reflex Right Ear 1KHz 07","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-46 to 86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR108","AUXRR108","Acoustic Reflex Right Ear 1KHz 08","Acoustic Reflex Right Ear 1KHz 08","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-44 to 87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR109","AUXRR109","Acoustic Reflex Right Ear 1KHz 09","Acoustic Reflex Right Ear 1KHz 09","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-43 to 86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXAR_G","AUXRR110","AUXRR110","Acoustic Reflex Right Ear 1KHz 10","Acoustic Reflex Right Ear 1KHz 10","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""-44 to 83"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3836"", ""664""]; Cumulative=[""3836"", ""4500""]; Skip.to.Item=[""NA"", ""NA""]"
