"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BMX_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"BMX_E","BMDSTATS","BMDSTATS","Body Measures Component Status Code","Body Measures Component status Code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Complete data for age group"", ""Partial:  Height and weight obtained"", ""Other partial exam"", ""No body measures exam data"", ""Missing""]; Count=[""8088"", ""241"", ""1322"", ""111"", ""0""]; Cumulative=[""8088"", ""8329"", ""9651"", ""9762"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BMX_E","BMXWT","BMXWT","Weight (kg)","Weight (kg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.1 to 218.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9631"", ""131""]; Cumulative=[""9631"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"BMX_E","BMIWT","BMIWT","Weight Comment","Weight Comment","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Could not obtain"", ""Exceeds capacity"", ""Clothing"", ""Medical appliance"", ""Missing""]; Count=[""28"", ""0"", ""292"", ""19"", ""9423""]; Cumulative=[""28"", ""28"", ""320"", ""339"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BMX_E","BMXRECUM","BMXRECUM","Recumbent Length (cm)","Recumbent Length (cm)","Both males and females 0 MONTHS - 47 MONTHS",NA,"Code.or.Value=[""49.1 to 116.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1194"", ""8568""]; Cumulative=[""1194"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"BMX_E","BMIRECUM","BMIRECUM","Recumbent Length Comment","Recumbent Length Comment","Both males and females 0 MONTHS - 47 MONTHS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Could not obtain"", ""Exceeds capacity"", ""Not straight"", ""Missing""]; Count=[""17"", ""0"", ""1"", ""9744""]; Cumulative=[""17"", ""17"", ""18"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BMX_E","BMXHEAD","BMXHEAD","Head Circumference (cm)","Head Circumference (cm)","Both males and females 0 MONTHS - 6 MONTHS",NA,"Code.or.Value=[""33.5 to 47.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""260"", ""9502""]; Cumulative=[""260"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"BMX_E","BMIHEAD","BMIHEAD","Head Circumference Comment","Head Circumference Comment","Both males and females 0 MONTHS - 6 MONTHS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Could not obtain"", ""Exceeds capacity"", ""Not straight"", ""Missing""]; Count=[""0"", ""0"", ""0"", ""9762""]; Cumulative=[""0"", ""0"", ""0"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BMX_E","BMXHT","BMXHT","Standing Height (cm)","Standing Height (cm)","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""81.5 to 203.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8873"", ""889""]; Cumulative=[""8873"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"BMX_E","BMIHT","BMIHT","Standing Height Comment","Standing Height Comment","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Could not obtain"", ""Exceeds capacity"", ""Not straight"", ""Missing""]; Count=[""50"", ""0"", ""259"", ""9453""]; Cumulative=[""50"", ""50"", ""309"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BMX_E","BMXBMI","BMXBMI","Body Mass Index (kg/m**2)","Body Mass Index (kg/m**2)","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.5 to 73.43"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8861"", ""901""]; Cumulative=[""8861"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
