"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BPX_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"BPX_C","PEASCST1","PEASCST1","Blood Pressure Status","Blood Pressure Status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""9194"", ""104"", ""345"", ""0""]; Cumulative=[""9194"", ""9298"", ""9643"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_C","PEASCTM1","PEASCTM1","Blood Pressure Time in Seconds","Blood Pressure Time in Seconds","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1933"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9337"", ""306""]; Cumulative=[""9337"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_C","PEASCCT1","PEASCCT1","Blood Pressure Comment","Blood Pressure Comment","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""72"", ""84"", ""99"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""SP ill/emergency"", ""Error (technician/software/supply)"", ""SP with child"", ""Other, specify"", ""Missing""]; Count=[""2"", ""121"", ""46"", ""58"", ""1"", ""8"", ""1"", ""4"", ""208"", ""9194""]; Cumulative=[""2"", ""123"", ""169"", ""227"", ""228"", ""236"", ""237"", ""241"", ""449"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_C","BPXCHR","BPXCHR","60 sec HR (30 sec HR * 2)","60 sec HR (30 sec HR * 2)","Both males and females 0 YEARS - 7 YEARS",NA,"Code.or.Value=[""0 to 280"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1938"", ""7705""]; Cumulative=[""1938"", ""9643""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_C","BPQ150A","BPQ150A","Had food in the past 30 minutes?","Have you had any of the following in the past 30 minutes?: Food","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""2530"", ""4873"", ""2240""]; Cumulative=[""2530"", ""7403"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_C","BPQ150B","BPQ150B","Had alcohol in the past 30 minutes?","Have you had any of the following in the past 30 minutes?: Alcohol","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""2"", ""7401"", ""2240""]; Cumulative=[""2"", ""7403"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_C","BPQ150C","BPQ150C","Had coffee in the past 30 minutes?","Have you had any of the following in the past 30 minutes?: Coffee","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""16"", ""7387"", ""2240""]; Cumulative=[""16"", ""7403"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_C","BPQ150D","BPQ150D","Had cigarettes in the past 30 minutes?","Have you had any of the following in the past 30 minutes?: Cigarettes","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""67"", ""7336"", ""2240""]; Cumulative=[""67"", ""7403"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_C","BPAARM","BPAARM","Arm selected:","Arm selected:","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Right"", ""Left"", ""Could not obtain"", ""Missing""]; Count=[""7287"", ""35"", ""80"", ""2241""]; Cumulative=[""7287"", ""7322"", ""7402"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_C","BPACSZ","BPACSZ","Coded cuff size","Cuff size (cm) (width X length)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Infant (6X12)"", ""Child (9X17)"", ""Adult (12X22)"", ""Large (15X32)"", ""Thigh (18X35)"", ""Missing""]; Count=[""0"", ""394"", ""2769"", ""3347"", ""781"", ""2352""]; Cumulative=[""0"", ""394"", ""3163"", ""6510"", ""7291"", ""9643""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
