"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CVX","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 49 YEARS",NA,NA
"CVX","CVDEXSTS","CVDEXSTS","CV fitness exam status","CV fitness exam status","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""VO2max estimated"", ""Tested but VO2max estimate missing"", ""Not done"", ""Missing""]; Count=[""2561"", ""662"", ""1379"", ""0""]; Cumulative=[""2561"", ""3223"", ""4602"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCMT","CVDEXCMT","Comment code for CV fitness exam status","Comment code for CV fitness exam status","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""90"", "".""]; Value.Description=[""None"", ""Met exclusion criteria"", ""Pregnant more than 12 weeks"", ""Refusal"", ""No time"", ""Technical problem"", ""Met priority 1 stopping criteria"", ""Met priority 2 stopping criteria"", ""Not able to calculate VO2max"", ""Other"", ""Missing""]; Count=[""1914"", ""799"", ""247"", ""68"", ""238"", ""698"", ""27"", ""532"", ""17"", ""62"", ""0""]; Cumulative=[""1914"", ""2713"", ""2960"", ""3028"", ""3266"", ""3964"", ""3991"", ""4523"", ""4540"", ""4602"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL1","CVDEXCL1","Excluded per physical limitations","Excluded from exam due to selected physical functioning limitations","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""248"", ""551"", ""3803""]; Cumulative=[""248"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL2","CVDEXCL2","Excluded per cardiovascular conditions","Excluded from exam due to selected cardiovascular conditions/symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""273"", ""526"", ""3803""]; Cumulative=[""273"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL3","CVDEXCL3","Excluded per lung/breathing conditions","Excluded from exam due to selected lung/breathing conditions/symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""135"", ""664"", ""3803""]; Cumulative=[""135"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL4","CVDEXCL4","Excluded per asthma symptoms","Excluded from exam due to selected asthma symptoms","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""161"", ""638"", ""3803""]; Cumulative=[""161"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL5","CVDEXCL5","Excluded per medications","Excluded from exam due to taking selected exclusionary medications","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""67"", ""732"", ""3803""]; Cumulative=[""67"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXCL6","CVDEXCL6","Excluded per other specific reasons","Excluded from exam due to other specific reasons","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""124"", ""675"", ""3803""]; Cumulative=[""124"", ""799"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220a","CVQ220a","Priority 2 Stop excessive HR in stage 2","Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during first 2 minutes of stage 2","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""168"", ""364"", ""4070""]; Cumulative=[""168"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220b","CVQ220b","Priority 2 Stop excessive HR in stage 1","Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during stage 1","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""104"", ""428"", ""4070""]; Cumulative=[""104"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220c","CVQ220c","Priority 2 Stop excessive BP","Reason for Priority 2 Stop: Exercise blood pressure exceeds 260 mmHg systolic and/or 115 mmHg diastolic","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""18"", ""514"", ""4070""]; Cumulative=[""18"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220e","CVQ220e","Priority 2 Stop significant drop in SBP","Reason for Priority 2 Stop: Significant drop (> 20 mm Hg) in systolic blood pressure during exercise","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""12"", ""520"", ""4070""]; Cumulative=[""12"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220g","CVQ220g","Priority 2 Stop variability in HR","Reason for Priority 2 Stop: Sudden noticeable variability in heart rate (sudden change of more than 30 beats/minute during a stage)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""24"", ""508"", ""4070""]; Cumulative=[""24"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220h","CVQ220h","Priority 2 Stop participant request","Reason for Priority 2 Stop: Participant requests to stop test or reports severe fatigue","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""104"", ""428"", ""4070""]; Cumulative=[""104"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220i","CVQ220i","Priority 2 Stop equipment failure","Reason for Priority 2 Stop: Equipment failure","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""21"", ""511"", ""4070""]; Cumulative=[""21"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220j","CVQ220j","Priority 2 Stop participant grips rails","Reason for Priority 2 Stop: Participant is unable to stop gripping hand rails","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""56"", ""476"", ""4070""]; Cumulative=[""56"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220k","CVQ220k","Priority 2 Stop participant overexerted","Reason for Priority 2 Stop: Participant reports a rating of perceived exertion more than 17","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""41"", ""491"", ""4070""]; Cumulative=[""41"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220l","CVQ220l","Priority 2 Stop technician discretion","Reason for Priority 2 Stop: Technician discretion (technician notices signs of severe exertion)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""41"", ""491"", ""4070""]; Cumulative=[""41"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVQ220m","CVQ220m","Priority 2 Stop other specified reasons","Reason for Priority 2 Stop: Other specified reasons","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""68"", ""464"", ""4070""]; Cumulative=[""68"", ""532"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CVX","CVDEXLEN","CVDEXLEN","Length of CV fitness exam (min)","Length of the CV fitness exam (minutes)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 36.13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""0""]; Cumulative=[""4602"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVDEXMER","CVDEXMER","Examiner ID code","Examiner ID code","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""10 to 90"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""0""]; Cumulative=[""4602"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVDPMHR","CVDPMHR","Predicted maximal heart rate (per min)","Predicted maximal heart rate (per minute)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""171 to 208"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""0""]; Cumulative=[""4602"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVXPARC","CVXPARC","Physical activity readiness code","Physical activity readiness (PAR) code","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Little or no regular recreation, sport or physical activity and avoids walking or exertion"", ""Little or no regular recreation, sport or physical activity but walks for pleasure and occasionally exercises"", ""Participating regularly in recreation or work requiring modest physical activity for 10 to 60 minutes per week"", ""Participating regulalry in recreation or work requiring modest physical activity for more than 60 minutes per week"", ""Participating regularly in heavy physical activity for less than 30 minutes per week"", ""Participating regularly in heavy physical activity for 30 - 60 minutes per week"", ""Participating regularly in heavy physical activity for 1 - 3 hours per week"", ""Participating regularly in heavy physical activity for more than 3 hours per week"", ""Missing""]; Count=[""341"", ""510"", ""630"", ""1032"", ""34"", ""85"", ""181"", ""408"", ""1381""]; Cumulative=[""341"", ""851"", ""1481"", ""2513"", ""2547"", ""2632"", ""2813"", ""3221"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVDVOMAX","CVDVOMAX","Predicted VO2max (ml/kg/min)","Predicted maximal oxygen uptake (ml/kg/min)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0.4 to 75.06"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3220"", ""1382""]; Cumulative=[""3220"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVAPROT","CVAPROT","Assigned exercise protocol","Assigned exercise protocol","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1 to 8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3220"", ""1382""]; Cumulative=[""3220"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVDPROT","CVDPROT","Exercise protocol used in stage 1 and 2","Exercise protocol used in stage 1 and stage 2 after adjustment for warm-up heart rate","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1 to 8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3220"", ""1382""]; Cumulative=[""3220"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVATEMP","CVATEMP","Room temperature (degrees F)","Room temperature (Degrees Fahrenheit)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""63.3 to 85.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3209"", ""1393""]; Cumulative=[""3209"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVAARM","CVAARM","Arm selected for blood pressure monitor","Arm selected for blood pressure monitoring","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Right"", ""Left"", ""Could not obtain"", ""Missing""]; Count=[""3179"", ""30"", ""0"", ""1393""]; Cumulative=[""3179"", ""3209"", ""3209"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVACUFF","CVACUFF","Cuff size for blood pressure monitor","Cuff size used for blood pressure monitoring","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Child"", ""Adult"", ""Large arm"", ""Missing""]; Count=[""464"", ""2199"", ""546"", ""1393""]; Cumulative=[""464"", ""2663"", ""3209"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVAVEST","CVAVEST","Mesh vest used","Mesh vest used","Males only 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Missing""]; Count=[""43"", ""1307"", ""0"", ""3252""]; Cumulative=[""43"", ""1350"", ""1350"", ""4602""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CVX","CVAWS1","CVAWS1","Warm-up speed (mph)","Warm-up speed (miles per hour)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1.7 to 3.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3140"", ""1462""]; Cumulative=[""3140"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVAWG1","CVAWG1","Warm-up grade (% incline)","Warm-up grade (% incline)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3140"", ""1462""]; Cumulative=[""3140"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVDWTIM","CVDWTIM","Amount of time spent in warm-up (min)","Amount of time spent in warm-up (minutes)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""0.2 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3137"", ""1465""]; Cumulative=[""3137"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
"CVX","CVXWRPE","CVXWRPE","Warm-up rating of perceived exertion","Warm-up rating of perceived exertion (RPE)","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""6 to 20"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3078"", ""1524""]; Cumulative=[""3078"", ""4602""]; Skip.to.Item=[""NA"", ""NA""]"
