"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"MGX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"MGX_G","MGDEXSTS","MGDEXSTS","Grip test status","Grip test status","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed test on both hands"", ""Completed test on only one hand"", ""Did not perform test"", ""Missing""]; Count=[""7064"", ""113"", ""644"", ""0""]; Cumulative=[""7064"", ""7177"", ""7821"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGD050","MGD050","Ever had surgery on hands or wrists","Have you ever had surgery on your hands or wrists for arthritis or carpal tunnel syndrome?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""158"", ""4620"", ""3"", ""2"", ""3038""]; Cumulative=[""158"", ""4778"", ""4781"", ""4783"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGD060","MGD060","Which hand or wrist had surgery","Which hand or wrist was the surgery on?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Right hand/wrist"", ""Left hand/wrist"", ""Both hands/wrists"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""60"", ""36"", ""62"", ""0"", ""0"", ""7663""]; Cumulative=[""60"", ""96"", ""158"", ""158"", ""158"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ070","MGQ070","Recent pain/aching/stiffness-right hand","Have you had any pain aching or stiffness in your right hand in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""812"", ""6313"", ""1"", ""4"", ""691""]; Cumulative=[""812"", ""7125"", ""7126"", ""7130"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ080","MGQ080","Cause of recent pain in right hand","Is the pain aching or stiffness in your right hand caused by arthritis tendonitis or carpal tunnel syndrome?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""437"", ""157"", ""0"", ""218"", ""7009""]; Cumulative=[""437"", ""594"", ""594"", ""812"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ090","MGQ090","Pain in right hand gotten worse recently","Has the pain aching or stiffness in your right hand gotten worse in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""77"", ""735"", ""0"", ""0"", ""7009""]; Cumulative=[""77"", ""812"", ""812"", ""812"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ100","MGQ100","Recent pain/aching/stiffness-left hand","Have you had any pain aching or stiffness in your left hand in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""675"", ""6451"", ""2"", ""3"", ""690""]; Cumulative=[""675"", ""7126"", ""7128"", ""7131"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ110","MGQ110","Cause of recent pain in left hand","Is the pain aching or stiffness in your left hand caused by arthritis tendonitis or carpal tunnel syndrome?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""385"", ""136"", ""0"", ""154"", ""7146""]; Cumulative=[""385"", ""521"", ""521"", ""675"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ120","MGQ120","Pain in left hand gotten worse recently","Has the pain aching or stiffness in your left hand gotten worse in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""76"", ""598"", ""0"", ""1"", ""7146""]; Cumulative=[""76"", ""674"", ""674"", ""675"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGD130","MGD130","Dominant hand","Are you right-handed left-handed or do you use both hands equally?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Right-handed"", ""Left-handed"", ""Use both hands equally"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6320"", ""617"", ""240"", ""0"", ""0"", ""644""]; Cumulative=[""6320"", ""6937"", ""7177"", ""7177"", ""7177"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGQ90DG","MGQ90DG","90 degree angle with index finger","Was the participant able to achieve a 90 degree angle with the index finger on the eligible hand(s)?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Yes"", ""No - Not right hand"", ""No - Not left hand"", ""No - Not either hand"", ""Missing""]; Count=[""7122"", ""29"", ""14"", ""12"", ""644""]; Cumulative=[""7122"", ""7151"", ""7165"", ""7177"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGDSEAT","MGDSEAT","Testing position","Testing position","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Standing"", ""Seated"", ""Missing""]; Count=[""4611"", ""172"", ""3038""]; Cumulative=[""4611"", ""4783"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGAPHAND","MGAPHAND","Hand assigned for practice trial","The hand assigned for the practice trial","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Right"", ""Left"", ""Missing""]; Count=[""3563"", ""3614"", ""644""]; Cumulative=[""3563"", ""7177"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGATHAND","MGATHAND","Begin the test with this hand.","Begin the test with this hand.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Right"", ""Left"", ""Missing""]; Count=[""3614"", ""3563"", ""644""]; Cumulative=[""3614"", ""7177"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH1T1","MGXH1T1","Grip strength (kg) hand 1 test 1","Grip strength (kg) hand 1 test 1","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 79.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7170"", ""651""]; Cumulative=[""7170"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
