"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_AUXWBR","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 19 YEARS",NA,NA
"P_AUXWBR","WBXA001","WBXA001","Absorbance Array Data Point 001","Absorbance Array Data Point 001","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-3.8933 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA002","WBXA002","Absorbance Array Data Point 002","Absorbance Array Data Point 002","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-4.6738 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA003","WBXA003","Absorbance Array Data Point 003","Absorbance Array Data Point 003","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-5.5902 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA004","WBXA004","Absorbance Array Data Point 004","Absorbance Array Data Point 004","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-6.6814 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA005","WBXA005","Absorbance Array Data Point 005","Absorbance Array Data Point 005","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-7.5577 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA006","WBXA006","Absorbance Array Data Point 006","Absorbance Array Data Point 006","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-7.243 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA007","WBXA007","Absorbance Array Data Point 007","Absorbance Array Data Point 007","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-6.0813 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA008","WBXA008","Absorbance Array Data Point 008","Absorbance Array Data Point 008","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-5.0678 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA009","WBXA009","Absorbance Array Data Point 009","Absorbance Array Data Point 009","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-4.7971 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
"P_AUXWBR","WBXA010","WBXA010","Absorbance Array Data Point 010","Absorbance Array Data Point 010","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""-4.7542 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9234"", ""0""]; Cumulative=[""9234"", ""9234""]; Skip.to.Item=[""NA"", ""NA""]"
