"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SPX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 79 YEARS",NA,NA
"SPX_G","ENQ010","ENQ010","Breathing problem require oxygen?","{Do you/Does SP} currently have a breathing problem that requires {you/him/her} to use supplemental oxygen during the day? [This is air stored in a tank that you use to help you breathe. Do not include night treatments for sleep apnea.]","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""41"", ""7152"", ""0"", ""0"", ""302""]; Cumulative=[""41"", ""7193"", ""7193"", ""7193"", ""7495""]; Skip.to.Item=[""SPAENA"", """", ""SPAENA"", ""SPAENA"", """"]"
"SPX_G","ENQ020","ENQ020","Problem taking deep breath?","{Do you/Does SP} now have any pain or physical problem that may prevent {you/him/her} from taking a deep breath and exhaling forcefully?","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""66"", ""7084"", ""0"", ""2"", ""343""]; Cumulative=[""66"", ""7150"", ""7150"", ""7152"", ""7495""]; Skip.to.Item=[""SPAENA"", """", ""SPAENA"", ""SPAENA"", """"]"
"SPX_G","SPQ010","SPQ010","Have a current painful ear infection?","{Do you/Does SP} now have a painful ear infection?","Both males and females 6 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""7"", ""1893"", ""0"", ""3"", ""5592""]; Cumulative=[""7"", ""1900"", ""1900"", ""1903"", ""7495""]; Skip.to.Item=[""SPAENA"", """", ""SPAENA"", ""SPAENA"", """"]"
"SPX_G","SPQ020","SPQ020","Have you/Has SP ever had eye surgery?","{Have you/Has SURVEY PARTICIPANT} ever had eye surgery? [Do not include cosmetic surgery on the eyelid or skin around the eye]","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""577"", ""6505"", ""0"", ""1"", ""412""]; Cumulative=[""577"", ""7082"", ""7082"", ""7083"", ""7495""]; Skip.to.Item=["""", ""SPQ040"", """", """", """"]"
"SPX_G","SPQ030","SPQ030","Eye surgery in the last 3 months?","Was the eye surgery in the last three months?","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""2"", ""7"", ""9"", ""."", ""1""]; Value.Description=[""No"", ""Refused"", ""Don't know"", ""Missing"", ""Yes""]; Count=[""551"", ""0"", ""0"", ""6917"", ""27""]; Cumulative=[""578"", ""578"", ""578"", ""7495"", ""27""]; Skip.to.Item=["""", ""SPAENA"", ""SPAENA"", """", ""SPAENA""]"
"SPX_G","SPQ040","SPQ040","Ever had open chest/abdominal surgery?","{Have you/Has SP} ever had open chest or abdominal surgery?","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1043"", ""6013"", ""0"", ""1"", ""438""]; Cumulative=[""1043"", ""7056"", ""7056"", ""7057"", ""7495""]; Skip.to.Item=["""", ""SPQ060"", """", """", """"]"
"SPX_G","SPQ050","SPQ050","Chest/abdominal surgery last 3 months?","Was the open chest or abdominal surgery in the last three months?","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""34"", ""1010"", ""0"", ""0"", ""6451""]; Cumulative=[""34"", ""1044"", ""1044"", ""1044"", ""7495""]; Skip.to.Item=[""SPAENA"", """", ""SPAENA"", ""SPAENA"", """"]"
"SPX_G","SPQ060","SPQ060","Tuberculosis in last year?","Did {you/SP} or anyone in {your/his/her} household have tuberculosis in the past year?","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""24"", ""6999"", ""0"", ""2"", ""470""]; Cumulative=[""24"", ""7023"", ""7023"", ""7025"", ""7495""]; Skip.to.Item=[""SPAENA"", """", ""SPAENA"", ""SPAENA"", """"]"
"SPX_G","SPQ070a","SPQ070a","Ever told had an aneurysm?","Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""An aneurysm?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""36"", ""0"", ""1"", ""7458""]; Cumulative=[""36"", ""36"", ""37"", ""7495""]; Skip.to.Item=[""SPAENA"", ""SPAENA"", ""SPAENA"", """"]"
