,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,BMAEXLEN,0 To 909,Range Of Values,Exam length in seconds,Both males and females 0 YEARS - 150 YEARS,nan,,
2,BMAEXLEN,.,Missing,Exam length in seconds,Both males and females 0 YEARS - 150 YEARS,nan,,
3,BMAEXSTS,1,Complete,Status of a MEC exam,Both males and females 0 YEARS - 150 YEARS,nan,,
4,BMAEXSTS,2,Partial,Status of a MEC exam,Both males and females 0 YEARS - 150 YEARS,nan,,
5,BMAEXSTS,3,Not Done,Status of a MEC exam,Both males and females 0 YEARS - 150 YEARS,nan,,
6,BMAEXSTS,.,Missing,Status of a MEC exam,Both males and females 0 YEARS - 150 YEARS,nan,,
7,BMAEXCMT,1,Safety Exclusion,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
8,BMAEXCMT,2,Sp Refusal,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
9,BMAEXCMT,3,No Time,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
10,BMAEXCMT,4,Physical Limitation,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
11,BMAEXCMT,5,Communication Problem,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
12,BMAEXCMT,6,Equipment Failure,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
13,BMAEXCMT,7,Sp Ill/Emergency,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
14,BMAEXCMT,56,Came Late/Left Early,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
15,BMAEXCMT,99,"Other, Specify",Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
16,BMAEXCMT,.,Missing,Comment code for an exam,Both males and females 0 YEARS - 150 YEARS,nan,,
17,BMXWT,3.1 To 193.3,Range Of Values,Weight (kg),Both males and females 0 YEARS - 150 YEARS,nan,,
18,BMXWT,.,Missing,Weight (kg),Both males and females 0 YEARS - 150 YEARS,nan,,
19,BMIWT,1,Could Not Obtain,Weight Comment,Both males and females 0 YEARS - 150 YEARS,nan,,
20,BMIWT,2,Exceeds Capacity,Weight Comment,Both males and females 0 YEARS - 150 YEARS,nan,,
21,BMIWT,3,Clothing,Weight Comment,Both males and females 0 YEARS - 150 YEARS,nan,,
22,BMIWT,4,Medical Appliance,Weight Comment,Both males and females 0 YEARS - 150 YEARS,nan,,
23,BMIWT,.,Missing,Weight Comment,Both males and females 0 YEARS - 150 YEARS,nan,,
24,BMXRECUM,44.9 To 110.3,Range Of Values,Recumbent Length (cm),Both males and females 0 MONTHS - 47 MONTHS,nan,,
25,BMXRECUM,.,Missing,Recumbent Length (cm),Both males and females 0 MONTHS - 47 MONTHS,nan,,
26,BMIRECUM,1,Could Not Obtain,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,nan,,
27,BMIRECUM,2,Exceeds Capacity,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,nan,,
28,BMIRECUM,3,Not Straight,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,nan,,
29,BMIRECUM,.,Missing,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,nan,,
30,BMXHEAD,15.5 To 47.9,Range Of Values,Head Circumference (cm),Both males and females 0 MONTHS - 6 MONTHS,nan,,
31,BMXHEAD,.,Missing,Head Circumference (cm),Both males and females 0 MONTHS - 6 MONTHS,nan,,
32,BMIHEAD,1,Could Not Obtain,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,nan,,
33,BMIHEAD,2,Exceeds Capacity,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,nan,,
34,BMIHEAD,3,Not Straight,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,nan,,
35,BMIHEAD,.,Missing,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,nan,,
36,BMXHT,81.8 To 201.3,Range Of Values,Standing Height (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
37,BMXHT,.,Missing,Standing Height (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
38,BMIHT,1,Could Not Obtain,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
39,BMIHT,2,Exceeds Capacity,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
40,BMIHT,3,Not Straight,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
41,BMIHT,.,Missing,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
42,BMXBMI,11.49 To 66.44,Range Of Values,Body Mass Index (kg/m**2),Both males and females 2 YEARS - 150 YEARS,nan,,
43,BMXBMI,.,Missing,Body Mass Index (kg/m**2),Both males and females 2 YEARS - 150 YEARS,nan,,
44,BMXLEG,23.6 To 55,Range Of Values,Upper Leg Length (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
45,BMXLEG,.,Missing,Upper Leg Length (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
46,BMILEG,1,Could Not Obtain,Upper Leg Length Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
47,BMILEG,.,Missing,Upper Leg Length Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
48,BMXCALF,18 To 59.6,Range Of Values,Maximal Calf Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
49,BMXCALF,.,Missing,Maximal Calf Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
50,BMICALF,1,Could Not Obtain,Maximal Calf Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
51,BMICALF,.,Missing,Maximal Calf Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
52,BMXARML,9.1 To 46.5,Range Of Values,Upper Arm Length (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
53,BMXARML,.,Missing,Upper Arm Length (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
54,BMIARML,1,Could Not Obtain,Upper Arm Length Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
55,BMIARML,.,Missing,Upper Arm Length Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
56,BMXARMC,10.8 To 58.2,Range Of Values,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
57,BMXARMC,.,Missing,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,nan,,
58,BMIARMC,1,Could Not Obtain,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
59,BMIARMC,.,Missing,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
60,BMXWAIST,38.2 To 173.4,Range Of Values,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
61,BMXWAIST,.,Missing,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,nan,,
62,BMIWAIST,1,Could Not Obtain,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
63,BMIWAIST,.,Missing,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,nan,,
64,BMXTHICR,25.1 To 94.3,Range Of Values,Thigh Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
65,BMXTHICR,.,Missing,Thigh Circumference (cm),Both males and females 8 YEARS - 150 YEARS,nan,,
66,BMITHICR,1,Could Not Obtain,Thigh Circumference Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
67,BMITHICR,.,Missing,Thigh Circumference Comment,Both males and females 8 YEARS - 150 YEARS,nan,,
68,BMXTRI,2.4 To 43.6,Range Of Values,Triceps Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
69,BMXTRI,.,Missing,Triceps Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,nan,,
70,BMITRI,1,Could Not Obtain,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
71,BMITRI,2,Exceeds Capacity,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,nan,,
