,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,PEASCST1,1,Complete,,
2,PEASCST1,2,Partial,,
3,PEASCST1,3,Not Done,,
4,PEASCST1,.,Missing,,
5,PEASCTM1,0 To 4051,Range Of Values,,
6,PEASCTM1,.,Missing,,
7,PEASCCT1,0,None,,
8,PEASCCT1,1,Safety Exclusion,,
9,PEASCCT1,2,Sp Refusal,,
10,PEASCCT1,3,No Time,,
11,PEASCCT1,4,Physical Limitation,,
12,PEASCCT1,5,Communication Problem,,
13,PEASCCT1,6,Equipment Failure,,
14,PEASCCT1,7,Sp Ill/Emergency,,
15,PEASCCT1,56,Came Late/Left Early,,
16,PEASCCT1,99,"Other, Specify",,
17,PEASCCT1,.,Missing,,
18,BPXCHR,50 To 180,Range Of Values,,
19,BPXCHR,.,Missing,,
20,BPQ150A,1,Yes,,
21,BPQ150A,2,No,,
22,BPQ150A,.,Missing,,
23,BPQ150B,1,Yes,,
24,BPQ150B,2,No,,
25,BPQ150B,.,Missing,,
26,BPQ150C,1,Yes,,
27,BPQ150C,2,No,,
28,BPQ150C,.,Missing,,
29,BPQ150D,1,Yes,,
30,BPQ150D,2,No,,
31,BPQ150D,.,Missing,,
32,BPAARM,1,Right,,
33,BPAARM,2,Left,,
34,BPAARM,8,Could Not Obtain,,
35,BPAARM,.,Missing,,
36,BPACSZ,1,Infant (6X12),,
37,BPACSZ,2,Child (9X17),,
38,BPACSZ,3,Adult (12X22),,
39,BPACSZ,4,Large (15X32),,
40,BPACSZ,5,Thigh (18X35),,
41,BPACSZ,.,Missing,,
42,BPXPLS,36 To 142,Range Of Values,,
43,BPXPLS,.,Missing,,
44,BPXDB,1 To 6,Range Of Values,,
45,BPXDB,.,Missing,,
46,BPXPULS,1,Regular,,
47,BPXPULS,2,Irregular,,
48,BPXPULS,.,Missing,,
49,BPXPTY,1,Radial,,
50,BPXPTY,2,Brachial,,
51,BPXPTY,8,Could Not Obtain,,
52,BPXPTY,.,Missing,,
53,BPXML1,100 To 260,Range Of Values,,
54,BPXML1,888,Could Not Obtain,,
55,BPXML1,.,Missing,,
56,BPXSY1,74 To 242,Range Of Values,,
57,BPXSY1,.,Missing,,
58,BPXDI1,0 To 132,Range Of Values,,
59,BPXDI1,.,Missing,,
60,BPAEN1,1,Yes,,
61,BPAEN1,2,No,,
62,BPAEN1,8,Could Not Obtain,,
63,BPAEN1,.,Missing,,
64,BPXSY2,72 To 226,Range Of Values,,
65,BPXSY2,.,Missing,,
66,BPXDI2,0 To 128,Range Of Values,,
67,BPXDI2,.,Missing,,
68,BPAEN2,1,Yes,,
69,BPAEN2,2,No,,
70,BPAEN2,8,Could Not Obtain,,
71,BPAEN2,.,Missing,,
72,BPXSY3,74 To 232,Range Of Values,,
73,BPXSY3,.,Missing,,
74,BPXDI3,0 To 120,Range Of Values,,
75,BPXDI3,.,Missing,,
76,BPAEN3,1,Yes,,
77,BPAEN3,2,No,,
78,BPAEN3,8,Could Not Obtain,,
79,BPAEN3,.,Missing,,
80,BPXSY4,72 To 234,Range Of Values,,
81,BPXSY4,.,Missing,,
82,BPXDI4,0 To 136,Range Of Values,,
83,BPXDI4,.,Missing,,
84,BPAEN4,1,Yes,,
85,BPAEN4,2,No,,
86,BPAEN4,8,Could Not Obtain,,
87,BPAEN4,.,Missing,,
88,BPXSAR,73 To 233,Range Of Values,,
89,BPXSAR,.,Missing,,
90,BPXDAR,0 To 132,Range Of Values,,
91,BPXDAR,.,Missing,,
