,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,MSAEXLEN,0 To 2884,Range Of Values,,
2,MSAEXLEN,.,Missing,,
3,MSAEXSTS,1,Complete,,
4,MSAEXSTS,2,Partial,,
5,MSAEXSTS,3,Not Done,,
6,MSAEXSTS,.,Missing,,
7,MSAEXCMT,0,None,,
8,MSAEXCMT,1,Safety Exclusion,,
9,MSAEXCMT,2,Sp Refusal,,
10,MSAEXCMT,3,No Time,,
11,MSAEXCMT,4,Physical Limitation,,
12,MSAEXCMT,5,Communication Problem,,
13,MSAEXCMT,6,Equipment Failure,,
14,MSAEXCMT,7,Sp Ill/Emergency,,
15,MSAEXCMT,14,Interrupted,,
16,MSAEXCMT,56,Came Late/Left Early,,
17,MSAEXCMT,99,"Other, Specify",,
18,MSAEXCMT,.,Missing,,
19,MSXWTIME,1 To 61.2,Range Of Values,,
20,MSXWTIME,.,Missing,,
21,MSXWPAIN,1,Yes,,
22,MSXWPAIN,2,No,,
23,MSXWPAIN,.,Missing,,
24,MSAWDEV,1,None,,
25,MSAWDEV,2,Cane,,
26,MSAWDEV,3,Walker,,
27,MSAWDEV,4,Other,,
28,MSAWDEV,.,Missing,,
29,MSDPTIME,0 To 9.2,Range Of Values,,
30,MSDPTIME,.,Missing,,
31,MSDPFANG,89.5 To 150.5,Range Of Values,,
32,MSDPFANG,.,Missing,,
33,MSXARML,2 To 90,Range Of Values,,
34,MSXARML,.,Missing,,
35,MSXGRAV,0 To 46,Range Of Values,,
36,MSXGRAV,.,Missing,,
37,MSDPFVEL,-5.25 To 65.5,Range Of Values,,
38,MSDPFVEL,.,Missing,,
39,MSDPF,77 To 825,Range Of Values,,
40,MSDPF,.,Missing,,
41,MSDNTR,1 To 6,Range Of Values,,
42,MSDNTR,.,Missing,,
43,MSDAPF,69.3 To 696.8,Range Of Values,,
44,MSDAPF,.,Missing,,
45,MSDPFTR,1 To 6,Range Of Values,,
46,MSDPFTR,.,Missing,,
