,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,TBQ070,1,Yes,,
2,TBQ070,2,No,,
3,TBQ070,.,Missing,,
4,TBABCG,1,Present,,
5,TBABCG,2,Absent,,
6,TBABCG,3,Refused,,
7,TBABCG,.,Missing,,
8,TBDPPDS,0 To 32,Range Of Values,,
9,TBDPPDS,.,Missing,,
10,TBDPPDB,0 To 28,Range Of Values,,
11,TBDPPDB,.,Missing,,
12,TBDPPDSV,1,Vesiculation Present - Ppds,,
13,TBDPPDSV,2,Vesiculation Absent - Ppds,,
14,TBDPPDSV,.,Missing,,
15,TBDPPDSU,1,Ulceration Present - Ppds,,
16,TBDPPDSU,2,Ulceration Absent - Ppds,,
17,TBDPPDSU,.,Missing,,
18,TBDPPDBV,1,Vesiculation Present - Ppdb,,
19,TBDPPDBV,2,Vesiculation Absent - Ppdb,,
20,TBDPPDBV,.,Missing,,
21,TBDPPDBU,1,Ulceration Present - Ppdb,,
22,TBDPPDBU,2,Ulceration Absent - Ppdb,,
23,TBDPPDBU,.,Missing,,
