,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,BIAEXSTS,1,Examination Completed,,
2,BIAEXSTS,2,Examination Incomplete,,
3,BIAEXSTS,3,"Not Examined, Pregnancy",,
4,BIAEXSTS,4,"Not Examined, Weight > 300 Lbs",,
5,BIAEXSTS,5,"Not Examined, Jewelry Or Other Objects Not Removed Or Metal In Body",,
6,BIAEXSTS,6,"Not Examined, Other Reason",,
7,BIAEXSTS,.,Missing,,
8,BIDFIT,0,Excellent,,
9,BIDFIT,1,Good,,
10,BIDFIT,2,Marginal,,
11,BIDFIT,3,Questionable,,
12,BIDFIT,4,Bad,,
13,BIDFIT,5,Could Not Be Fit,,
14,BIDFIT,7,No Bia Data,,
15,BIDFIT,.,Missing,,
16,BIDRECF,375.6 To 1410.9,Range Of Values,,
17,BIDRECF,.,Missing,,
18,BIDRICF,231.8 To 3207.2,Range Of Values,,
19,BIDRICF,.,Missing,,
20,BIDCM,0.13 To 44.99,Range Of Values,,
21,BIDCM,.,Missing,,
22,BIDTD,-28.335 To 144.044,Range Of Values,,
23,BIDTD,.,Missing,,
24,BIDALPHA,0.3 To 1.1,Range Of Values,,
25,BIDALPHA,.,Missing,,
26,BIDFC,2 To 883,Range Of Values,,
27,BIDFC,.,Missing,,
28,BIDECF,4.56 To 29.63,Range Of Values,,
29,BIDECF,.,Missing,,
30,BIDTBW,10.43 To 76.92,Range Of Values,,
31,BIDTBW,.,Missing,,
32,BIDICF,5.21 To 53.21,Range Of Values,,
33,BIDICF,.,Missing,,
34,BIDFFM,13.8 To 105.1,Range Of Values,,
35,BIDFFM,.,Missing,,
36,BIDFAT,1.2 To 73.4,Range Of Values,,
37,BIDFAT,.,Missing,,
38,BIDPFAT,2.4 To 60.3,Range Of Values,,
39,BIDPFAT,.,Missing,,
40,BIXS005K,356.33 To 1079.03,Range Of Values,,
41,BIXS005K,.,Missing,,
42,BIXS006K,345.85 To 1077.26,Range Of Values,,
43,BIXS006K,.,Missing,,
44,BIXS007K,328.36 To 1074.81,Range Of Values,,
45,BIXS007K,.,Missing,,
46,BIXS008K,313.64 To 1072.47,Range Of Values,,
47,BIXS008K,.,Missing,,
48,BIXS009K,301.07 To 1069.88,Range Of Values,,
49,BIXS009K,.,Missing,,
50,BIXS010K,289.73 To 1067.01,Range Of Values,,
51,BIXS010K,.,Missing,,
52,BIXS011K,280.14 To 1063.29,Range Of Values,,
53,BIXS011K,.,Missing,,
54,BIXS012K,271.34 To 1059.95,Range Of Values,,
55,BIXS012K,.,Missing,,
56,BIXS013K,263.78 To 1056.77,Range Of Values,,
57,BIXS013K,.,Missing,,
58,BIXS014K,257.2 To 1053.98,Range Of Values,,
59,BIXS014K,.,Missing,,
60,BIXS015K,251.15 To 1051.65,Range Of Values,,
61,BIXS015K,.,Missing,,
62,BIXS016K,245.91 To 1049.2,Range Of Values,,
63,BIXS016K,.,Missing,,
64,BIXS018K,236.63 To 1044.31,Range Of Values,,
65,BIXS018K,.,Missing,,
66,BIXS020K,228.71 To 1039.51,Range Of Values,,
67,BIXS020K,.,Missing,,
68,BIXS023K,219 To 1032.55,Range Of Values,,
69,BIXS023K,.,Missing,,
70,BIXS025K,213.53 To 1027.42,Range Of Values,,
71,BIXS025K,.,Missing,,
72,BIXS028K,206.52 To 1020.99,Range Of Values,,
73,BIXS028K,.,Missing,,
74,BIXS031K,200.51 To 1015.25,Range Of Values,,
75,BIXS031K,.,Missing,,
76,BIXS035K,193.75 To 1007.59,Range Of Values,,
77,BIXS035K,.,Missing,,
78,BIXS039K,188.04 To 1000.74,Range Of Values,,
79,BIXS039K,.,Missing,,
80,BIXS043K,183.22 To 994.57,Range Of Values,,
81,BIXS043K,.,Missing,,
82,BIXS050K,176.32 To 984.42,Range Of Values,,
83,BIXS050K,.,Missing,,
84,BIXS054K,173.03 To 979.38,Range Of Values,,
85,BIXS054K,.,Missing,,
86,BIXS060K,168.72 To 971.52,Range Of Values,,
87,BIXS060K,.,Missing,,
88,BIXS067K,164.37 To 963.49,Range Of Values,,
89,BIXS067K,.,Missing,,
90,BIXS075K,160.28 To 955.14,Range Of Values,,
91,BIXS075K,.,Missing,,
92,BIXS083K,156.82 To 947.84,Range Of Values,,
93,BIXS083K,.,Missing,,
94,BIXS093K,153.11 To 939.72,Range Of Values,,
95,BIXS093K,.,Missing,,
96,BIXS100K,150.82 To 932.78,Range Of Values,,
97,BIXS100K,.,Missing,,
98,BIXS115K,146.66 To 922.2,Range Of Values,,
99,BIXS115K,.,Missing,,
100,BIXS128K,143.86 To 916.76,Range Of Values,,
101,BIXS128K,.,Missing,,
102,BIXS143K,141.12 To 909.39,Range Of Values,,
103,BIXS143K,.,Missing,,
104,BIXS159K,138.64 To 901.88,Range Of Values,,
105,BIXS159K,.,Missing,,
106,BIXS177K,136.29 To 893.86,Range Of Values,,
107,BIXS177K,.,Missing,,
108,BIXS200K,133.77 To 885.66,Range Of Values,,
109,BIXS200K,.,Missing,,
110,BIXS220K,132.06 To 880.27,Range Of Values,,
111,BIXS220K,.,Missing,,
112,BIXS245K,130.15 To 875.77,Range Of Values,,
113,BIXS245K,.,Missing,,
114,BIXS273K,83.24 To 871.11,Range Of Values,,
115,BIXS273K,.,Missing,,
116,BIXS304K,35.23 To 866.81,Range Of Values,,
117,BIXS304K,.,Missing,,
118,BIXS339K,74.99 To 862.52,Range Of Values,,
119,BIXS339K,.,Missing,,
120,BIXS378K,71.77 To 858.15,Range Of Values,,
121,BIXS378K,.,Missing,,
122,BIXS421K,90.85 To 854.17,Range Of Values,,
123,BIXS421K,.,Missing,,
124,BIXS469K,81.72 To 850.06,Range Of Values,,
125,BIXS469K,.,Missing,,
126,BIXS500K,71.14 To 847.03,Range Of Values,,
127,BIXS500K,.,Missing,,
128,BIXS582K,83.12 To 841.67,Range Of Values,,
129,BIXS582K,.,Missing,,
130,BIXS649K,72.4 To 930.88,Range Of Values,,
131,BIXS649K,.,Missing,,
132,BIXS723K,59.68 To 1232.4,Range Of Values,,
133,BIXS723K,.,Missing,,
134,BIXS806K,113.17 To 1133.5,Range Of Values,,
135,BIXS806K,.,Missing,,
136,BIXS898K,72.46 To 1057.05,Range Of Values,,
137,BIXS898K,.,Missing,,
138,BIXS1M,76.94 To 1049.77,Range Of Values,,
139,BIXS1M,.,Missing,,
140,BIXC005K,12.9 To 675.16,Range Of Values,,
141,BIXC005K,.,Missing,,
142,BIXC006K,13.6 To 623.63,Range Of Values,,
143,BIXC006K,.,Missing,,
144,BIXC007K,14.69 To 558.15,Range Of Values,,
145,BIXC007K,.,Missing,,
146,BIXC008K,15.48 To 530,Range Of Values,,
147,BIXC008K,.,Missing,,
148,BIXC009K,16.26 To 472.41,Range Of Values,,
149,BIXC009K,.,Missing,,
150,BIXC010K,17.15 To 427.74,Range Of Values,,
151,BIXC010K,.,Missing,,
152,BIXC011K,17.84 To 429.33,Range Of Values,,
153,BIXC011K,.,Missing,,
154,BIXC012K,18.62 To 403.89,Range Of Values,,
155,BIXC012K,.,Missing,,
156,BIXC013K,19.4 To 384.41,Range Of Values,,
157,BIXC013K,.,Missing,,
158,BIXC014K,19.98 To 372.9,Range Of Values,,
159,BIXC014K,.,Missing,,
160,BIXC015K,20.76 To 356.42,Range Of Values,,
161,BIXC015K,.,Missing,,
162,BIXC016K,21.44 To 345.45,Range Of Values,,
163,BIXC016K,.,Missing,,
164,BIXC018K,22.69 To 322.55,Range Of Values,,
165,BIXC018K,.,Missing,,
166,BIXC020K,23.84 To 307.77,Range Of Values,,
167,BIXC020K,.,Missing,,
168,BIXC023K,25.44 To 280.94,Range Of Values,,
169,BIXC023K,.,Missing,,
170,BIXC025K,26.37 To 267.66,Range Of Values,,
171,BIXC025K,.,Missing,,
172,BIXC028K,27.68 To 250.16,Range Of Values,,
173,BIXC028K,.,Missing,,
174,BIXC031K,28.87 To 239.69,Range Of Values,,
175,BIXC031K,.,Missing,,
176,BIXC035K,30.04 To 221.93,Range Of Values,,
177,BIXC035K,.,Missing,,
178,BIXC039K,30.98 To 209.26,Range Of Values,,
179,BIXC039K,.,Missing,,
180,BIXC043K,31.46 To 198.44,Range Of Values,,
