,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,nan,Both males and females 8 YEARS - 150 YEARS,nan,,
1,DX2EXSTS,1,Scan Completed,nan,Both males and females 8 YEARS - 150 YEARS,nan,,
2,DX2EXSTS,2,"Scan Completed, But Invalid",nan,Both males and females 8 YEARS - 150 YEARS,nan,,
3,DX2EXSTS,.,Missing,nan,Both males and females 8 YEARS - 150 YEARS,nan,,
4,DX2TOBMC,1335.67 To 4261.05,Range Of Values,Total Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
5,DX2TOBMC,.,Missing,Total Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
6,DX2TOBMD,0.818 To 1.552,Range Of Values,Total Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
7,DX2TOBMD,.,Missing,Total Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
8,DX2TOFAT,6669 To 56241.2,Range Of Values,Total Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
9,DX2TOFAT,.,Missing,Total Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
10,DX2TOLE,26256.7 To 84729.8,Range Of Values,Total Lean excl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
11,DX2TOLE,.,Missing,Total Lean excl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
12,DX2TOPF,12.2 To 52.3,Range Of Values,Total Percent Fat,Both males and females 8 YEARS - 150 YEARS,nan,,
13,DX2TOPF,.,Missing,Total Percent Fat,Both males and females 8 YEARS - 150 YEARS,nan,,
14,DX2TOA,1478.61 To 2761.95,Range Of Values,Total Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
15,DX2TOA,.,Missing,Total Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
16,DX2TOLI,27592.3 To 88093.3,Range Of Values,Total Lean incl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
17,DX2TOLI,.,Missing,Total Lean incl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
18,DX2TOTOT,39884.2 To 130999.3,Range Of Values,Total Lean incl BMC and Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
19,DX2TOTOT,.,Missing,Total Lean incl BMC and Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
20,DX2HEA,170.05 To 283.61,Range Of Values,Head Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
21,DX2HEA,.,Missing,Head Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
22,DX2HEBMC,280.98 To 867.27,Range Of Values,Head Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
23,DX2HEBMC,.,Missing,Head Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
24,DX2HEBMD,1.263 To 3.573,Range Of Values,Head Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
25,DX2HEBMD,.,Missing,Head Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
26,DX2HEFAT,747.5 To 1675.7,Range Of Values,Head Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
27,DX2HEFAT,.,Missing,Head Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
28,DX2HELI,2483.7 To 5117.9,Range Of Values,Head Lean incl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
29,DX2HELI,.,Missing,Head Lean incl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
30,DX2HELE,2092 To 4417,Range Of Values,Head Lean excl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
31,DX2HELE,.,Missing,Head Lean excl Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
32,DX2HEPF,22.1 To 27.5,Range Of Values,Head Percent Fat,Both males and females 8 YEARS - 150 YEARS,nan,,
33,DX2HEPF,.,Missing,Head Percent Fat,Both males and females 8 YEARS - 150 YEARS,nan,,
34,DX2HETOT,3231.3 To 6688,Range Of Values,Head Total (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
35,DX2HETOT,.,Missing,Head Total (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
36,DX2LSA,27.16 To 146.71,Range Of Values,Lumbar Spine Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
37,DX2LSA,.,Missing,Lumbar Spine Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
38,DX2LSBMC,17.38 To 152.67,Range Of Values,Lumbar Spine Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
39,DX2LSBMC,.,Missing,Lumbar Spine Bone Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
40,DX2LSBMD,0.605 To 1.724,Range Of Values,Lumbar Spine Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
41,DX2LSBMD,.,Missing,Lumbar Spine Bone Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
42,DX2LAA,141.8 To 346.7,Range Of Values,Left Arm Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
43,DX2LAA,.,Missing,Left Arm Area (cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
44,DX2LABMC,89.14 To 588.09,Range Of Values,Left Arm Body Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
45,DX2LABMC,.,Missing,Left Arm Body Mineral Content (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
46,DX2LABMD,0.558 To 2.146,Range Of Values,Left Arm Body Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
47,DX2LABMD,.,Missing,Left Arm Body Mineral Density (grams/cm^2),Both males and females 8 YEARS - 150 YEARS,nan,,
48,DX2LAFAT,361.2 To 5545.4,Range Of Values,Left Arm Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
49,DX2LAFAT,.,Missing,Left Arm Fat (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
50,DX2LALI,1228.5 To 6388.7,Range Of Values,Left Arm Lean incl BMC (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
51,DX2LALI,.,Missing,Left Arm Lean incl BMC (grams),Both males and females 8 YEARS - 150 YEARS,nan,,
