,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,OHAEXSTS,1,Completed,,
2,OHAEXSTS,2,Partial,,
3,OHAEXSTS,3,Not Done,,
4,OHAEXSTS,.,Missing,,
5,OHASCST3,1,Complete,,
6,OHASCST3,2,Partial,,
7,OHASCST3,3,Not Done,,
8,OHASCST3,.,Missing,,
9,OHD08TC,1,Primary Tooth (Deciduous),,
10,OHD08TC,2,Permanent Tooth (Succedaneous),,
11,OHD08TC,3,Implant,,
12,OHD08TC,4,Not Present,,
13,OHD08TC,.,Missing,,
14,OHD07TC,1,Primary Tooth (Deciduous),,
15,OHD07TC,2,Permanent Tooth (Succedaneous),,
16,OHD07TC,3,Implant,,
17,OHD07TC,4,Not Present,,
18,OHD07TC,.,Missing,,
19,OHD06TC,1,Primary Tooth (Deciduous),,
20,OHD06TC,2,Permanent Tooth (Succedaneous),,
21,OHD06TC,3,Implant,,
22,OHD06TC,4,Not Present,,
23,OHD06TC,.,Missing,,
24,OHD05TC,1,Primary Tooth (Deciduous),,
25,OHD05TC,2,Permanent Tooth (Succedaneous),,
26,OHD05TC,3,Implant,,
27,OHD05TC,4,Not Present,,
28,OHD05TC,.,Missing,,
29,OHD04TC,1,Primary Tooth (Deciduous),,
30,OHD04TC,2,Permanent Tooth (Succedaneous),,
31,OHD04TC,3,Implant,,
32,OHD04TC,4,Not Present,,
33,OHD04TC,.,Missing,,
34,OHD03TC,2,Permanent Tooth (Succedaneous),,
35,OHD03TC,3,Implant,,
36,OHD03TC,4,Not Present,,
37,OHD03TC,.,Missing,,
38,OHD02TC,2,Permanent Tooth (Succedaneous),,
39,OHD02TC,3,Implant,,
40,OHD02TC,4,Not Present,,
41,OHD02TC,.,Missing,,
42,OHD01TC,2,Permanent Tooth (Succedaneous),,
43,OHD01TC,3,Implant,,
44,OHD01TC,4,Not Present,,
45,OHD01TC,.,Missing,,
46,OHD09TC,1,Primary Tooth (Deciduous),,
47,OHD09TC,2,Permanent Tooth (Succedaneous),,
48,OHD09TC,3,Implant,,
49,OHD09TC,4,Not Present,,
50,OHD09TC,.,Missing,,
51,OHD10TC,1,Primary Tooth (Deciduous),,
52,OHD10TC,2,Permanent Tooth (Succedaneous),,
53,OHD10TC,3,Implant,,
54,OHD10TC,4,Not Present,,
55,OHD10TC,.,Missing,,
56,OHD11TC,1,Primary Tooth (Deciduous),,
57,OHD11TC,2,Permanent Tooth (Succedaneous),,
58,OHD11TC,3,Implant,,
59,OHD11TC,4,Not Present,,
60,OHD11TC,.,Missing,,
61,OHD12TC,1,Primary Tooth (Deciduous),,
62,OHD12TC,2,Permanent Tooth (Succedaneous),,
63,OHD12TC,3,Implant,,
64,OHD12TC,4,Not Present,,
65,OHD12TC,.,Missing,,
66,OHD13TC,1,Primary Tooth (Deciduous),,
67,OHD13TC,2,Permanent Tooth (Succedaneous),,
68,OHD13TC,3,Implant,,
69,OHD13TC,4,Not Present,,
70,OHD13TC,.,Missing,,
71,OHD14TC,2,Permanent Tooth (Succedaneous),,
72,OHD14TC,3,Implant,,
73,OHD14TC,4,Not Present,,
74,OHD14TC,.,Missing,,
75,OHD15TC,2,Permanent Tooth (Succedaneous),,
76,OHD15TC,3,Implant,,
77,OHD15TC,4,Not Present,,
78,OHD15TC,.,Missing,,
79,OHD16TC,2,Permanent Tooth (Succedaneous),,
80,OHD16TC,3,Implant,,
81,OHD16TC,4,Not Present,,
82,OHD16TC,.,Missing,,
83,OHD24TC,1,Primary Tooth (Deciduous),,
84,OHD24TC,2,Permanent Tooth (Succedaneous),,
85,OHD24TC,3,Implant,,
86,OHD24TC,4,Not Present,,
87,OHD24TC,.,Missing,,
88,OHD23TC,1,Primary Tooth (Deciduous),,
89,OHD23TC,2,Permanent Tooth (Succedaneous),,
90,OHD23TC,3,Implant,,
91,OHD23TC,4,Not Present,,
92,OHD23TC,.,Missing,,
93,OHD22TC,1,Primary Tooth (Deciduous),,
94,OHD22TC,2,Permanent Tooth (Succedaneous),,
95,OHD22TC,3,Implant,,
96,OHD22TC,4,Not Present,,
97,OHD22TC,.,Missing,,
98,OHD21TC,1,Primary Tooth (Deciduous),,
99,OHD21TC,2,Permanent Tooth (Succedaneous),,
100,OHD21TC,3,Implant,,
101,OHD21TC,4,Not Present,,
102,OHD21TC,.,Missing,,
103,OHD20TC,1,Primary Tooth (Deciduous),,
104,OHD20TC,2,Permanent Tooth (Succedaneous),,
105,OHD20TC,3,Implant,,
106,OHD20TC,4,Not Present,,
107,OHD20TC,.,Missing,,
108,OHD19TC,2,Permanent Tooth (Succedaneous),,
109,OHD19TC,3,Implant,,
