,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,BIAEXSTS,1,Examination Completed,,
2,BIAEXSTS,2,Examination Incomplete,,
3,BIAEXSTS,3,"Not Examined, Pregnancy",,
4,BIAEXSTS,4,"Not Examined, Weight > 300 Lbs",,
5,BIAEXSTS,5,"Not Examined, Jewelry Or Other Objects Not Removed Or Metal In Body",,
6,BIAEXSTS,6,"Not Examined, Other Reason",,
7,BIAEXSTS,.,Missing,,
8,BIDFIT,0,Excellent,,
9,BIDFIT,1,Good,,
10,BIDFIT,2,Marginal,,
11,BIDFIT,3,Questionable,,
12,BIDFIT,4,Bad,,
13,BIDFIT,5,Could Not Be Fit,,
14,BIDFIT,7,No Bia Data,,
15,BIDFIT,.,Missing,,
16,BIDRECF,396.5 To 1736.1,Range Of Values,,
17,BIDRECF,.,Missing,,
18,BIDRICF,224.8 To 4153,Range Of Values,,
19,BIDRICF,.,Missing,,
20,BIDCM,0.15 To 36.75,Range Of Values,,
21,BIDCM,.,Missing,,
22,BIDTD,-33.812 To 193.439,Range Of Values,,
23,BIDTD,.,Missing,,
24,BIDALPHA,0.302 To 1.1,Range Of Values,,
25,BIDALPHA,.,Missing,,
26,BIDFC,2 To 896,Range Of Values,,
27,BIDFC,.,Missing,,
28,BIDECF,5.36 To 29.63,Range Of Values,,
29,BIDECF,.,Missing,,
30,BIDTBW,10.74 To 77.31,Range Of Values,,
31,BIDTBW,.,Missing,,
32,BIDICF,5.33 To 50.02,Range Of Values,,
33,BIDICF,.,Missing,,
34,BIDFFM,14.1 To 105.6,Range Of Values,,
35,BIDFFM,.,Missing,,
36,BIDFAT,1.3 To 78.3,Range Of Values,,
37,BIDFAT,.,Missing,,
38,BIDPFAT,2.1 To 60.2,Range Of Values,,
39,BIDPFAT,.,Missing,,
40,BIXS005K,380.55 To 1093.73,Range Of Values,,
41,BIXS005K,.,Missing,,
42,BIXS006K,378.25 To 1009.22,Range Of Values,,
43,BIXS006K,.,Missing,,
44,BIXS007K,376.69 To 986.12,Range Of Values,,
45,BIXS007K,.,Missing,,
46,BIXS008K,374.42 To 983.56,Range Of Values,,
47,BIXS008K,.,Missing,,
48,BIXS009K,372.24 To 981.43,Range Of Values,,
49,BIXS009K,.,Missing,,
50,BIXS010K,370.17 To 979.06,Range Of Values,,
51,BIXS010K,.,Missing,,
52,BIXS011K,368.53 To 977.48,Range Of Values,,
53,BIXS011K,.,Missing,,
54,BIXS012K,366.67 To 975.49,Range Of Values,,
55,BIXS012K,.,Missing,,
56,BIXS013K,364.61 To 973.87,Range Of Values,,
57,BIXS013K,.,Missing,,
58,BIXS014K,362.42 To 972.08,Range Of Values,,
59,BIXS014K,.,Missing,,
60,BIXS015K,359.91 To 970.29,Range Of Values,,
61,BIXS015K,.,Missing,,
62,BIXS016K,357.63 To 968.71,Range Of Values,,
63,BIXS016K,.,Missing,,
64,BIXS018K,353.29 To 965.19,Range Of Values,,
65,BIXS018K,.,Missing,,
66,BIXS020K,349.78 To 961.63,Range Of Values,,
67,BIXS020K,.,Missing,,
68,BIXS023K,344.54 To 956.33,Range Of Values,,
69,BIXS023K,.,Missing,,
70,BIXS025K,341.74 To 952.56,Range Of Values,,
71,BIXS025K,.,Missing,,
72,BIXS028K,337.61 To 947.63,Range Of Values,,
73,BIXS028K,.,Missing,,
74,BIXS031K,333.69 To 942.98,Range Of Values,,
75,BIXS031K,.,Missing,,
76,BIXS035K,329.05 To 937.44,Range Of Values,,
77,BIXS035K,.,Missing,,
78,BIXS039K,325.01 To 931.91,Range Of Values,,
79,BIXS039K,.,Missing,,
80,BIXS043K,321.51 To 926.97,Range Of Values,,
81,BIXS043K,.,Missing,,
82,BIXS050K,316.05 To 918.76,Range Of Values,,
83,BIXS050K,.,Missing,,
84,BIXS054K,313.35 To 914.83,Range Of Values,,
85,BIXS054K,.,Missing,,
86,BIXS060K,309.74 To 909.74,Range Of Values,,
87,BIXS060K,.,Missing,,
88,BIXS067K,305.97 To 904.97,Range Of Values,,
89,BIXS067K,.,Missing,,
90,BIXS075K,302.28 To 899.91,Range Of Values,,
91,BIXS075K,.,Missing,,
92,BIXS083K,299.1 To 895.47,Range Of Values,,
93,BIXS083K,.,Missing,,
94,BIXS093K,295.79 To 890.88,Range Of Values,,
95,BIXS093K,.,Missing,,
96,BIXS100K,293.94 To 887.88,Range Of Values,,
97,BIXS100K,.,Missing,,
98,BIXS115K,236.81 To 881.41,Range Of Values,,
99,BIXS115K,.,Missing,,
100,BIXS128K,157.12 To 876.63,Range Of Values,,
101,BIXS128K,.,Missing,,
102,BIXS143K,201.99 To 872.49,Range Of Values,,
103,BIXS143K,.,Missing,,
104,BIXS159K,153.22 To 868.49,Range Of Values,,
105,BIXS159K,.,Missing,,
106,BIXS177K,90.28 To 864.39,Range Of Values,,
107,BIXS177K,.,Missing,,
108,BIXS200K,65.95 To 860.2,Range Of Values,,
109,BIXS200K,.,Missing,,
110,BIXS220K,92.32 To 856.56,Range Of Values,,
111,BIXS220K,.,Missing,,
112,BIXS245K,95.34 To 852.64,Range Of Values,,
113,BIXS245K,.,Missing,,
114,BIXS273K,169.35 To 848.18,Range Of Values,,
115,BIXS273K,.,Missing,,
116,BIXS304K,186.28 To 843.93,Range Of Values,,
117,BIXS304K,.,Missing,,
118,BIXS339K,100.7 To 840.2,Range Of Values,,
119,BIXS339K,.,Missing,,
120,BIXS378K,44.14 To 836.89,Range Of Values,,
121,BIXS378K,.,Missing,,
122,BIXS421K,53.36 To 833.53,Range Of Values,,
123,BIXS421K,.,Missing,,
124,BIXS469K,99.06 To 830.01,Range Of Values,,
125,BIXS469K,.,Missing,,
126,BIXS500K,161.18 To 828.05,Range Of Values,,
127,BIXS500K,.,Missing,,
128,BIXS582K,171.43 To 824.26,Range Of Values,,
129,BIXS582K,.,Missing,,
130,BIXS649K,44.34 To 821.27,Range Of Values,,
131,BIXS649K,.,Missing,,
132,BIXS723K,61.13 To 818.21,Range Of Values,,
133,BIXS723K,.,Missing,,
134,BIXS806K,79.18 To 814.93,Range Of Values,,
135,BIXS806K,.,Missing,,
136,BIXS898K,96.29 To 811.86,Range Of Values,,
137,BIXS898K,.,Missing,,
138,BIXS1M,89.34 To 807.92,Range Of Values,,
139,BIXS1M,.,Missing,,
140,BIXC005K,13.17 To 971.4,Range Of Values,,
141,BIXC005K,.,Missing,,
142,BIXC006K,12.79 To 883.07,Range Of Values,,
143,BIXC006K,.,Missing,,
144,BIXC007K,14.9 To 783.31,Range Of Values,,
145,BIXC007K,.,Missing,,
146,BIXC008K,15.62 To 744.16,Range Of Values,,
147,BIXC008K,.,Missing,,
148,BIXC009K,16.31 To 689.1,Range Of Values,,
149,BIXC009K,.,Missing,,
150,BIXC010K,17.22 To 643.54,Range Of Values,,
151,BIXC010K,.,Missing,,
152,BIXC011K,18.04 To 617.05,Range Of Values,,
153,BIXC011K,.,Missing,,
154,BIXC012K,18.74 To 587.57,Range Of Values,,
155,BIXC012K,.,Missing,,
156,BIXC013K,19.24 To 559.4,Range Of Values,,
157,BIXC013K,.,Missing,,
158,BIXC014K,20.16 To 542.74,Range Of Values,,
159,BIXC014K,.,Missing,,
160,BIXC015K,20.75 To 528.1,Range Of Values,,
161,BIXC015K,.,Missing,,
162,BIXC016K,21.34 To 513.25,Range Of Values,,
163,BIXC016K,.,Missing,,
164,BIXC018K,22.41 To 486.34,Range Of Values,,
165,BIXC018K,.,Missing,,
166,BIXC020K,23.59 To 460.36,Range Of Values,,
167,BIXC020K,.,Missing,,
168,BIXC023K,24.94 To 429.45,Range Of Values,,
169,BIXC023K,.,Missing,,
170,BIXC025K,25.71 To 411.47,Range Of Values,,
171,BIXC025K,.,Missing,,
172,BIXC028K,26.75 To 390.29,Range Of Values,,
173,BIXC028K,.,Missing,,
174,BIXC031K,27.88 To 375.99,Range Of Values,,
175,BIXC031K,.,Missing,,
176,BIXC035K,29.1 To 238.85,Range Of Values,,
177,BIXC035K,.,Missing,,
178,BIXC039K,30.07 To 221.45,Range Of Values,,
179,BIXC039K,.,Missing,,
180,BIXC043K,30.76 To 206.63,Range Of Values,,
181,BIXC043K,.,Missing,,
