,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DXATRST,1,"Trunk Scan Completed, Trunk Scan Is Valid",,
2,DXATRST,2,"Trunk Scan Completed, But Trunk Scan Is Invalid",,
3,DXATRST,3,"Not Scanned, Pregnancy",,
4,DXATRST,4,"Not Scanned, Weight > 300 Lbs",,
5,DXATRST,5,"Not Scanned, Other Reason",,
6,DXATRST,.,Missing,,
7,DXATRTV,0,Valid Data,,
8,DXATRTV,1,Objects Not Removed,,
9,DXATRTV,2,Non-Removable Objects Such As Implants,,
10,DXATRTV,3,Excessive X-Ray Noise Due To Morbid Obesity,,
11,DXATRTV,4,Hip Arm Overlap,,
12,DXATRTV,5,Movement,,
13,DXATRTV,7,Other,,
14,DXATRTV,.,Missing,,
15,DXXANFM,161.9 To 7686.5,Range Of Values,,
16,DXXANFM,.,Missing,,
17,DXXANLM,794.4 To 7299.7,Range Of Values,,
18,DXXANLM,.,Missing,,
19,DXXANTOM,995.2 To 13220.4,Range Of Values,,
20,DXXANTOM,.,Missing,,
21,DXXGYFM,560.9 To 12493.3,Range Of Values,,
22,DXXGYFM,.,Missing,,
23,DXXGYLM,1713 To 15162.9,Range Of Values,,
24,DXXGYLM,.,Missing,,
25,DXXGYTOM,2598.2 To 24420.4,Range Of Values,,
26,DXXGYTOM,.,Missing,,
27,DXXAGRAT,0.4 To 1.7,Range Of Values,,
28,DXXAGRAT,.,Missing,,
29,DXXAPFAT,10.3 To 59.6,Range Of Values,,
30,DXXAPFAT,.,Missing,,
31,DXXGPFAT,12.3 To 58.4,Range Of Values,,
32,DXXGPFAT,.,Missing,,
